,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Seth Curry,Dallas Mavericks,38:29,8,17,.471,4,9,.444,2,2,1.000,1,5,6,5,2,0,4,2,22,-10,38:29,.615,.588,.529,.118,2.5,12.2,7.4,20.8,2.4,0.0,18.3,24.1,108,108
1,Tim Hardaway Jr.,Dallas Mavericks,35:14,11,22,.500,6,14,.429,5,7,.714,0,4,4,5,0,0,2,2,33,-4,35:14,.658,.636,.636,.318,0.0,10.7,5.4,27.2,0.0,0.0,7.4,32.5,126,114
2,Dorian Finney-Smith,Dallas Mavericks,30:45,2,7,.286,0,4,.000,2,3,.667,2,3,5,2,0,2,2,3,6,-8,30:45,.361,.286,.571,.429,6.2,9.2,7.7,8.5,0.0,5.1,19.4,14.2,80,111
3,Maxi Kleber,Dallas Mavericks,30:02,4,10,.400,1,4,.250,0,0,0,4,4,8,2,0,5,1,6,9,+6,30:02,.450,.450,.400,.000,12.8,12.5,12.7,9.5,0.0,13.1,9.1,15.5,106,104
4,Jalen Brunson,Dallas Mavericks,0:12,1,1,1.000,0,0,0,0,1,.000,0,0,0,0,0,0,0,1,2,+2,0:12,.694,1.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,140,90
6,Delon Wright,Dallas Mavericks,29:34,6,8,.750,2,2,1.000,0,0,0,0,4,4,2,1,0,2,1,14,-8,29:34,.875,.875,.250,.000,0.0,12.7,6.4,10.7,1.6,0.0,20.0,14.3,131,110
7,Justin Jackson,Dallas Mavericks,26:37,3,6,.500,1,3,.333,3,4,.750,0,8,8,0,0,0,0,1,10,-1,26:37,.644,.583,.500,.667,0.0,28.3,14.3,0.0,0.0,0.0,0.0,12.3,132,108
8,Courtney Lee,Dallas Mavericks,21:26,0,4,.000,0,4,.000,1,2,.500,0,4,4,2,2,1,0,4,1,+5,21:26,.102,.000,1.000,.500,0.0,17.6,8.9,11.2,4.4,3.7,0.0,9.6,49,99
9,J.J. Barea,Dallas Mavericks,19:05,4,11,.364,0,4,.000,0,0,0,1,5,6,5,0,1,4,0,8,+3,19:05,.364,.364,.364,.000,5.0,24.7,14.9,42.0,0.0,4.1,26.7,33.3,73,107
10,Michael Kidd-Gilchrist,Dallas Mavericks,4:55,0,1,.000,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,-6,4:55,.000,.000,.000,.000,19.5,0.0,9.7,0.0,0.0,0.0,50.0,17.2,34,116
11,Boban Marjanović,Dallas Mavericks,3:41,1,2,.500,0,0,0,0,0,0,1,1,2,0,0,1,0,1,2,+1,3:41,.500,.500,.000,.000,26.1,25.6,25.8,0.0,0.0,21.4,0.0,23.0,119,94
12,Team Totals,Dallas Mavericks,240,40,89,.449,14,44,.318,13,19,.684,10,38,48,23,5,10,16,22,107,0,240,.550,.528,.494,.213,20.0,74.5,47.5,57.5,4.9,16.4,14.1,100.0,104.1,108.0
0,Trae Young,Atlanta Hawks,40:25,10,21,.476,3,8,.375,2,3,.667,0,6,6,10,0,0,5,2,25,+5,40:25,.560,.548,.381,.143,0.0,14.3,7.1,38.2,0.0,0.0,18.3,27.2,103,110
1,Cam Reddish,Atlanta Hawks,39:12,6,16,.375,0,6,.000,8,9,.889,2,4,6,3,3,0,2,5,20,+6,39:12,.501,.375,.375,.563,4.8,9.8,7.3,10.3,3.6,0.0,9.1,22.5,106,102
2,Kevin Huerter,Atlanta Hawks,38:35,1,11,.091,1,8,.125,0,0,0,0,3,3,6,4,0,1,0,3,+10,38:35,.136,.136,.727,.000,0.0,7.5,3.7,17.9,4.8,0.0,8.3,12.5,55,101
3,John Collins,Atlanta Hawks,37:04,13,18,.722,3,3,1.000,6,9,.667,5,12,17,2,1,2,1,1,35,+9,37:04,.797,.806,.167,.500,12.7,31.1,21.8,9.9,1.3,5.8,4.4,24.9,155,99
4,Dewayne Dedmon,Atlanta Hawks,24:41,4,9,.444,0,3,.000,0,0,0,1,11,12,2,0,2,0,5,8,+7,24:41,.444,.444,.333,.000,3.8,42.8,23.1,11.0,0.0,8.6,0.0,14.7,105,97
6,Treveon Graham,Atlanta Hawks,18:50,2,5,.400,1,3,.333,0,2,.000,3,1,4,2,1,0,0,2,5,-6,18:50,.425,.500,.600,.400,15.0,5.1,10.1,13.4,2.5,0.0,0.0,12.5,116,106
7,Jeff Teague,Atlanta Hawks,13:03,3,8,.375,0,2,.000,1,2,.500,0,0,0,0,0,0,1,2,7,-3,13:03,.394,.375,.250,.250,0.0,0.0,0.0,0.0,0.0,0.0,10.1,30.4,73,113
8,Vince Carter,Atlanta Hawks,10:34,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,10:34,.000,.000,.000,.000,0.0,9.1,4.5,0.0,0.0,0.0,0.0,3.8,0,111
9,Bruno Fernando,Atlanta Hawks,10:02,3,3,1.000,0,0,0,0,1,.000,2,2,4,1,0,0,0,1,6,-3,10:02,.872,1.000,.000,.333,18.8,19.1,18.9,16.7,0.0,0.0,0.0,13.8,177,108
10,Brandon Goodwin,Atlanta Hawks,7:34,1,6,.167,0,4,.000,0,0,0,0,0,0,1,0,0,0,1,2,-5,7:34,.167,.167,.667,.000,0.0,0.0,0.0,17.3,0.0,0.0,0.0,31.9,48,113
11,Damian Jones,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Atlanta Hawks,240,43,98,.439,8,37,.216,17,26,.654,13,40,53,27,9,4,10,21,111,0,240,.507,.480,.378,.265,25.5,80.0,52.5,62.8,8.8,8.9,8.4,100.0,108.0,104.1
