,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Caris LeVert,Brooklyn Nets,29:58,7,19,.368,3,10,.300,0,0,0,0,3,3,2,6,0,0,2,17,+15,29:58,.447,.447,.526,.000,0.0,8.9,4.9,10.4,9.9,0.0,0.0,28.9,95,76
1,Taurean Prince,Brooklyn Nets,29:38,5,10,.500,4,8,.500,0,0,0,0,4,4,1,1,2,3,3,14,+21,29:38,.700,.700,.800,.000,0.0,12.0,6.5,4.8,1.7,6.1,23.1,20.0,98,88
2,Spencer Dinwiddie,Brooklyn Nets,28:13,3,10,.300,1,6,.167,3,4,.750,1,5,6,9,0,0,2,2,10,+10,28:13,.425,.350,.600,.400,3.8,15.8,10.3,41.5,0.0,0.0,14.5,22.2,109,96
3,Jarrett Allen,Brooklyn Nets,24:53,4,5,.800,0,0,0,4,6,.667,3,8,11,3,0,2,1,1,12,+13,24:53,.785,.800,.000,1.200,12.9,28.6,21.4,16.9,0.0,7.3,11.6,15.8,159,86
4,Joe Harris,Brooklyn Nets,24:33,5,10,.500,2,6,.333,0,0,0,0,2,2,5,1,0,1,2,12,+10,24:33,.600,.600,.600,.000,0.0,7.2,3.9,30.3,2.0,0.0,9.1,20.4,124,94
6,Garrett Temple,Brooklyn Nets,26:26,5,10,.500,3,6,.500,2,2,1.000,0,11,11,3,1,0,0,1,15,+14,26:26,.689,.650,.600,.200,0.0,37.0,20.2,16.5,1.9,0.0,0.0,18.8,146,85
7,Timothé Luwawu-Cabarrot,Brooklyn Nets,23:27,7,12,.583,4,7,.571,3,4,.750,2,2,4,0,0,0,1,4,21,+19,23:27,.763,.750,.583,.333,9.1,7.6,8.3,0.0,0.0,0.0,6.8,28.7,138,98
8,Wilson Chandler,Brooklyn Nets,22:13,0,2,.000,0,2,.000,0,0,0,0,3,3,0,1,2,0,2,0,+8,22:13,.000,.000,1.000,.000,0.0,12.0,6.5,0.0,2.2,8.2,0.0,4.1,0,86
9,DeAndre Jordan,Brooklyn Nets,19:58,5,5,1.000,0,0,0,2,3,.667,2,1,3,1,0,0,2,3,12,+8,19:58,.949,1.000,.000,.600,10.7,4.5,7.3,8.0,0.0,0.0,24.0,19.0,143,99
10,Theo Pinson,Brooklyn Nets,4:23,1,2,.500,0,1,.000,0,0,0,0,3,3,1,0,0,0,0,2,+11,4:23,.500,.500,.500,.000,0.0,60.8,33.2,35.3,0.0,0.0,0.0,20.8,122,81
11,Chris Chiozza,Brooklyn Nets,3:09,0,1,.000,0,1,.000,0,0,0,1,0,1,1,0,0,0,0,0,+8,3:09,.000,.000,1.000,.000,33.9,0.0,15.4,36.3,0.0,0.0,0.0,14.5,106,102
12,Rodions Kurucs,Brooklyn Nets,3:09,0,1,.000,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,+8,3:09,.000,.000,.000,.000,0.0,84.7,46.2,0.0,0.0,0.0,0.0,14.5,0,73
13,Team Totals,Brooklyn Nets,240,42,87,.483,17,47,.362,14,19,.737,9,45,54,26,10,6,10,20,115,0,240,.603,.580,.540,.218,20.0,83.3,54.5,61.9,10.4,11.3,9.5,100.0,119.0,89.0
0,P.J. Washington,Charlotte Hornets,37:12,6,13,.462,4,7,.571,0,0,0,1,6,7,4,1,0,2,2,16,-12,37:12,.615,.615,.538,.000,2.4,17.2,9.1,22.2,1.3,0.0,13.3,17.7,107,119
1,Miles Bridges,Charlotte Hornets,34:01,3,9,.333,2,4,.500,5,6,.833,0,5,5,5,0,0,0,2,13,-23,34:01,.558,.444,.444,.667,0.0,15.7,7.1,26.4,0.0,0.0,0.0,15.0,127,123
2,Terry Rozier,Charlotte Hornets,33:00,4,11,.364,2,4,.500,0,0,0,1,2,3,2,1,0,1,2,10,-13,33:00,.455,.455,.364,.000,2.7,6.5,4.4,11.6,1.5,0.0,8.3,16.0,89,121
3,Devonte' Graham,Charlotte Hornets,26:56,1,10,.100,0,3,.000,4,4,1.000,0,1,1,2,2,1,2,1,6,-17,26:56,.255,.100,.300,.400,0.0,4.0,1.8,12.2,3.7,4.5,14.5,22.4,54,114
4,Cody Zeller,Charlotte Hornets,21:29,7,12,.583,0,1,.000,0,0,0,2,7,9,0,0,0,1,1,14,-9,21:29,.583,.583,.083,.000,8.3,34.8,20.3,0.0,0.0,0.0,7.7,26.6,103,118
6,Malik Monk,Charlotte Hornets,26:55,5,15,.333,3,9,.333,2,4,.500,1,3,4,2,0,0,2,2,15,-21,26:55,.447,.433,.600,.267,3.3,11.9,7.2,16.2,0.0,0.0,10.7,30.6,83,123
7,Jalen McDaniels,Charlotte Hornets,22:58,3,9,.333,1,3,.333,0,1,.000,2,7,9,1,0,0,1,4,7,-14,22:58,.371,.389,.333,.111,7.7,32.5,19.0,8.5,0.0,0.0,9.6,20.0,76,118
8,Cody Martin,Charlotte Hornets,17:04,0,5,.000,0,3,.000,0,2,.000,0,2,2,3,1,1,2,1,0,-11,17:04,.000,.000,.600,.400,0.0,12.5,5.7,27.2,2.9,7.0,25.4,20.3,20,112
9,Bismack Biyombo,Charlotte Hornets,9:38,2,3,.667,0,0,0,1,4,.250,2,2,4,1,0,0,0,0,5,-10,9:38,.525,.667,.000,1.333,18.5,22.1,20.1,23.7,0.0,0.0,0.0,21.7,119,121
10,Caleb Martin,Charlotte Hornets,7:38,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,-7,7:38,0,0,0,0,0.0,14.0,6.4,40.6,0.0,0.0,100.0,5.8,68,123
11,Joe Chealey,Charlotte Hornets,3:09,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-8,3:09,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0,126
12,Willy Hernangómez,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Nicolas Batum,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Charlotte Hornets,240,31,88,.352,12,35,.343,12,21,.571,9,36,45,22,5,2,12,16,86,0,240,.442,.420,.398,.239,16.7,80.0,45.5,71.0,5.2,5.0,11.0,100.0,89.0,119.0
