,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Cedi Osman,Cleveland Cavaliers,37:48,6,15,.400,4,11,.364,3,6,.500,2,5,7,7,0,0,0,2,19,-22,37:48,.539,.533,.733,.400,7.1,19.2,12.9,29.3,0.0,0.0,0.0,19.9,134,131
1,Collin Sexton,Cleveland Cavaliers,33:24,5,15,.333,3,7,.429,4,5,.800,0,2,2,9,1,0,4,3,17,-15,33:24,.494,.433,.467,.333,0.0,8.7,4.2,42.0,1.5,0.0,18.9,27.0,105,128
2,Darius Garland,Cleveland Cavaliers,33:16,6,11,.545,2,5,.400,0,0,0,0,0,0,5,2,0,2,1,14,-14,33:16,.636,.636,.455,.000,0.0,0.0,0.0,24.6,2.9,0.0,15.4,16.6,120,126
3,Larry Nance Jr.,Cleveland Cavaliers,28:10,5,10,.500,0,4,.000,0,0,0,2,5,7,1,2,0,3,3,10,-8,28:10,.500,.500,.400,.000,9.5,25.8,17.3,5.8,3.5,0.0,23.1,19.7,85,122
4,Andre Drummond,Cleveland Cavaliers,24:41,3,3,1.000,0,0,0,0,0,0,1,5,6,1,1,0,4,3,6,-25,24:41,1.000,1.000,.000,.000,5.4,29.5,16.9,6.0,2.0,0.0,57.1,12.1,72,126
6,Tristan Thompson,Cleveland Cavaliers,25:59,7,10,.700,1,1,1.000,1,2,.500,4,3,7,1,0,0,3,2,16,-27,25:59,.735,.750,.100,.200,20.5,16.8,18.7,7.4,0.0,0.0,21.6,22.8,115,131
7,Dante Exum,Cleveland Cavaliers,25:19,3,6,.500,3,5,.600,5,6,.833,2,6,8,1,0,1,2,1,14,+2,25:19,.810,.750,.833,1.000,10.5,34.5,22.0,5.9,0.0,4.9,18.8,17.9,136,127
8,Kevin Porter Jr.,Cleveland Cavaliers,14:13,0,5,.000,0,2,.000,2,2,1.000,0,2,2,1,1,1,2,3,2,-8,14:13,.170,.000,.400,.400,0.0,20.5,9.8,8.9,3.4,8.7,25.4,23.6,40,116
9,Ante Žižić,Cleveland Cavaliers,8:35,3,3,1.000,0,0,0,1,1,1.000,0,0,0,0,1,0,2,0,7,+11,8:35,.000,.000,1.000,.000,0.0,16.9,8.1,44.1,0.0,0.0,66.7,14.9,54,132
10,Matthew Dellavedova,Cleveland Cavaliers,8:35,0,1,.000,0,1,.000,0,0,0,0,1,1,3,0,0,2,0,0,+11,8:35,1.017,1.000,.000,.333,0.0,0.0,0.0,0.0,5.7,0.0,36.8,27.0,100,119
