,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kelly Oubre Jr.,Phoenix Suns,37:55,7,13,.538,1,3,.333,3,4,.750,0,3,3,2,1,1,1,4,18,+31,37:55,.610,.577,.231,.308,0.0,11.9,5.6,6.3,1.3,3.0,6.3,18.0,123,114
1,Devin Booker,Phoenix Suns,34:19,8,18,.444,2,4,.500,6,7,.857,0,4,4,10,0,0,4,5,24,+13,34:19,.569,.500,.222,.389,0.0,17.5,8.2,37.0,0.0,0.0,15.9,31.7,118,119
2,Ricky Rubio,Phoenix Suns,32:50,6,13,.462,2,3,.667,8,9,.889,1,5,6,11,7,0,1,4,22,+31,32:50,.649,.538,.231,.692,4.1,22.8,12.9,40.0,10.5,0.0,5.6,23.7,153,94
3,Mikal Bridges,Phoenix Suns,30:13,3,3,1.000,0,0,0,2,2,1.000,1,2,3,0,0,0,0,4,8,+15,30:13,1.031,1.000,.000,.667,4.4,9.9,7.0,0.0,0.0,0.0,0.0,5.6,216,120
4,Deandre Ayton,Phoenix Suns,21:20,8,9,.889,0,0,0,0,0,0,2,3,5,2,0,0,1,4,16,+5,21:20,.889,.889,.000,.000,12.5,21.1,16.5,14.5,0.0,0.0,10.0,20.4,161,118
6,Cameron Johnson,Phoenix Suns,20:20,3,3,1.000,2,2,1.000,0,0,0,0,0,0,1,1,0,0,2,8,0,20:20,1.333,1.333,.667,.000,0.0,0.0,0.0,5.6,2.4,0.0,0.0,6.4,259,115
7,Aron Baynes,Phoenix Suns,16:21,4,10,.400,1,2,.500,0,0,0,6,2,8,1,0,0,0,2,9,+1,16:21,.450,.450,.200,.000,48.9,18.3,34.5,7.9,0.0,0.0,0.0,26.6,131,119
8,Dario Šarić,Phoenix Suns,16:01,5,5,1.000,2,2,1.000,2,2,1.000,0,3,3,2,0,0,2,2,14,+15,16:01,1.190,1.200,.400,.400,0.0,28.1,13.2,17.6,0.0,0.0,25.4,21.4,157,117
9,Jevon Carter,Phoenix Suns,15:08,3,8,.375,2,4,.500,0,0,0,0,1,1,4,1,0,0,3,8,+7,15:08,.500,.500,.500,.000,0.0,9.9,4.7,32.1,3.2,0.0,0.0,23.0,130,112
10,Elie Okobo,Phoenix Suns,11:17,0,2,.000,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,-14,11:17,.000,.000,.000,.000,0.0,39.9,18.8,0.0,0.0,0.0,60.0,19.2,0,116
11,Cheick Diallo,Phoenix Suns,2:08,1,2,.500,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,-2,2:08,.500,.500,.000,.000,62.5,0.0,33.1,0.0,0.0,0.0,33.3,61.1,82,120
12,Ty Jerome,Phoenix Suns,2:08,1,1,1.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,-2,2:08,1.000,1.000,.000,.000,0.0,70.3,33.1,0.0,0.0,0.0,0.0,20.4,200,112
13,Team Totals,Phoenix Suns,240,49,87,.563,12,20,.600,21,24,.875,11,27,38,33,10,1,13,31,131,0,240,.671,.632,.230,.276,30.6,84.4,55.9,67.3,10.2,2.4,11.8,100.0,134.1,113.6
0,Rudy Gobert,Utah Jazz,36:41,3,5,.600,0,0,0,7,8,.875,0,8,8,2,1,1,1,3,13,-12,36:41,.763,.600,.000,1.600,0.0,29.1,15.4,9.3,1.3,2.0,10.5,11.8,147,131
1,Donovan Mitchell,Utah Jazz,35:20,11,19,.579,6,9,.667,10,12,.833,1,3,4,4,1,0,4,4,38,-19,35:20,.783,.737,.474,.632,4.2,11.3,8.0,31.9,1.4,0.0,14.1,36.3,137,136
2,Bojan Bogdanović,Utah Jazz,33:58,4,10,.400,0,3,.000,8,8,1.000,0,3,3,2,2,0,3,1,16,-7,33:58,.592,.400,.300,.800,0.0,11.8,6.2,10.7,2.9,0.0,18.2,22.0,105,132
