,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Malik Beasley,Minnesota Timberwolves,32:49,7,14,.500,3,9,.333,4,5,.800,0,6,6,5,2,0,1,3,21,+11,32:49,.648,.607,.643,.357,0.0,24.4,11.5,19.9,2.7,0.0,5.8,21.3,130,117
1,D'Angelo Russell,Minnesota Timberwolves,31:29,9,18,.500,7,14,.500,2,3,.667,0,5,5,6,3,1,3,2,27,0,31:29,.699,.694,.778,.167,0.0,21.2,10.0,27.5,4.2,2.9,13.4,28.8,122,112
2,Juancho Hernangómez,Minnesota Timberwolves,31:02,7,11,.636,3,5,.600,0,1,.000,0,5,5,1,2,0,3,1,17,0,31:02,.743,.773,.455,.091,0.0,21.5,10.2,4.3,2.8,0.0,20.8,18.9,105,117
3,Josh Okogie,Minnesota Timberwolves,27:50,3,5,.600,0,0,0,0,0,0,0,0,0,1,0,2,0,4,6,-4,27:50,.600,.600,.000,.000,0.0,0.0,0.0,4.1,0.0,6.6,0.0,7.3,123,122
4,Naz Reid,Minnesota Timberwolves,18:47,4,7,.571,0,3,.000,1,3,.333,0,3,3,0,1,1,0,5,9,+2,18:47,.541,.571,.429,.429,0.0,21.3,10.1,0.0,2.3,4.9,0.0,18.0,103,115
6,James Johnson,Minnesota Timberwolves,23:24,5,11,.455,0,3,.000,1,1,1.000,2,3,5,4,1,2,4,6,11,-12,23:24,.481,.455,.273,.091,10.3,17.1,13.5,22.3,1.9,7.9,25.9,26.8,90,114
7,Jordan McLaughlin,Minnesota Timberwolves,21:30,4,5,.800,2,3,.667,3,4,.750,0,1,1,5,3,0,0,2,13,+20,21:30,.962,1.000,.600,.800,0.0,6.2,2.9,29.3,6.1,0.0,0.0,12.8,200,112
8,Jarrett Culver,Minnesota Timberwolves,21:05,4,9,.444,1,2,.500,0,0,0,2,1,3,1,2,2,3,5,9,-1,21:05,.500,.500,.222,.000,11.4,6.3,9.0,6.0,4.2,8.8,25.0,23.2,84,110
9,Kelan Martin,Minnesota Timberwolves,18:52,4,8,.500,1,5,.200,2,2,1.000,1,1,2,3,0,0,2,2,11,-1,18:52,.619,.563,.625,.250,6.4,7.1,6.7,20.7,0.0,0.0,18.4,23.5,114,126
10,Jake Layman,Minnesota Timberwolves,13:12,0,3,.000,0,2,.000,5,6,.833,0,3,3,2,2,0,0,5,5,0,13:12,.443,.000,.667,2.000,0.0,30.3,14.4,15.5,6.7,0.0,0.0,17.4,113,107
11,Jaylen Nowell,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jacob Evans,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jarred Vanderbilt,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Minnesota Timberwolves,240,47,91,.516,17,46,.370,18,25,.720,5,28,33,28,16,8,16,35,129,0,240,.632,.610,.505,.275,12.5,77.8,43.4,59.6,14.6,15.4,13.6,100.0,118.1,115.3
0,Jimmy Butler,Miami Heat,35:12,4,10,.400,0,0,0,10,11,.909,3,1,4,9,0,2,4,1,18,+4,35:12,.606,.400,.000,1.100,11.4,3.4,7.2,34.5,0.0,6.1,21.2,21.8,125,121
1,Bam Adebayo,Miami Heat,33:12,6,13,.462,0,1,.000,10,15,.667,1,9,10,7,0,2,4,5,22,+4,33:12,.561,.462,.077,1.154,4.0,32.5,19.0,31.3,0.0,6.4,16.9,28.9,111,118
2,Kendrick Nunn,Miami Heat,31:07,9,19,.474,2,6,.333,4,6,.667,1,1,2,6,0,0,1,5,24,+6,31:07,.555,.526,.316,.316,4.3,3.9,4.1,34.1,0.0,0.0,4.4,29.6,120,125
3,Duncan Robinson,Miami Heat,26:29,3,6,.500,3,6,.500,0,0,0,1,3,4,1,1,0,3,1,9,-9,26:29,.750,.750,1.000,.000,5.0,13.6,9.5,5.1,1.7,0.0,33.3,13.8,93,121
4,Kelly Olynyk,Miami Heat,16:24,4,4,1.000,3,3,1.000,0,0,0,0,8,8,1,2,1,1,1,11,+2,16:24,1.375,1.375,.750,.000,0.0,58.5,30.8,10.0,5.4,6.5,20.0,12.4,170,103
6,Jae Crowder,Miami Heat,31:32,2,9,.222,1,7,.143,0,0,0,0,9,9,0,3,1,1,2,5,-7,31:32,.278,.278,.778,.000,0.0,34.2,18.0,0.0,4.2,3.4,10.0,12.9,52,111
