,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,D'Angelo Russell,Minnesota Timberwolves,36:02,11,22,.500,5,11,.455,1,2,.500,0,3,3,7,1,1,4,2,28,+8,36:02,.612,.614,.500,.091,0.0,10.8,4.6,29.7,1.2,2.3,14.9,29.7,108,125
1,Malik Beasley,Minnesota Timberwolves,34:26,7,18,.389,3,9,.333,0,0,0,0,4,4,1,1,0,0,1,17,-9,34:26,.472,.472,.500,.000,0.0,15.1,6.4,3.8,1.3,0.0,0.0,20.8,93,126
2,Juancho Hernangómez,Minnesota Timberwolves,31:25,6,11,.545,4,8,.500,2,2,1.000,3,10,13,5,2,1,2,0,18,+9,31:25,.758,.727,.727,.182,9.2,41.3,22.8,20.7,2.8,2.6,14.4,17.6,140,116
3,Josh Okogie,Minnesota Timberwolves,27:41,4,6,.667,1,3,.333,5,6,.833,1,4,5,4,1,0,2,1,14,+15,27:41,.810,.750,.500,1.000,3.5,18.7,10.0,17.8,1.6,0.0,18.8,15.3,143,125
4,Naz Reid,Minnesota Timberwolves,23:10,3,6,.500,1,2,.500,0,1,.000,0,1,1,2,0,2,0,4,7,+7,23:10,.543,.583,.333,.167,0.0,5.6,2.4,10.4,0.0,7.1,0.0,11.1,115,126
6,James Johnson,Minnesota Timberwolves,26:19,8,10,.800,0,2,.000,1,4,.250,0,3,3,4,2,2,3,5,17,-17,26:19,.723,.800,.200,.400,0.0,14.8,6.3,23.2,3.3,6.3,20.3,22.3,115,117
7,Jordan McLaughlin,Minnesota Timberwolves,18:23,1,4,.250,1,3,.333,3,5,.600,0,1,1,3,1,0,2,0,6,-11,18:23,.484,.375,.750,1.250,0.0,7.1,3.0,18.1,2.4,0.0,24.4,17.8,90,125
8,Jarrett Culver,Minnesota Timberwolves,16:59,2,7,.286,1,3,.333,0,0,0,1,1,2,1,0,0,0,2,5,-23,16:59,.357,.357,.429,.000,5.7,7.6,6.5,7.0,0.0,0.0,0.0,16.4,86,130
9,Jake Layman,Minnesota Timberwolves,13:53,3,7,.429,1,2,.500,2,2,1.000,0,0,0,0,1,0,1,1,9,-16,13:53,.571,.500,.286,.286,0.0,0.0,0.0,0.0,3.1,0.0,11.3,25.5,97,124
10,Kelan Martin,Minnesota Timberwolves,11:41,1,4,.250,0,1,.000,2,2,1.000,1,0,1,0,1,0,1,4,4,-18,11:41,.410,.250,.250,.500,8.2,0.0,4.7,0.0,3.7,0.0,17.0,20.0,81,123
11,Jaylen Nowell,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jarred Vanderbilt,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jacob Evans,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Minnesota Timberwolves,240,46,95,.484,17,44,.386,16,24,.667,6,27,33,27,10,6,15,20,125,0,240,.592,.574,.463,.253,12.0,73.0,37.9,58.7,9.0,10.3,12.4,100.0,112.6,122.5
0,Aaron Gordon,Orlando Magic,41:01,6,13,.462,1,6,.167,4,5,.800,2,9,11,12,0,2,2,2,17,0,41:01,.559,.500,.462,.385,6.3,21.1,14.8,30.5,0.0,4.6,11.6,16.4,132,113
1,Nikola Vučević,Orlando Magic,34:27,12,18,.667,0,4,.000,3,4,.750,0,10,10,5,0,1,1,3,27,+8,34:27,.683,.667,.222,.222,0.0,27.9,16.0,19.2,0.0,2.7,4.8,23.6,138,113
2,Markelle Fultz,Orlando Magic,28:09,5,11,.455,0,3,.000,4,6,.667,1,2,3,7,1,0,3,2,14,-14,28:09,.688,.688,.500,.000,0.0,3.4,2.0,11.5,1.5,3.3,33.3,16.7,92,112
