,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Bradley Beal,Washington Wizards,40:30,17,33,.515,6,15,.400,2,4,.500,1,4,5,10,2,0,2,3,42,-5,40:30,.604,.606,.455,.121,2.3,11.0,6.2,47.7,2.3,0.0,5.4,36.8,128,130
1,Rui Hachimura,Washington Wizards,32:06,6,10,.600,1,2,.500,2,2,1.000,4,3,7,0,3,0,1,2,15,0,32:06,.689,.650,.200,.200,11.5,10.4,11.0,0.0,4.4,0.0,8.4,15.0,138,125
2,Shabazz Napier,Washington Wizards,24:36,2,8,.250,0,1,.000,6,7,.857,2,0,2,0,1,0,2,2,10,-1,24:36,.451,.250,.125,.875,7.5,0.0,4.1,0.0,1.9,0.0,15.3,21.6,92,135
3,Ian Mahinmi,Washington Wizards,13:35,1,6,.167,0,0,0,0,0,0,1,4,5,0,1,1,0,3,2,-3,13:35,.167,.167,.000,.000,6.8,32.9,18.6,0.0,3.5,6.8,0.0,17.9,51,115
4,Isaac Bonga,Washington Wizards,12:40,0,2,.000,0,1,.000,0,0,0,2,2,4,2,0,0,1,2,0,+7,12:40,.000,.000,.500,.000,14.6,17.6,16.0,16.8,0.0,0.0,33.3,9.6,72,132
6,Dāvis Bertāns,Washington Wizards,28:18,1,8,.125,1,8,.125,4,5,.800,0,5,5,0,1,1,0,2,7,-13,28:18,.343,.188,1.000,.625,0.0,19.7,8.9,0.0,1.7,3.3,0.0,14.6,80,126
7,Ish Smith,Washington Wizards,22:04,2,5,.400,0,0,0,0,0,0,1,2,3,2,2,0,1,3,4,-13,22:04,.400,.400,.000,.000,4.2,10.1,6.9,10.7,4.3,0.0,16.7,11.0,92,125
8,Jerome Robinson,Washington Wizards,21:57,2,6,.333,1,4,.250,0,0,0,1,3,4,1,1,2,2,1,5,-22,21:57,.417,.417,.667,.000,4.2,15.3,9.2,5.4,2.2,8.4,25.0,14.8,75,124
9,Troy Brown Jr.,Washington Wizards,18:33,4,7,.571,2,3,.667,1,1,1.000,0,3,3,4,1,0,0,1,11,-7,18:33,.739,.714,.429,.143,0.0,18.1,8.2,29.9,2.6,0.0,0.0,16.3,165,127
10,Thomas Bryant,Washington Wizards,17:31,7,10,.700,2,2,1.000,0,2,.000,1,1,2,3,0,0,1,1,16,0,17:31,.735,.800,.200,.200,5.3,6.4,5.8,31.8,0.0,0.0,8.4,27.5,138,137
11,Moritz Wagner,Washington Wizards,6:50,1,1,1.000,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,+3,6:50,1.000,1.000,.000,.000,0.0,16.3,7.4,18.5,0.0,0.0,50.0,11.9,102,134
12,Gary Payton II,Washington Wizards,1:20,2,2,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,5,+4,1:20,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,250,140
13,Team Totals,Washington Wizards,240,45,98,.459,14,37,.378,15,21,.714,13,28,41,23,12,4,11,20,119,0,240,.555,.531,.378,.214,25.0,65.1,43.2,51.1,11.9,7.7,9.3,100.0,117.6,127.5
0,Rudy Gobert,Utah Jazz,34:37,4,4,1.000,0,0,0,1,4,.250,1,8,9,0,3,4,3,3,9,-16,34:37,.781,1.000,.000,1.000,3.2,21.3,13.1,0.0,4.1,9.1,34.2,10.4,91,104
1,Bojan Bogdanović,Utah Jazz,32:57,7,17,.412,4,9,.444,3,3,1.000,1,0,1,3,0,0,2,3,21,-10,32:57,.573,.529,.529,.176,3.4,0.0,1.5,12.9,0.0,0.0,9.8,25.3,123,126
2,Donovan Mitchell,Utah Jazz,32:50,9,21,.429,4,6,.667,8,10,.800,3,5,8,3,0,0,2,4,30,-16,32:50,.591,.524,.286,.476,10.2,14.1,12.3,14.2,0.0,0.0,7.3,34.2,131,122
3,Mike Conley,Utah Jazz,32:30,5,11,.455,2,6,.333,4,4,1.000,1,4,5,6,1,0,1,3,16,+18,32:30,.627,.545,.545,.364,3.4,11.4,7.8,24.2,1.5,0.0,7.3,17.3,148,119
4,Royce O'Neale,Utah Jazz,32:25,2,5,.400,2,4,.500,2,5,.400,0,7,7,2,1,1,1,4,8,-5,32:25,.556,.600,.800,1.000,0.0,19.9,10.9,7.2,1.5,2.4,12.2,10.4,114,115
6,Joe Ingles,Utah Jazz,26:45,3,5,.600,2,4,.500,2,2,1.000,1,6,7,6,0,0,2,2,10,+17,26:45,.850,.800,.800,.400,4.2,20.7,13.2,27.9,0.0,0.0,25.4,12.1,154,120
7,Jordan Clarkson,Utah Jazz,23:00,9,17,.529,2,4,.500,0,0,0,4,4,8,2,2,0,4,2,20,+17,23:00,.588,.588,.235,.000,19.4,16.1,17.6,16.6,4.1,0.0,19.0,37.4,109,112
8,Tony Bradley,Utah Jazz,12:38,3,6,.500,1,1,1.000,2,2,1.000,4,3,7,1,0,0,0,1,9,+22,12:38,.654,.583,.167,.333,35.3,21.9,28.0,11.7,0.0,0.0,0.0,22.3,167,119
9,Georges Niang,Utah Jazz,12:18,2,3,.667,2,3,.667,0,0,0,0,2,2,0,0,0,0,0,6,+23,12:18,1.000,1.000,1.000,.000,0.0,15.0,8.2,0.0,0.0,0.0,0.0,10.0,201,122
10,Emmanuel Mudiay,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Juwan Morgan,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Rayjon Tucker,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ed Davis,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Utah Jazz,240,44,89,.494,19,37,.514,22,30,.733,15,39,54,23,7,5,15,22,129,0,240,.631,.601,.416,.337,34.9,75.0,56.8,52.3,6.9,8.2,12.8,100.0,127.5,117.6
