,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Svi Mykhailiuk,Detroit Pistons,38:51,4,11,.364,4,9,.444,2,2,1.000,1,5,6,2,0,0,4,5,14,-2,38:51,.589,.545,.818,.182,3.0,11.9,8.0,8.8,0.0,0.0,25.2,18.8,91,118
1,Tony Snell,Detroit Pistons,38:21,3,9,.333,3,6,.500,3,3,1.000,0,4,4,6,1,1,0,2,12,+8,38:21,.581,.500,.667,.333,0.0,9.6,5.4,25.7,1.3,2.2,0.0,12.4,139,115
2,Christian Wood,Detroit Pistons,35:16,7,16,.438,1,4,.250,5,7,.714,2,10,12,0,0,1,0,1,20,+3,35:16,.524,.469,.250,.438,6.6,26.2,17.6,0.0,0.0,2.4,0.0,24.8,110,109
3,John Henson,Detroit Pistons,22:17,5,8,.625,0,1,.000,0,4,.000,2,3,5,3,2,1,2,1,10,+6,22:17,.512,.625,.125,.500,10.5,12.4,11.6,29.1,4.6,3.8,17.0,24.2,97,105
4,Derrick Rose,Detroit Pistons,9:23,3,5,.600,1,1,1.000,2,2,1.000,0,3,3,2,0,0,1,1,9,+11,9:23,.765,.700,.200,.400,0.0,29.5,16.5,58.0,0.0,0.0,14.5,33.7,135,109
6,Brandon Knight,Detroit Pistons,25:17,5,12,.417,5,10,.500,1,2,.500,0,3,3,7,0,0,4,3,16,-12,25:17,.621,.625,.833,.167,0.0,11.0,6.1,56.5,0.0,0.0,23.7,30.6,106,118
7,Langston Galloway,Detroit Pistons,24:21,4,12,.333,3,8,.375,0,0,0,1,1,2,1,0,0,0,4,11,-8,24:21,.458,.458,.667,.000,4.8,3.8,4.2,7.8,0.0,0.0,0.0,22.6,97,122
8,Sekou Doumbouya,Detroit Pistons,15:39,1,3,.333,0,1,.000,3,4,.750,0,3,3,0,0,0,2,4,5,-17,15:39,.525,.333,.333,1.333,0.0,17.7,9.9,0.0,0.0,0.0,29.6,19.8,75,115
9,Donta Hall,Detroit Pistons,13:28,0,2,.000,0,0,0,0,0,0,1,3,4,0,0,1,0,1,0,-8,13:28,.000,.000,.000,.000,8.7,20.6,15.3,0.0,0.0,6.4,0.0,6.8,38,110
10,Derrick Walton,Detroit Pistons,13:20,1,1,1.000,1,1,1.000,0,0,0,0,0,0,2,2,0,1,2,3,-5,13:20,1.500,1.500,1.000,.000,0.0,0.0,0.0,24.5,7.7,0.0,50.0,6.9,140,107
11,Khyri Thomas,Detroit Pistons,3:47,0,1,.000,0,1,.000,0,0,0,0,0,0,0,1,0,0,1,0,-6,3:47,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,13.5,0.0,0.0,12.1,0,93
12,Thon Maker,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bruce Brown,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Detroit Pistons,240,33,80,.413,18,42,.429,16,24,.667,7,35,42,23,6,4,14,25,100,0,240,.552,.525,.525,.300,17.1,67.3,45.2,69.7,6.4,7.1,13.4,100.0,106.7,113.1
0,Harrison Barnes,Sacramento Kings,35:54,3,9,.333,1,3,.333,3,4,.750,1,7,8,4,1,0,1,1,10,0,35:54,.465,.389,.333,.444,2.6,22.8,11.5,16.2,1.4,0.0,8.5,14.0,111,109
1,De'Aaron Fox,Sacramento Kings,32:17,7,16,.438,0,4,.000,9,10,.900,2,1,3,7,0,1,2,3,23,+7,32:17,.564,.438,.250,.625,5.7,3.6,4.8,39.1,0.0,3.9,8.9,29.6,126,114
2,Bogdan Bogdanović,Sacramento Kings,27:55,5,12,.417,3,8,.375,2,3,.667,0,0,0,0,4,0,1,3,15,-1,27:55,.563,.542,.667,.250,0.0,0.0,0.0,0.0,7.3,0.0,7.0,21.9,112,99
3,Nemanja Bjelica,Sacramento Kings,23:41,3,10,.300,1,6,.167,0,0,0,4,3,7,2,1,0,1,2,7,-1,23:41,.350,.350,.600,.000,15.6,14.8,15.3,13.1,2.2,0.0,9.1,19.8,96,108
4,Harry Giles,Sacramento Kings,20:21,5,9,.556,0,0,0,2,2,1.000,2,5,7,0,1,1,0,4,12,-5,20:21,.607,.556,.000,.222,9.1,28.8,17.8,0.0,2.5,6.2,0.0,20.7,138,100
6,Kent Bazemore,Sacramento Kings,31:29,1,6,.167,0,2,.000,5,5,1.000,0,4,4,2,0,0,2,4,7,+6,31:29,.427,.167,.333,.833,0.0,14.9,6.6,8.6,0.0,0.0,19.6,13.8,87,113
7,Alex Len,Sacramento Kings,27:33,4,8,.500,0,0,0,0,0,0,6,7,13,0,0,5,0,3,8,+9,27:33,.500,.500,.000,.000,20.1,29.7,24.4,0.0,0.0,22.9,0.0,12.4,133,96
8,Buddy Hield,Sacramento Kings,25:07,7,17,.412,3,11,.273,2,2,1.000,0,6,6,2,0,0,3,0,19,+16,25:07,.531,.500,.647,.118,0.0,28.0,12.3,16.2,0.0,0.0,14.4,35.5,99,111
9,Cory Joseph,Sacramento Kings,15:43,2,4,.500,1,1,1.000,0,0,0,2,1,3,1,1,0,0,0,5,-1,15:43,.625,.625,.250,.000,11.7,7.4,9.9,9.9,3.3,0.0,0.0,10.9,153,108
10,Yogi Ferrell,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jabari Parker,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kyle Guy,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Justin James,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Sacramento Kings,240,37,91,.407,9,35,.257,23,26,.885,17,34,51,18,8,7,10,20,106,0,240,.517,.456,.385,.286,32.7,82.9,54.8,48.6,8.5,18.4,8.9,100.0,113.1,106.7
