,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Pascal Siakam,Toronto Raptors,43:25,12,20,.600,5,9,.556,4,6,.667,1,6,7,3,1,2,5,4,33,+13,43:25,.729,.725,.450,.300,2.9,15.1,9.4,12.4,1.1,4.8,18.1,26.3,123,109
1,Norman Powell,Toronto Raptors,38:29,8,15,.533,2,6,.333,8,9,.889,0,2,2,4,2,1,3,4,26,+8,38:29,.686,.600,.400,.600,0.0,5.7,3.0,16.6,2.4,2.7,13.7,23.5,129,108
2,OG Anunoby,Toronto Raptors,37:11,5,12,.417,1,3,.333,0,0,0,1,8,9,2,2,1,1,6,11,+13,37:11,.458,.458,.250,.000,3.4,23.5,14.2,7.7,2.5,2.8,7.7,14.4,100,105
3,Kyle Lowry,Toronto Raptors,36:57,8,19,.421,4,8,.500,8,8,1.000,0,5,5,6,1,0,3,1,28,+18,36:57,.622,.526,.421,.421,0.0,14.8,7.9,26.3,1.2,0.0,11.8,28.5,125,112
4,Patrick McCaw,Toronto Raptors,33:42,2,6,.333,0,2,.000,1,2,.500,0,3,3,2,1,0,0,4,5,+8,33:42,.363,.333,.333,.333,0.0,9.7,5.2,7.7,1.4,0.0,0.0,8.4,95,112
6,Chris Boucher,Toronto Raptors,28:44,5,12,.417,2,5,.400,7,8,.875,6,9,15,0,2,1,1,3,19,+13,28:44,.612,.500,.417,.667,26.4,34.2,30.6,0.0,3.2,3.6,6.1,23.7,138,102
7,Rondae Hollis-Jefferson,Toronto Raptors,7:57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,-14,7:57,0,0,0,0,0.0,13.7,7.4,0.0,0.0,0.0,100.0,5.2,0,115
8,Terence Davis,Toronto Raptors,6:52,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,1,1,1,-12,6:52,.266,.000,1.000,2.000,0.0,15.9,8.5,0.0,0.0,0.0,34.7,17.3,38,114
9,Matt Thomas,Toronto Raptors,6:43,0,1,.000,0,0,0,0,0,0,1,3,4,0,0,0,0,1,0,-2,6:43,.000,.000,.000,.000,18.8,48.7,34.9,0.0,0.0,0.0,0.0,6.1,72,109
10,Stanley Johnson,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
