,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Norman Powell,Toronto Raptors,42:47,11,21,.524,6,12,.500,3,4,.750,0,2,2,5,2,1,1,2,31,+17,42:47,.681,.667,.571,.190,0.0,5.1,2.6,21.0,2.3,1.9,4.2,25.9,127,116
1,OG Anunoby,Toronto Raptors,38:50,4,7,.571,2,3,.667,2,4,.500,0,2,2,0,1,0,2,4,12,+10,38:50,.685,.714,.429,.571,0.0,5.6,2.9,0.0,1.2,0.0,18.6,12.9,97,119
2,Pascal Siakam,Toronto Raptors,38:25,7,15,.467,2,8,.250,7,8,.875,0,8,8,5,3,0,1,3,23,+10,38:25,.621,.533,.533,.533,0.0,22.7,11.6,20.6,3.8,0.0,5.1,23.7,125,109
3,Serge Ibaka,Toronto Raptors,35:48,5,10,.500,1,4,.250,4,4,1.000,2,8,10,5,0,2,2,3,15,+15,35:48,.638,.550,.400,.400,6.4,24.4,15.6,20.8,0.0,4.5,14.5,17.9,127,114
4,Kyle Lowry,Toronto Raptors,35:44,10,15,.667,6,10,.600,4,5,.800,0,5,5,8,3,0,2,5,30,+16,35:44,.872,.867,.667,.333,0.0,15.3,7.8,42.0,4.1,0.0,10.4,25.1,155,111
6,Patrick McCaw,Toronto Raptors,16:47,1,3,.333,1,3,.333,0,0,0,0,2,2,1,1,0,0,1,3,-17,16:47,.500,.500,1.000,.000,0.0,13.0,6.7,7.9,2.9,0.0,0.0,8.3,105,114
7,Marc Gasol,Toronto Raptors,15:46,1,5,.200,1,3,.333,0,0,0,0,2,2,2,0,0,0,0,3,-5,15:46,.300,.300,.600,.000,0.0,13.8,7.1,16.9,0.0,0.0,0.0,14.8,78,120
8,Terence Davis,Toronto Raptors,5:53,0,4,.000,0,3,.000,0,0,0,0,3,3,0,0,0,1,2,0,-10,5:53,.000,.000,.750,.000,0.0,55.6,28.5,0.0,0.0,0.0,20.0,39.7,0,110
9,Rondae Hollis-Jefferson,Toronto Raptors,5:43,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-3,5:43,0,0,0,0,0.0,19.1,9.8,21.5,0.0,0.0,0,0.0,249,119
10,Matt Thomas,Toronto Raptors,4:17,0,2,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,0,2,1,-8,4:17,.174,.000,1.000,1.000,0.0,25.5,13.0,0.0,0.0,0.0,0.0,31.4,37,117
11,Stanley Johnson,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Malcolm Miller,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Chris Boucher,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Toronto Raptors,240,39,82,.476,19,48,.396,21,27,.778,2,34,36,27,10,3,9,22,118,0,240,.628,.591,.585,.329,4.8,77.3,41.9,69.2,10.1,5.1,8.7,100.0,119.1,114.1
0,Harrison Barnes,Sacramento Kings,33:58,3,10,.300,1,3,.333,2,2,1.000,3,2,5,3,1,1,0,0,9,-3,33:58,.414,.350,.300,.200,9.6,6.7,8.2,11.2,1.4,4.2,0.0,13.8,113,119
1,De'Aaron Fox,Sacramento Kings,30:40,8,16,.500,2,6,.333,10,10,1.000,1,3,4,4,0,0,3,4,28,-25,30:40,.686,.563,.375,.625,3.6,11.2,7.3,21.2,0.0,0.0,12.8,33.0,129,125
2,Bogdan Bogdanović,Sacramento Kings,30:07,4,10,.400,1,6,.167,0,1,.000,0,4,4,2,1,1,3,4,9,-17,30:07,.431,.450,.600,.100,0.0,15.2,7.4,8.9,1.6,4.7,22.3,19.3,71,117
3,Nemanja Bjelica,Sacramento Kings,29:53,6,12,.500,0,4,.000,2,2,1.000,2,8,10,2,0,1,0,3,14,-5,29:53,.543,.500,.333,.167,7.3,30.6,18.7,9.9,0.0,4.7,0.0,18.6,124,120
