,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Devonte' Graham,Charlotte Hornets,46:05,9,26,.346,4,14,.286,5,5,1.000,0,4,4,10,4,0,0,2,27,-5,46:05,.479,.423,.538,.192,0.0,12.9,5.7,33.4,4.7,0.0,0.0,30.3,114,128
1,Terry Rozier,Charlotte Hornets,43:49,15,26,.577,8,13,.615,2,3,.667,1,3,4,3,1,0,1,1,40,-2,43:49,.732,.731,.500,.115,2.7,10.2,6.0,13.6,1.2,0.0,3.5,32.0,136,137
2,Miles Bridges,Charlotte Hornets,26:12,2,10,.200,0,5,.000,0,0,0,1,3,4,4,0,1,0,1,4,+2,26:12,.200,.200,.500,.000,4.5,17.0,10.1,19.9,0.0,4.2,0.0,18.9,73,136
3,Cody Zeller,Charlotte Hornets,22:49,3,5,.600,0,0,0,4,4,1.000,3,4,7,2,0,0,1,1,10,-16,22:49,.740,.600,.000,.800,15.6,26.1,20.2,12.3,0.0,0.0,12.9,16.8,153,136
4,P.J. Washington,Charlotte Hornets,16:28,1,6,.167,0,2,.000,0,0,0,0,2,2,0,0,1,1,4,2,0,16:28,.167,.167,.333,.000,0.0,18.1,8.0,0.0,0.0,6.6,14.3,21.1,30,132
6,Caleb Martin,Charlotte Hornets,36:31,8,10,.800,5,6,.833,2,2,1.000,0,0,0,4,3,2,0,6,23,+2,36:31,1.057,1.050,.600,.200,0.0,0.0,0.0,17.5,4.4,6.0,0.0,14.8,206,127
7,Cody Martin,Charlotte Hornets,35:27,3,8,.375,1,5,.200,4,4,1.000,1,3,4,5,0,0,0,3,11,-4,35:27,.564,.438,.625,.500,3.3,12.6,7.4,18.6,0.0,0.0,0.0,13.6,139,139
8,Bismack Biyombo,Charlotte Hornets,34:27,4,5,.800,0,0,0,2,3,.667,1,5,6,2,0,2,0,1,10,+6,34:27,.791,.800,.000,.600,3.4,21.6,11.5,8.0,0.0,6.4,0.0,9.1,171,134
9,Jalen McDaniels,Charlotte Hornets,28:12,4,8,.500,1,3,.333,2,2,1.000,1,3,4,1,1,0,0,3,11,-8,28:12,.619,.563,.375,.250,4.2,15.8,9.3,5.0,1.9,0.0,0.0,15.6,133,134
10,Joe Chealey,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Nicolas Batum,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Willy Hernangómez,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dwayne Bacon,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Charlotte Hornets,290,49,104,.471,19,48,.396,21,23,.913,8,27,35,31,9,6,3,22,138,0,290,.605,.563,.462,.221,16.3,69.2,39.8,63.3,8.4,11.3,2.6,100.0,128.8,133.5
0,Kevin Huerter,Atlanta Hawks,46:10,4,12,.333,2,7,.286,0,0,0,0,5,5,6,0,0,1,5,10,0,46:10,.417,.417,.583,.000,0.0,12.8,7.1,15.7,0.0,0.0,7.7,13.3,111,132
1,John Collins,Atlanta Hawks,45:37,12,13,.923,0,0,0,4,8,.500,5,6,11,0,0,2,2,3,28,-1,45:37,.847,.923,.000,.615,16.3,15.6,15.9,0.0,0.0,4.5,10.8,19.2,152,128
2,Trae Young,Atlanta Hawks,43:33,11,25,.440,6,13,.462,3,4,.750,0,4,4,16,0,0,6,3,31,+9,43:33,.579,.560,.520,.160,0.0,10.9,6.1,55.6,0.0,0.0,18.3,35.5,123,132
3,De'Andre Hunter,Atlanta Hawks,37:19,3,5,.600,3,4,.750,4,5,.800,1,10,11,2,0,0,1,5,13,+3,37:19,.903,.900,.800,1.000,4.0,31.7,19.4,6.4,0.0,0.0,12.2,10.4,167,128
4,Dewayne Dedmon,Atlanta Hawks,27:45,6,13,.462,2,4,.500,0,1,.000,3,6,9,2,0,3,3,6,14,+20,27:45,.521,.538,.308,.077,16.1,25.6,21.4,10.3,0.0,11.2,18.2,28.0,102,120
6,Cam Reddish,Atlanta Hawks,40:10,8,14,.571,3,8,.375,3,4,.750,1,6,7,2,1,0,1,1,22,-4,40:10,.698,.679,.571,.286,3.7,17.7,11.5,7.0,1.3,0.0,6.0,19.7,141,128
7,Treveon Graham,Atlanta Hawks,15:22,2,3,.667,1,1,1.000,2,5,.400,2,2,4,1,0,0,1,1,7,-5,15:22,.673,.833,.333,1.667,19.4,15.4,17.2,8.3,0.0,0.0,16.1,19.0,128,132
8,Vince Carter,Atlanta Hawks,15:08,3,6,.500,3,5,.600,0,0,0,0,0,0,1,0,0,0,1,9,0,15:08,.750,.750,.833,.000,0.0,0.0,0.0,9.2,0.0,0.0,0.0,18.7,158,135
9,Jeff Teague,Atlanta Hawks,14:25,3,4,.750,1,1,1.000,0,0,0,0,1,1,3,0,0,0,0,7,+3,14:25,.875,.875,.250,.000,0.0,8.2,4.6,29.5,0.0,0.0,0.0,13.1,193,133
10,Bruno Fernando,Atlanta Hawks,4:31,1,1,1.000,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,4:31,1.000,1.000,.000,.000,0.0,26.2,14.6,0.0,0.0,0.0,0.0,10.5,200,129
11,Brandon Goodwin,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Damian Jones,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Atlanta Hawks,290,53,96,.552,21,43,.488,16,27,.593,12,41,53,33,1,5,15,26,143,0,290,.663,.661,.448,.281,30.8,83.7,60.2,62.3,0.9,8.9,12.2,100.0,133.5,128.8
