,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Sterling Brown,Milwaukee Bucks,36:21,6,16,.375,3,8,.375,1,2,.500,2,4,6,3,0,1,1,0,16,-7,36:21,.474,.469,.500,.125,5.0,12.3,8.3,15.2,0.0,2.5,5.6,20.5,100,111
1,Wesley Matthews,Milwaukee Bucks,31:46,2,11,.182,1,5,.200,4,5,.800,1,5,6,2,2,0,1,1,9,-10,31:46,.341,.227,.455,.455,2.9,17.6,9.4,9.8,3.0,0.0,7.0,18.7,79,105
2,Robin Lopez,Milwaukee Bucks,31:40,4,11,.364,3,6,.500,0,0,0,0,5,5,3,1,1,2,2,11,-14,31:40,.500,.500,.545,.000,0.0,17.6,7.9,16.3,1.5,2.9,15.4,17.1,90,106
3,Pat Connaughton,Milwaukee Bucks,29:24,2,7,.286,0,5,.000,2,2,1.000,1,2,3,1,0,0,3,2,6,-8,29:24,.381,.286,.714,.286,3.1,7.6,5.1,5.3,0.0,0.0,27.6,15.5,65,114
4,Thanasis Antetokounmpo,Milwaukee Bucks,19:25,3,6,.500,0,2,.000,3,6,.500,3,3,6,3,2,1,3,2,9,-12,19:25,.521,.500,.333,1.000,14.0,17.2,15.5,27.9,4.8,4.7,25.8,25.0,95,97
6,Frank Mason III,Milwaukee Bucks,29:44,4,12,.333,1,6,.167,0,0,0,1,3,4,5,1,0,3,1,9,-16,29:44,.375,.375,.500,.000,3.0,11.3,6.7,29.3,1.6,0.0,20.0,21.1,78,109
7,Kyle Korver,Milwaukee Bucks,24:13,8,15,.533,5,11,.455,2,3,.667,1,3,4,4,1,1,2,2,23,0,24:13,.705,.700,.733,.200,3.7,13.8,8.3,43.7,1.9,3.7,10.9,31.6,125,105
8,D.J. Wilson,Milwaukee Bucks,21:24,4,10,.400,2,6,.333,0,0,0,1,8,9,1,0,0,1,4,10,-8,21:24,.500,.500,.600,.000,4.2,41.7,21.0,9.0,0.0,0.0,9.1,21.5,94,108
9,Ersan İlyasova,Milwaukee Bucks,16:03,1,2,.500,0,1,.000,0,0,0,1,4,5,1,1,0,1,1,2,+5,16:03,.500,.500,.500,.000,5.6,27.8,15.6,9.6,2.9,0.0,33.3,7.8,88,103
10,Donte DiVincenzo,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Khris Middleton,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Marvin Williams,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Brook Lopez,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Milwaukee Bucks,240,34,90,.378,15,50,.300,12,18,.667,11,37,48,23,8,4,17,15,95,0,240,.485,.461,.556,.200,20.8,86.0,50.0,67.6,7.8,7.5,14.8,100.0,92.8,106.5
0,Jamal Murray,Denver Nuggets,38:32,9,17,.529,3,6,.500,0,0,0,1,4,5,6,1,1,4,3,21,+15,38:32,.618,.618,.353,.000,2.9,9.4,6.5,25.1,1.2,3.1,19.0,23.5,105,98
1,Gary Harris,Denver Nuggets,32:23,5,9,.556,3,4,.750,2,2,1.000,0,4,4,2,2,0,2,1,15,+6,32:23,.759,.722,.444,.222,0.0,11.2,6.2,8.8,2.9,0.0,16.8,15.8,120,95
