,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Mikal Bridges,Phoenix Suns,42:41,4,6,.667,0,1,.000,0,0,0,2,3,5,3,1,1,2,1,8,-15,42:41,.667,.667,.167,.000,4.9,7.8,6.3,11.1,1.1,2.1,25.0,8.0,112,124
1,Dario Šarić,Phoenix Suns,38:48,9,16,.563,4,6,.667,2,2,1.000,3,8,11,2,0,1,0,4,24,-10,38:48,.711,.688,.375,.125,8.1,23.0,15.3,10.4,0.0,2.3,0.0,18.6,144,123
2,Devin Booker,Phoenix Suns,35:49,9,25,.360,2,7,.286,9,10,.900,0,6,6,9,0,0,4,3,29,-7,35:49,.493,.400,.280,.400,0.0,18.7,9.0,52.6,0.0,0.0,12.0,40.0,100,126
3,Ricky Rubio,Phoenix Suns,35:33,4,10,.400,2,3,.667,11,11,1.000,0,6,6,9,0,0,5,1,21,-13,35:33,.708,.500,.300,1.100,0.0,18.8,9.1,41.1,0.0,0.0,25.2,23.9,120,126
4,Aron Baynes,Phoenix Suns,33:50,3,14,.214,1,7,.143,0,0,0,1,1,2,1,1,0,2,2,7,-15,33:50,.250,.250,.500,.000,3.1,3.3,3.2,4.6,1.4,0.0,12.5,20.3,52,125
6,Jevon Carter,Phoenix Suns,23:15,2,8,.250,2,6,.333,2,2,1.000,1,6,7,1,1,2,1,3,8,-8,23:15,.450,.375,.750,.250,4.5,28.8,16.2,6.7,2.1,7.6,10.1,18.2,92,112
7,Ty Jerome,Phoenix Suns,14:58,0,3,.000,0,2,.000,0,0,0,0,1,1,1,0,0,0,1,0,-13,14:58,.000,.000,.667,.000,0.0,7.5,3.6,9.2,0.0,0.0,0.0,8.6,20,128
8,Cheick Diallo,Phoenix Suns,13:32,4,5,.800,0,0,0,0,0,0,2,3,5,0,0,1,0,1,8,+1,13:32,.800,.800,.000,.000,15.4,24.7,19.9,0.0,0.0,6.6,0.0,15.8,163,119
9,Elie Okobo,Phoenix Suns,1:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,130
10,Deandre Ayton,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Cameron Johnson,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Phoenix Suns,240,35,87,.402,11,32,.344,24,25,.960,9,34,43,26,3,5,14,16,105,0,240,.536,.466,.368,.287,19.6,79.1,48.3,74.3,3.0,9.3,12.5,100.0,106.6,122.8
0,Damian Lillard,Portland Trail Blazers,40:22,8,17,.471,5,10,.500,4,4,1.000,0,5,5,7,3,2,2,3,25,+23,40:22,.666,.618,.588,.235,0.0,12.9,6.7,23.5,3.6,4.3,9.6,23.0,135,103
1,Hassan Whiteside,Portland Trail Blazers,36:49,8,12,.667,0,0,0,0,1,.000,5,9,14,1,1,2,1,1,16,+17,36:49,.643,.667,.000,.083,15.2,25.5,20.5,3.8,1.3,4.7,7.4,16.3,136,104
2,Trevor Ariza,Portland Trail Blazers,36:41,7,12,.583,5,8,.625,3,4,.750,1,5,6,0,1,1,2,2,22,+12,36:41,.799,.792,.667,.333,3.0,14.2,8.8,0.0,1.3,2.4,12.7,19.2,137,109
3,CJ McCollum,Portland Trail Blazers,36:08,9,20,.450,2,6,.333,2,2,1.000,0,6,6,4,1,1,0,3,22,+16,36:08,.527,.500,.300,.100,0.0,17.3,9.0,16.1,1.3,2.4,0.0,25.8,119,108
4,Carmelo Anthony,Portland Trail Blazers,32:02,9,16,.563,2,3,.667,1,2,.500,0,3,3,5,2,2,1,3,21,+13,32:02,.622,.625,.188,.125,0.0,9.8,5.1,23.8,3.0,5.4,5.6,24.9,130,104
6,Gary Trent Jr.,Portland Trail Blazers,17:56,0,5,.000,0,3,.000,0,0,0,1,1,2,2,0,1,0,2,0,-7,17:56,.000,.000,.600,.000,6.2,5.8,6.0,11.9,0.0,4.9,0.0,12.5,47,113
7,Mario Hezonja,Portland Trail Blazers,14:24,3,3,1.000,2,2,1.000,0,0,0,1,3,4,0,1,0,4,2,8,+3,14:24,1.333,1.333,.667,.000,7.8,21.7,15.0,0.0,3.4,0.0,57.1,21.7,91,104
8,Anfernee Simons,Portland Trail Blazers,11:19,1,2,.500,1,2,.500,2,2,1.000,0,0,0,0,0,0,0,0,5,+4,11:19,.868,.750,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,182,118
9,Caleb Swanigan,Portland Trail Blazers,11:11,0,0,0,0,0,0,0,0,0,1,4,5,1,0,0,1,1,0,-1,11:11,0,0,0,0,10.0,37.3,24.1,9.5,0.0,0.0,100.0,4.0,94,107
10,Nassir Little,Portland Trail Blazers,1:34,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,0,1:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,118
11,Wenyen Gabriel,Portland Trail Blazers,1:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:34,.347,.000,.500,1.000,0.0,66.6,34.4,0.0,0.0,0.0,0.0,82.1,81,99
12,Jusuf Nurkić,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
