,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Russell Westbrook,Houston Rockets,43:40,13,30,.433,1,3,.333,4,8,.500,5,6,11,8,2,1,6,5,31,+12,43:40,.462,.450,.100,.267,12.4,14.9,13.6,26.8,2.0,2.2,15.2,37.7,98,123
1,James Harden,Houston Rockets,43:29,14,20,.700,3,9,.333,18,21,.857,0,9,9,8,3,3,1,5,49,+8,43:29,.838,.775,.450,1.050,0.0,22.4,11.2,27.9,3.0,6.5,3.3,29.0,172,117
2,Danuel House Jr.,Houston Rockets,42:37,7,13,.538,6,12,.500,0,0,0,0,5,5,1,2,0,1,2,20,0,42:37,.769,.769,.923,.000,0.0,12.7,6.3,2.9,2.0,0.0,7.1,13.7,135,125
3,Robert Covington,Houston Rockets,42:30,4,14,.286,1,9,.111,4,4,1.000,2,9,11,3,2,4,1,3,13,+7,42:30,.412,.321,.643,.286,5.1,22.9,14.0,8.0,2.1,8.9,6.0,16.4,98,117
4,P.J. Tucker,Houston Rockets,39:41,2,3,.667,2,3,.667,1,2,.500,0,4,4,3,1,1,0,5,7,-1,39:41,.902,1.000,1.000,.667,0.0,10.9,5.5,8.1,1.1,2.4,0.0,4.1,186,126
6,Austin Rivers,Houston Rockets,19:38,4,8,.500,1,4,.250,1,1,1.000,0,2,2,2,1,0,0,0,10,-4,19:38,.592,.563,.500,.125,0.0,11.0,5.5,13.1,2.2,0.0,0.0,17.9,127,125
7,Jeff Green,Houston Rockets,19:35,4,9,.444,1,4,.250,1,1,1.000,0,1,1,1,1,1,0,5,10,+3,19:35,.530,.500,.444,.111,0.0,5.5,2.8,6.6,2.2,4.8,0.0,20.1,110,123
8,Ben McLemore,Houston Rockets,13:50,4,4,1.000,4,4,1.000,1,2,.500,0,0,0,0,0,0,0,6,13,-5,13:50,1.332,1.500,1.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,249,132
9,Michael Frazier,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Chris Clemons,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
