,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Bogdan Bogdanović,Sacramento Kings,31:01,4,13,.308,2,4,.500,2,2,1.000,1,3,4,5,1,0,0,3,12,-16,31:01,.432,.385,.308,.154,3.6,11.1,7.3,19.9,1.5,0.0,0.0,18.7,108,130
1,De'Aaron Fox,Sacramento Kings,25:12,5,10,.500,0,1,.000,3,5,.600,0,2,2,3,1,0,4,3,13,-23,25:12,.533,.500,.100,.500,0.0,9.1,4.5,16.1,1.9,0.0,24.7,26.9,85,130
2,Harrison Barnes,Sacramento Kings,24:23,4,8,.500,0,3,.000,4,4,1.000,1,5,6,0,0,0,0,2,12,-37,24:23,.615,.500,.375,.500,4.6,23.4,13.9,0.0,0.0,0.0,0.0,16.8,132,131
3,Richaun Holmes,Sacramento Kings,24:00,5,7,.714,0,0,0,2,2,1.000,1,4,5,0,0,0,0,0,12,-19,24:00,.761,.714,.000,.286,4.7,19.0,11.8,0.0,0.0,0.0,0.0,13.7,156,132
4,Nemanja Bjelica,Sacramento Kings,19:50,1,4,.250,0,3,.000,0,0,0,0,3,3,1,0,0,0,3,2,-10,19:50,.250,.250,.750,.000,0.0,17.3,8.5,5.7,0.0,0.0,0.0,8.4,66,132
6,Buddy Hield,Sacramento Kings,20:26,5,13,.385,2,7,.286,0,0,0,0,2,2,5,1,0,3,1,12,-21,20:26,.462,.462,.538,.000,0.0,11.2,5.5,35.3,2.3,0.0,18.8,32.8,86,128
7,Harry Giles,Sacramento Kings,19:33,9,11,.818,0,1,.000,5,6,.833,4,4,8,1,0,0,1,3,23,+5,19:33,.843,.818,.091,.545,22.8,23.4,23.1,10.7,0.0,0.0,6.8,31.3,161,130
8,Kent Bazemore,Sacramento Kings,17:55,3,7,.429,2,3,.667,0,0,0,0,1,1,3,0,0,2,6,8,-16,17:55,.571,.571,.429,.000,0.0,6.4,3.2,21.7,0.0,0.0,22.2,21.0,95,134
9,Corey Brewer,Sacramento Kings,16:41,2,4,.500,0,1,.000,0,1,.000,2,2,4,1,3,0,0,3,4,+19,16:41,.450,.500,.250,.250,13.4,13.7,13.5,7.3,8.4,0.0,0.0,11.1,117,113
10,Cory Joseph,Sacramento Kings,16:05,0,2,.000,0,1,.000,0,0,0,0,1,1,6,1,0,4,3,0,-3,16:05,.000,.000,.500,.000,0.0,7.1,3.5,39.8,2.9,0.0,66.7,15.6,48,128
11,DaQuan Jeffries,Sacramento Kings,12:00,5,5,1.000,2,2,1.000,0,0,0,0,2,2,1,1,0,0,0,12,+19,12:00,1.200,1.200,.400,.000,0.0,19.0,9.4,16.0,3.9,0.0,0.0,17.4,237,123
12,Jabari Parker,Sacramento Kings,6:27,1,5,.200,0,1,.000,2,2,1.000,0,1,1,1,1,0,0,0,4,+11,6:27,.500,.500,.500,.000,0.0,0.0,0.0,59.4,7.2,0.0,0.0,13.0,141,119
13,Yogi Ferrell,Sacramento Kings,6:27,1,2,.500,0,1,.000,0,0,0,0,0,0,3,1,0,0,1,2,+11,6:27,.340,.200,.200,.400,0.0,17.7,8.8,19.8,7.2,0.0,0.0,38.2,84,115
14,Team Totals,Sacramento Kings,240,45,91,.495,8,28,.286,18,22,.818,9,30,39,30,10,0,14,28,116,0,240,.576,.538,.308,.242,20.9,71.4,45.9,66.7,9.7,0.0,12.2,100.0,112.9,128.4
0,Aaron Gordon,Orlando Magic,24:05,8,12,.667,3,3,1.000,3,3,1.000,0,5,5,3,0,0,2,2,22,+23,24:05,.826,.792,.250,.250,0.0,23.2,11.7,22.1,0.0,0.0,13.1,26.5,142,117
1,Nikola Vučević,Orlando Magic,23:31,9,14,.643,2,3,.667,3,4,.750,2,10,12,2,2,0,0,1,23,+23,23:31,.730,.714,.214,.286,9.7,47.5,28.8,16.6,4.0,0.0,0.0,27.9,155,104
