,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,CJ McCollum,Portland Trail Blazers,43:54,9,21,.429,0,6,.000,7,8,.875,1,3,4,7,3,1,2,3,25,+7,43:54,.510,.429,.286,.381,2.3,8.2,5.0,19.1,3.1,1.7,7.5,23.5,116,126
1,Damian Lillard,Portland Trail Blazers,43:52,13,22,.591,8,14,.571,8,9,.889,0,3,3,12,2,0,1,1,42,-1,43:52,.809,.773,.636,.409,0.0,8.2,3.7,36.7,2.1,0.0,3.7,23.9,171,129
2,Carmelo Anthony,Portland Trail Blazers,36:41,4,12,.333,1,4,.250,0,0,0,3,4,7,1,1,0,2,5,9,+13,36:41,.375,.375,.333,.000,8.2,13.1,10.4,2.9,1.2,0.0,14.3,14.8,85,130
3,Jusuf Nurkić,Portland Trail Blazers,32:45,11,17,.647,0,0,0,0,1,.000,2,8,10,3,1,0,1,5,22,+10,32:45,.631,.647,.000,.059,6.1,29.3,16.7,13.0,1.4,0.0,5.4,21.9,130,126
4,Zach Collins,Portland Trail Blazers,17:04,1,7,.143,0,2,.000,0,0,0,3,3,6,0,0,0,0,0,2,-4,17:04,.143,.143,.286,.000,17.6,21.1,19.2,0.0,0.0,0.0,0.0,15.9,67,131
6,Gary Trent Jr.,Portland Trail Blazers,36:40,6,13,.462,4,10,.400,0,0,0,0,1,1,1,2,1,1,5,16,-6,36:40,.615,.615,.769,.000,0.0,3.3,1.5,3.1,2.5,2.1,7.1,14.8,120,128
7,Hassan Whiteside,Portland Trail Blazers,15:15,5,6,.833,0,0,0,6,6,1.000,5,4,9,1,1,2,1,2,16,-9,15:15,.926,.833,.000,1.000,32.8,31.5,32.2,9.2,3.0,10.0,10.4,24.6,181,115
8,Mario Hezonja,Portland Trail Blazers,11:27,1,5,.200,0,2,.000,0,0,0,0,1,1,0,0,0,1,0,2,-6,11:27,.200,.200,.400,.000,0.0,10.5,4.8,0.0,0.0,0.0,16.7,20.4,38,134
9,Anfernee Simons,Portland Trail Blazers,2:22,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,+1,2:22,.000,.000,1.000,.000,0.0,50.7,23.0,0.0,0.0,0.0,0.0,16.4,0,125
10,Wenyen Gabriel,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jaylen Hoard,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jaylen Adams,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Portland Trail Blazers,240,50,104,.481,13,39,.333,21,24,.875,14,28,42,25,10,4,9,21,134,0,240,.585,.543,.375,.231,29.2,70.0,47.7,50.0,9.5,6.3,7.3,100.0,127.9,126.9
0,Jarrett Allen,Brooklyn Nets,37:22,5,8,.625,0,0,0,4,9,.444,6,5,11,4,0,3,1,1,14,+16,37:22,.585,.625,.000,1.125,19.3,13.4,16.1,11.0,0.0,5.9,7.7,14.1,139,128
1,Garrett Temple,Brooklyn Nets,36:54,4,10,.400,3,7,.429,4,4,1.000,1,9,10,4,0,0,0,2,15,+12,36:54,.638,.550,.700,.400,3.3,24.4,14.8,10.9,0.0,0.0,0.0,12.9,155,128
2,Joe Harris,Brooklyn Nets,34:25,9,14,.643,1,4,.250,0,0,0,1,2,3,4,0,0,3,5,19,-20,34:25,.679,.679,.286,.000,3.5,5.8,4.8,13.8,0.0,0.0,17.6,20.0,121,134
3,Caris LeVert,Brooklyn Nets,32:48,16,29,.552,1,5,.200,4,4,1.000,1,5,6,9,2,1,6,1,37,+4,32:48,.601,.569,.172,.138,3.7,15.2,10.0,44.5,2.8,2.3,16.3,45.5,116,123
4,Rodions Kurucs,Brooklyn Nets,22:53,3,5,.600,1,2,.500,1,2,.500,1,4,5,2,0,1,1,4,8,+4,22:53,.680,.700,.400,.400,5.2,17.5,11.9,9.0,0.0,3.2,14.5,12.2,132,128
6,Timothé Luwawu-Cabarrot,Brooklyn Nets,31:58,7,13,.538,5,9,.556,0,0,0,2,6,8,1,0,0,2,5,19,+6,31:58,.731,.731,.692,.000,7.5,18.8,13.7,3.5,0.0,0.0,13.3,19.0,132,130
7,Tyler Johnson,Brooklyn Nets,24:26,7,13,.538,2,4,.500,0,0,0,0,1,1,2,1,0,0,2,16,+4,24:26,.615,.615,.308,.000,0.0,4.1,2.2,10.0,1.9,0.0,0.0,21.6,135,130
8,Jeremiah Martin,Brooklyn Nets,9:24,1,2,.500,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,-14,9:24,.500,.500,.000,.000,0.0,0.0,0.0,21.3,9.7,0.0,0.0,8.6,143,114
9,Justin Anderson,Brooklyn Nets,5:37,1,2,.500,1,2,.500,0,0,0,0,1,1,0,0,0,1,2,3,-6,5:37,.750,.750,1.000,.000,0.0,17.8,9.7,0.0,0.0,0.0,33.3,21.7,89,130
10,Lance Thomas,Brooklyn Nets,4:13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-11,4:13,0,0,0,0,0.0,23.7,12.9,0.0,0.0,0.0,0,0.0,0,128
11,Chris Chiozza,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
