,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jerami Grant,Denver Nuggets,18:18,1,6,.167,0,3,.000,0,0,0,1,1,2,1,0,0,0,0,2,+2,18:18,.167,.167,.500,.000,5.6,5.8,5.7,7.9,0.0,0.0,0.0,14.0,57,126
1,Paul Millsap,Denver Nuggets,15:30,4,8,.500,2,3,.667,0,0,0,1,2,3,2,2,1,1,2,10,-4,15:30,.625,.625,.375,.000,6.6,13.8,10.1,26.2,6.1,5.6,11.1,24.9,114,105
2,Torrey Craig,Denver Nuggets,14:58,1,6,.167,1,3,.333,0,0,0,1,3,4,3,0,0,1,0,3,-6,14:58,.250,.250,.500,.000,6.8,21.4,13.9,29.3,0.0,0.0,14.3,20.0,75,121
3,Jamal Murray,Denver Nuggets,10:12,4,5,.800,3,3,1.000,0,0,0,0,0,0,1,1,0,0,2,11,-6,10:12,1.000,1.000,.000,.000,0.0,10.5,5.1,30.1,0.0,0.0,50.0,8.4,116,124
4,Nikola Jokić,Denver Nuggets,10:12,1,1,1.000,0,0,0,0,0,0,0,1,1,2,0,0,1,0,2,-6,10:12,1.100,1.100,.600,.000,0.0,0.0,0.0,27.4,4.7,0.0,0.0,21.0,194,115
6,PJ Dozier,Denver Nuggets,30:48,6,9,.667,5,6,.833,3,3,1.000,0,5,5,8,2,0,1,0,20,-5,30:48,.969,.944,.667,.333,0.0,17.3,8.5,46.8,3.1,0.0,8.8,15.7,179,115
7,Monte Morris,Denver Nuggets,29:51,4,14,.286,2,7,.286,6,6,1.000,0,6,6,4,0,1,2,0,16,-7,29:51,.481,.357,.500,.429,0.0,21.4,10.5,21.8,0.0,2.9,10.7,26.7,99,119
8,Troy Daniels,Denver Nuggets,28:00,4,11,.364,2,8,.250,0,0,0,0,3,3,1,1,0,3,3,10,-2,28:00,.455,.455,.727,.000,0.0,11.4,5.6,5.9,1.7,0.0,21.4,21.4,69,119
9,Keita Bates-Diop,Denver Nuggets,24:21,3,11,.273,1,4,.250,4,4,1.000,2,4,6,0,1,2,2,3,11,-1,24:21,.431,.318,.364,.364,8.4,17.5,12.9,0.0,2.0,7.2,13.6,26.0,84,112
10,Mason Plumlee,Denver Nuggets,19:42,4,6,.667,0,0,0,2,3,.667,1,2,3,2,0,4,0,2,10,-3,19:42,.683,.667,.000,.500,5.2,10.8,7.9,18.6,0.0,17.7,0.0,15.9,148,112
11,Tyler Cook,Denver Nuggets,16:11,1,2,.500,0,0,0,2,2,1.000,2,2,4,0,2,0,2,1,4,-3,16:11,.694,.500,.000,1.000,12.6,13.2,12.9,0.0,5.9,0.0,41.0,12.9,99,109
