,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jaylen Brown,Boston Celtics,41:43,6,16,.375,1,5,.200,8,9,.889,0,7,7,3,0,0,3,1,21,+10,41:43,.526,.406,.313,.563,0.0,13.0,7.9,11.9,0.0,0.0,13.1,24.6,96,100
1,Marcus Smart,Boston Celtics,38:40,4,8,.500,0,3,.000,6,6,1.000,0,8,8,3,3,0,1,4,14,+9,38:40,.658,.500,.375,.750,0.0,16.0,9.7,12.0,3.7,0.0,8.6,13.4,128,89
2,Kemba Walker,Boston Celtics,35:10,10,20,.500,3,8,.375,1,1,1.000,1,7,8,4,2,1,1,1,24,+13,35:10,.587,.575,.400,.050,3.4,15.4,10.7,24.4,2.7,2.4,4.7,27.2,115,91
3,Jayson Tatum,Boston Celtics,32:08,6,19,.316,2,9,.222,1,2,.500,1,5,6,0,1,4,1,4,15,+9,32:08,.377,.368,.474,.105,3.7,12.0,8.8,0.0,1.5,10.7,4.8,29.0,73,93
4,Daniel Theis,Boston Celtics,26:14,3,8,.375,0,3,.000,2,2,1.000,0,5,5,1,0,2,2,6,8,+7,26:14,.450,.375,.375,.250,0.0,14.8,9.0,6.0,0.0,6.5,18.4,18.5,76,96
6,Brad Wanamaker,Boston Celtics,18:28,1,3,.333,1,1,1.000,2,2,1.000,0,4,4,3,1,0,1,1,5,+1,18:28,.644,.500,.333,.667,0.0,16.8,10.2,23.3,2.6,0.0,20.5,11.8,118,91
7,Enes Freedom,Boston Celtics,14:21,3,6,.500,0,0,0,0,0,0,1,5,6,0,0,0,1,3,6,+1,14:21,.500,.500,.000,.000,8.4,27.0,19.7,0.0,0.0,0.0,14.3,21.8,89,89
8,Semi Ojeleye,Boston Celtics,12:00,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,0,+1,12:00,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0,110
9,Romeo Langford,Boston Celtics,10:44,1,3,.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-7,10:44,.333,.333,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,66,110
10,Grant Williams,Boston Celtics,10:32,2,3,.667,1,1,1.000,2,2,1.000,0,1,1,1,0,1,0,2,7,-4,10:32,.902,.833,.333,.667,0.0,7.3,4.5,16.9,0.0,8.1,0.0,16.4,183,101
11,Robert Williams,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Carsen Edwards,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Tacko Fall,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Boston Celtics,240,36,87,.414,8,31,.258,22,24,.917,3,42,45,15,7,8,10,23,102,0,240,.523,.460,.356,.276,7.5,67.7,44.1,41.7,7.0,14.3,9.3,100.0,102.0,94.0
0,Josh Richardson,Philadelphia 76ers,41:40,5,17,.294,3,11,.273,4,4,1.000,2,1,3,3,2,2,2,2,17,-14,41:40,.453,.382,.647,.235,3.7,2.9,3.4,15.5,2.3,4.1,9.6,19.6,100,99
1,Tobias Harris,Philadelphia 76ers,39:14,6,19,.316,0,5,.000,3,4,.750,8,7,15,4,1,1,3,3,15,-14,39:14,.361,.316,.263,.211,15.8,21.4,18.0,23.7,1.2,2.2,12.6,23.8,88,102
2,Al Horford,Philadelphia 76ers,37:53,1,5,.200,0,2,.000,4,6,.667,3,7,10,0,1,2,0,4,6,-4,37:53,.393,.200,.400,1.200,6.1,22.2,12.4,0.0,1.3,4.5,0.0,7.9,106,99
3,Shake Milton,Philadelphia 76ers,37:38,6,18,.333,3,9,.333,2,2,1.000,1,5,6,3,1,0,2,3,17,-7,37:38,.450,.417,.500,.111,2.1,15.9,7.5,18.8,1.3,0.0,9.6,21.8,97,105
4,Joel Embiid,Philadelphia 76ers,35:24,7,20,.350,2,5,.400,14,16,.875,4,9,13,1,1,1,4,5,30,-18,35:24,.555,.400,.250,.800,8.7,30.5,17.3,7.3,1.4,2.4,12.9,34.5,111,101
6,Alec Burks,Philadelphia 76ers,21:43,3,10,.300,1,3,.333,2,2,1.000,1,2,3,2,0,1,0,2,9,+3,21:43,.414,.350,.300,.200,3.6,11.1,6.5,20.7,0.0,3.9,0.0,19.7,106,104
7,Furkan Korkmaz,Philadelphia 76ers,12:58,0,4,.000,0,3,.000,0,0,0,0,4,4,0,0,0,0,0,0,+11,12:58,.000,.000,.750,.000,0.0,37.0,14.5,0.0,0.0,0.0,0.0,12.1,0,105
8,Matisse Thybulle,Philadelphia 76ers,8:31,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,8:31,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.2,0,109
9,Mike Scott,Philadelphia 76ers,4:59,0,1,.000,0,1,.000,0,0,0,1,2,3,1,0,0,0,0,0,+5,4:59,.000,.000,1.000,.000,15.5,48.2,28.3,34.4,0.0,0.0,0.0,7.9,78,104
10,Marial Shayok,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Kyle O'Quinn,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Norvel Pelle,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Raul Neto,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Philadelphia 76ers,240,28,95,.295,9,39,.231,29,34,.853,20,37,57,14,6,7,12,19,94,0,240,.427,.342,.411,.358,32.3,92.5,55.9,50.0,6.0,12.5,9.8,100.0,94.0,102.0
