,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kawhi Leonard,Los Angeles Clippers,46:32,10,22,.455,3,9,.333,9,10,.900,2,7,9,4,2,1,2,3,32,-13,46:32,.606,.523,.409,.455,4.5,18.1,10.8,13.6,2.1,1.7,7.0,26.9,124,120
1,Paul George,Los Angeles Clippers,45:06,3,14,.214,1,7,.143,2,2,1.000,1,7,8,3,1,0,2,4,9,-2,45:06,.302,.250,.500,.143,2.3,18.7,9.9,8.5,1.1,0.0,11.8,16.5,70,123
2,Marcus Morris,Los Angeles Clippers,35:03,3,9,.333,1,4,.250,2,2,1.000,1,4,5,2,0,1,0,5,9,-2,35:03,.455,.389,.444,.222,3.0,13.7,8.0,7.5,0.0,2.2,0.0,12.4,109,125
3,Landry Shamet,Los Angeles Clippers,23:13,3,8,.375,2,6,.333,0,0,0,0,3,3,1,1,0,1,2,8,-15,23:13,.500,.500,.750,.000,0.0,15.6,7.2,6.0,2.1,0.0,11.1,17.1,92,122
4,Ivica Zubac,Los Angeles Clippers,21:36,5,9,.556,0,0,0,5,5,1.000,3,1,4,1,0,0,0,2,15,+9,21:36,.670,.556,.000,.556,14.4,5.6,10.3,7.5,0.0,0.0,0.0,22.9,151,129
6,Lou Williams,Los Angeles Clippers,34:28,13,20,.650,2,4,.500,8,9,.889,1,3,4,5,1,0,2,2,36,+15,34:28,.751,.700,.200,.450,3.0,10.5,6.5,30.7,1.4,0.0,7.7,33.2,146,125
7,Reggie Jackson,Los Angeles Clippers,27:55,5,9,.556,4,7,.571,0,0,0,0,4,4,2,1,0,0,3,14,+16,27:55,.778,.778,.778,.000,0.0,17.3,8.0,10.7,1.7,0.0,0.0,14.2,156,122
8,Montrezl Harrell,Los Angeles Clippers,17:19,1,2,.500,0,0,0,0,0,0,0,1,1,1,0,3,2,1,2,-19,17:19,.500,.500,.000,.000,0.0,7.0,3.2,7.3,0.0,13.5,50.0,10.2,58,118
9,JaMychal Green,Los Angeles Clippers,13:17,2,4,.500,1,1,1.000,3,4,.750,0,3,3,0,1,0,0,1,8,+1,13:17,.694,.625,.250,1.000,0.0,27.2,12.6,0.0,3.6,0.0,0.0,19.1,143,116
10,Terance Mann,Los Angeles Clippers,0:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,130
11,Rodney McGruder,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Patrick Patterson,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Amir Coffey,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Los Angeles Clippers,265,45,97,.464,14,38,.368,29,32,.906,8,33,41,19,7,5,9,23,133,0,265,.599,.536,.392,.330,15.7,75.0,43.2,42.2,6.3,7.4,7.5,100.0,120.5,122.3
0,Luka Dončić,Dallas Mavericks,45:45,18,31,.581,4,10,.400,3,5,.600,1,16,17,13,2,1,7,1,43,+11,45:45,.648,.645,.323,.161,2.6,36.3,20.7,48.4,2.1,2.0,17.4,37.1,122,115
1,Maxi Kleber,Dallas Mavericks,37:18,2,8,.250,0,5,.000,3,4,.750,1,8,9,2,0,2,0,4,7,-9,37:18,.359,.250,.625,.500,3.2,22.3,13.5,5.8,0.0,4.8,0.0,11.0,98,120
2,Trey Burke,Dallas Mavericks,37:11,10,14,.714,4,5,.800,1,2,.500,1,4,5,1,2,0,2,3,25,+17,37:11,.840,.857,.357,.143,3.2,11.2,7.5,3.8,2.6,0.0,11.8,19.2,148,120
