,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jayson Tatum,Boston Celtics,44:00,9,23,.391,4,8,.500,7,10,.700,0,12,12,7,1,1,3,2,29,+5,44:00,.529,.478,.348,.435,0.0,31.9,14.9,30.3,1.2,2.3,9.9,31.3,106,93
1,Kemba Walker,Boston Celtics,43:55,5,16,.313,1,7,.143,3,5,.600,0,6,6,4,2,1,1,1,14,+13,43:55,.385,.344,.438,.313,0.0,16.0,7.5,14.8,2.3,2.3,5.2,19.8,86,94
2,Marcus Smart,Boston Celtics,43:13,6,15,.400,2,10,.200,2,3,.667,1,1,2,6,3,1,1,1,16,+13,43:13,.490,.467,.667,.200,2.4,2.7,2.5,23.5,3.6,2.4,5.8,18.1,109,95
3,Jaylen Brown,Boston Celtics,42:42,10,17,.588,1,7,.143,0,1,.000,2,6,8,2,4,0,2,0,21,+14,42:42,.602,.618,.412,.059,4.8,16.5,10.2,9.5,4.8,0.0,10.3,20.6,111,90
4,Daniel Theis,Boston Celtics,23:28,2,8,.250,0,1,.000,1,2,.500,1,4,5,0,1,2,1,6,5,-3,23:28,.282,.250,.125,.250,4.4,20.0,11.6,0.0,2.2,8.7,10.1,19.0,59,89
6,Robert Williams,Boston Celtics,17:30,2,2,1.000,0,0,0,0,0,0,3,3,6,0,0,0,1,2,4,+7,17:30,1.000,1.000,.000,.000,17.5,20.1,18.7,0.0,0.0,0.0,33.3,7.8,141,100
7,Brad Wanamaker,Boston Celtics,9:07,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,2,0,-11,9:07,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0,105
8,Semi Ojeleye,Boston Celtics,9:03,1,3,.333,1,3,.333,0,0,0,1,2,3,0,0,0,0,1,3,-14,9:03,.500,.500,1.000,.000,11.3,25.9,18.1,0.0,0.0,0.0,0.0,15.0,114,99
9,Grant Williams,Boston Celtics,7:02,0,0,0,0,0,0,0,2,.000,2,0,2,0,1,0,1,1,0,+1,7:02,.000,0,0,0,29.0,0.0,15.5,0.0,7.3,0.0,53.2,12.1,53,88
10,Romeo Langford,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Tremont Waters,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Carsen Edwards,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Enes Freedom,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Boston Celtics,240,35,86,.407,9,38,.237,13,23,.565,10,34,44,19,12,5,10,16,92,0,240,.479,.459,.442,.267,21.3,82.9,50.0,54.3,12.9,10.6,9.4,100.0,98.8,93.5
