,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jamal Murray,Denver Nuggets,44:14,8,19,.421,2,9,.222,7,8,.875,0,6,6,4,2,2,5,1,25,+16,44:14,.555,.474,.474,.421,0.0,17.6,8.7,16.5,2.2,4.6,18.2,27.8,97,107
1,Nikola Jokić,Denver Nuggets,38:39,9,20,.450,1,4,.250,11,12,.917,1,5,6,9,4,0,2,4,30,-6,38:39,.593,.475,.200,.600,3.3,16.8,9.9,46.9,5.1,0.0,7.3,31.5,127,102
2,Paul Millsap,Denver Nuggets,28:06,2,6,.333,0,1,.000,2,3,.667,3,5,8,1,0,0,3,2,6,+9,28:06,.410,.333,.167,.500,13.5,23.1,18.2,5.4,0.0,0.0,29.1,16.4,78,112
3,Gary Harris,Denver Nuggets,24:42,1,6,.167,1,3,.333,0,0,0,0,2,2,1,0,0,2,0,3,-14,24:42,.250,.250,.500,.000,0.0,10.5,5.2,5.9,0.0,0.0,25.0,14.5,45,116
4,Jerami Grant,Denver Nuggets,24:36,3,4,.750,1,1,1.000,0,0,0,0,0,0,1,3,0,3,4,7,-1,24:36,.875,.875,.250,.000,0.0,0.0,0.0,6.7,6.0,0.0,42.9,12.7,86,106
6,Torrey Craig,Denver Nuggets,23:19,1,2,.500,0,1,.000,1,1,1.000,0,2,2,1,1,1,0,3,3,-3,23:19,.615,.500,.500,.500,0.0,11.1,5.5,6.2,2.1,4.4,0.0,4.7,139,109
7,Michael Porter Jr.,Denver Nuggets,19:57,6,9,.667,2,4,.500,1,2,.500,2,2,4,0,0,0,2,5,15,-6,19:57,.759,.778,.444,.222,12.7,13.0,12.8,0.0,0.0,0.0,16.8,26.6,116,116
8,PJ Dozier,Denver Nuggets,14:06,1,2,.500,0,0,0,1,5,.200,0,1,1,1,1,1,0,1,3,+1,14:06,.357,.500,.000,2.500,0.0,9.2,4.5,10.8,3.5,7.2,0.0,13.3,82,106
9,Monte Morris,Denver Nuggets,12:58,3,4,.750,1,1,1.000,2,2,1.000,0,1,1,0,1,0,1,0,9,-7,12:58,.922,.875,.250,.500,0.0,10.0,4.9,0.0,3.8,0.0,17.0,20.2,139,108
10,Mason Plumlee,Denver Nuggets,9:23,1,2,.500,0,0,0,0,0,0,1,0,1,4,0,0,1,2,2,+1,9:23,.500,.500,.000,.000,13.5,0.0,6.8,68.5,0.0,0.0,33.3,14.3,119,120
11,Troy Daniels,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bol Bol,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
