,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jaylen Brown,Boston Celtics,40:22,8,14,.571,4,7,.571,1,2,.500,0,9,9,2,1,1,4,5,21,+1,40:22,.706,.714,.500,.143,0.0,24.3,12.4,8.1,1.2,2.2,21.2,20.4,105,112
1,Jayson Tatum,Boston Celtics,39:27,10,22,.455,4,11,.364,4,4,1.000,0,9,9,4,1,3,6,4,28,-6,39:27,.589,.545,.500,.182,0.0,24.9,12.7,18.1,1.3,6.8,20.2,32.8,99,109
2,Marcus Smart,Boston Celtics,36:07,3,12,.250,1,8,.125,3,4,.750,0,2,2,11,0,1,4,6,10,+1,36:07,.363,.292,.667,.333,0.0,6.0,3.1,41.8,0.0,2.5,22.5,21.4,93,120
3,Kemba Walker,Boston Celtics,34:19,6,14,.429,3,8,.375,5,6,.833,2,2,4,5,0,0,0,3,20,-10,34:19,.601,.536,.571,.429,6.7,6.4,6.5,22.8,0.0,0.0,0.0,21.1,143,122
4,Daniel Theis,Boston Celtics,30:27,4,5,.800,0,0,0,0,0,0,4,5,9,1,0,0,2,1,8,-14,30:27,.800,.800,.000,.000,15.0,17.9,16.5,4.8,0.0,0.0,28.6,10.0,125,118
6,Gordon Hayward,Boston Celtics,29:32,4,9,.444,2,6,.333,4,4,1.000,2,5,7,3,0,0,1,4,14,+8,29:32,.651,.556,.667,.444,7.7,18.5,13.2,15.0,0.0,0.0,8.5,17.3,139,118
7,Brad Wanamaker,Boston Celtics,12:56,2,2,1.000,0,0,0,0,0,0,0,1,1,1,0,0,2,1,4,-3,12:56,1.000,1.000,.000,.000,0.0,8.4,4.3,11.8,0.0,0.0,50.0,13.5,85,121
8,Robert Williams,Boston Celtics,12:04,2,4,.500,0,0,0,0,1,.000,4,0,4,1,1,0,0,0,4,+10,12:04,.450,.500,.000,.250,37.9,0.0,18.5,12.8,4.1,0.0,0.0,16.0,133,114
9,Semi Ojeleye,Boston Celtics,4:01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2,4:01,0,0,0,0,0.0,27.2,13.9,0.0,0.0,0.0,0,0.0,0,116
10,Grant Williams,Boston Celtics,0:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,124
11,Enes Freedom,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Carsen Edwards,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Javonte Green,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Boston Celtics,240,39,82,.476,14,40,.350,17,21,.810,12,34,46,28,3,5,19,24,109,0,240,.597,.561,.488,.256,28.6,77.3,53.5,71.8,3.1,9.3,17.2,100.0,112.7,115.8
0,Bam Adebayo,Miami Heat,40:57,7,11,.636,0,1,.000,6,8,.750,3,9,12,4,2,0,3,3,20,+8,40:57,.689,.636,.091,.727,8.0,25.1,16.4,15.2,2.4,0.0,17.1,18.5,127,109
1,Goran Dragić,Miami Heat,39:08,8,21,.381,3,9,.333,3,3,1.000,1,4,5,3,2,0,2,2,22,+11,39:08,.493,.452,.429,.143,2.8,11.7,7.1,12.6,2.5,0.0,8.2,26.9,101,113
2,Jimmy Butler,Miami Heat,38:33,8,20,.400,0,2,.000,8,9,.889,4,5,9,3,1,1,1,2,24,+6,38:33,.501,.400,.100,.450,11.3,14.8,13.0,12.9,1.3,3.0,4.0,28.0,115,113
3,Jae Crowder,Miami Heat,30:59,1,9,.111,1,7,.143,0,0,0,0,3,3,3,0,1,0,4,3,-6,30:59,.167,.167,.778,.000,0.0,11.1,5.4,12.4,0.0,3.7,0.0,12.6,56,117
4,Duncan Robinson,Miami Heat,23:20,0,5,.000,0,4,.000,3,3,1.000,1,2,3,2,1,0,0,4,3,+2,23:20,.237,.000,.800,.600,4.7,9.8,7.2,10.5,2.1,0.0,0.0,11.7,81,114
6,Tyler Herro,Miami Heat,35:42,14,21,.667,5,10,.500,4,4,1.000,0,6,6,3,0,0,1,1,37,-4,35:42,.813,.786,.476,.190,0.0,19.2,9.4,20.0,0.0,0.0,4.2,28.8,156,116
7,Andre Iguodala,Miami Heat,27:15,1,4,.250,1,4,.250,0,0,0,1,1,2,2,3,0,1,2,3,-4,27:15,.375,.375,1.000,.000,4.0,4.2,4.1,9.5,5.5,0.0,20.0,7.9,88,108
8,Solomon Hill,Miami Heat,4:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,+2,4:06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,121
9,Meyers Leonard,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Udonis Haslem,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Kendrick Nunn,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Derrick Jones Jr.,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Kelly Olynyk,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Miami Heat,240,39,91,.429,10,37,.270,24,27,.889,10,30,40,20,9,2,8,20,112,0,240,.544,.484,.407,.297,22.7,71.4,46.5,51.3,9.3,4.8,7.2,100.0,115.8,112.7
