,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Josh Richardson,Dallas Mavericks,36:16,5,11,.455,2,7,.286,0,0,0,1,6,7,1,1,0,2,4,12,-9,36:16,.545,.545,.636,.000,2.8,20.4,10.6,4.5,1.3,0.0,15.4,16.0,94,105
1,Luka Dončić,Dallas Mavericks,35:57,11,26,.423,0,6,.000,10,12,.833,2,6,8,5,0,0,1,2,32,-9,35:57,.512,.423,.231,.462,5.6,20.5,12.3,31.3,0.0,0.0,3.1,40.1,110,108
2,Dorian Finney-Smith,Dallas Mavericks,35:48,4,11,.364,1,6,.167,2,2,1.000,1,7,8,3,2,0,0,3,11,+11,35:48,.463,.409,.545,.182,2.8,24.1,12.3,13.1,2.7,0.0,0.0,14.8,106,101
3,Tim Hardaway Jr.,Dallas Mavericks,26:48,3,10,.300,3,8,.375,3,6,.500,0,4,4,0,1,0,0,1,12,-4,26:48,.475,.450,.800,.600,0.0,18.4,8.2,0.0,1.8,0.0,0.0,21.1,95,104
4,Dwight Powell,Dallas Mavericks,17:32,1,3,.333,0,0,0,0,0,0,1,1,2,1,1,0,2,3,2,-3,17:32,.333,.333,.000,.000,5.7,7.0,6.3,8.2,2.7,0.0,40.0,12.7,59,103
6,Maxi Kleber,Dallas Mavericks,26:53,2,8,.250,2,7,.286,4,4,1.000,1,2,3,1,0,0,1,4,10,-19,26:53,.512,.375,.875,.500,3.7,9.2,6.2,5.5,0.0,0.0,9.3,17.9,103,109
7,Trey Burke,Dallas Mavericks,19:35,3,6,.500,1,1,1.000,0,0,0,0,0,0,0,0,0,1,0,7,-1,19:35,.583,.583,.167,.000,0.0,0.0,0.0,0.0,0.0,0.0,14.3,16.0,93,111
8,Jalen Brunson,Dallas Mavericks,18:11,5,8,.625,0,2,.000,2,2,1.000,0,2,2,4,0,0,3,2,12,+3,18:11,.676,.625,.250,.250,0.0,13.5,6.1,46.3,0.0,0.0,25.3,29.2,108,109
9,James Johnson,Dallas Mavericks,13:42,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,1,3,0,+2,13:42,0,0,0,0,0.0,27.0,12.1,9.7,3.5,0.0,100.0,3.3,42,99
10,Willie Cauley-Stein,Dallas Mavericks,6:02,1,1,1.000,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2,+14,6:02,1.000,1.000,.000,.000,0.0,40.8,18.3,28.4,0.0,0.0,0.0,7.4,206,104
11,Josh Green,Dallas Mavericks,3:16,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,3:16,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,200,111
12,Boban Marjanović,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Wes Iwundu,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Tyrell Terry,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Dallas Mavericks,240,36,85,.424,9,37,.243,21,26,.808,6,33,39,17,6,0,11,23,102,0,240,.529,.476,.435,.306,12.5,84.6,44.8,47.2,6.0,0.0,10.2,100.0,101.5,105.5
0,Mikal Bridges,Phoenix Suns,35:57,5,11,.455,4,7,.571,4,4,1.000,2,5,7,0,0,2,0,2,18,+9,35:57,.705,.636,.636,.364,6.8,13.9,10.7,0.0,0.0,5.6,0.0,15.6,145,103
1,Devin Booker,Phoenix Suns,34:07,8,15,.533,2,6,.333,4,6,.667,0,5,5,3,2,0,8,4,22,+7,34:07,.624,.600,.400,.400,0.0,14.7,8.1,15.8,2.8,0.0,31.2,33.1,85,101
2,Chris Paul,Phoenix Suns,27:45,3,9,.333,0,2,.000,2,2,1.000,1,3,4,5,2,0,3,3,8,-10,27:45,.405,.333,.222,.222,4.4,10.8,8.0,26.4,3.4,0.0,23.3,20.5,85,101
3,Jae Crowder,Phoenix Suns,25:57,1,6,.167,1,5,.200,1,2,.500,0,9,9,4,0,0,1,0,4,-12,25:57,.291,.250,.833,.333,0.0,34.7,19.1,20.5,0.0,0.0,12.7,13.4,77,104
4,Deandre Ayton,Phoenix Suns,24:10,5,9,.556,0,0,0,3,6,.500,1,7,8,1,1,2,2,4,13,-4,24:10,.558,.556,.000,.667,5.1,29.0,18.3,7.1,2.0,8.3,14.7,24.9,99,94
6,Cameron Johnson,Phoenix Suns,25:32,5,9,.556,1,3,.333,4,4,1.000,0,5,5,1,1,0,0,2,15,+9,25:32,.697,.611,.333,.444,0.0,19.6,10.8,6.6,1.9,0.0,0.0,18.6,144,103
7,Cameron Payne,Phoenix Suns,20:15,5,9,.556,1,2,.500,0,0,0,1,2,3,3,0,1,1,2,11,+14,20:15,.611,.611,.222,.000,6.1,9.9,8.2,27.2,0.0,4.9,10.0,21.8,120,105
8,Jalen Smith,Phoenix Suns,16:13,2,3,.667,0,0,0,0,2,.000,1,2,3,1,0,1,1,1,4,+6,16:13,.515,.667,.000,.667,7.6,12.3,10.2,9.2,0.0,6.2,20.5,13.3,93,103
9,Jevon Carter,Phoenix Suns,13:53,0,3,.000,0,3,.000,0,0,0,0,2,2,2,0,0,1,2,0,-3,13:53,.000,.000,1.000,.000,0.0,14.4,7.9,18.2,0.0,0.0,25.0,12.7,31,108
10,Langston Galloway,Phoenix Suns,8:34,4,5,.800,2,2,1.000,1,1,1.000,0,1,1,1,0,0,0,1,11,+2,8:34,1.011,1.000,.400,.200,0.0,11.7,6.4,35.9,0.0,0.0,0.0,28.0,189,108
11,Damian Jones,Phoenix Suns,7:37,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,5,0,+2,7:37,0,0,0,0,0.0,13.1,7.2,0.0,6.3,13.1,100.0,5.8,0,83
12,E'Twaun Moore,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ty-Shon Alexander,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Dario Šarić,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Phoenix Suns,240,38,79,.481,11,30,.367,19,27,.704,6,42,48,21,7,7,18,26,106,0,240,.583,.551,.380,.342,15.4,87.5,55.2,55.3,7.0,14.6,16.5,100.0,105.5,101.5
