,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Stephen Curry,Golden State Warriors,36:26,11,25,.440,5,15,.333,9,9,1.000,0,2,2,6,2,2,4,1,36,+3,36:26,.622,.540,.600,.360,0.0,6.9,2.8,28.7,2.3,5.9,12.1,33.6,115,112
1,Andrew Wiggins,Golden State Warriors,36:26,6,15,.400,2,3,.667,5,6,.833,2,7,9,4,0,1,0,2,19,+2,36:26,.539,.467,.200,.400,4.6,24.3,12.5,15.5,0.0,2.9,0.0,18.0,124,117
2,Kelly Oubre Jr.,Golden State Warriors,30:18,3,16,.188,0,6,.000,2,2,1.000,3,8,11,0,4,0,3,3,8,+9,30:18,.237,.188,.375,.125,8.3,33.4,18.3,0.0,5.5,0.0,15.1,24.4,53,104
3,James Wiseman,Golden State Warriors,22:37,3,8,.375,1,1,1.000,0,0,0,0,3,3,0,1,1,1,4,7,-4,22:37,.438,.438,.125,.000,0.0,16.8,6.7,0.0,1.8,4.7,11.1,14.8,75,112
4,Juan Toscano-Anderson,Golden State Warriors,19:12,2,3,.667,1,2,.500,0,0,0,0,5,5,1,1,0,1,1,5,-2,19:12,.833,.833,.667,.000,0.0,32.9,13.2,6.8,2.2,0.0,25.0,7.7,117,112
6,Damion Lee,Golden State Warriors,20:37,4,7,.571,4,5,.800,0,0,0,1,1,2,2,2,0,0,4,12,+11,20:37,.857,.857,.714,.000,4.1,6.1,4.9,14.2,4.0,0.0,0.0,12.6,169,111
7,Eric Paschall,Golden State Warriors,19:07,4,8,.500,1,2,.500,6,7,.857,1,1,2,2,2,0,1,2,15,-13,19:07,.677,.563,.250,.875,4.4,6.6,5.3,15.7,4.4,0.0,8.3,23.5,135,111
8,Kevon Looney,Golden State Warriors,16:53,3,5,.600,0,0,0,2,2,1.000,3,1,4,4,0,0,0,2,8,+12,16:53,.680,.600,.000,.400,15.0,7.5,12.0,34.0,0.0,0.0,0.0,12.9,169,121
9,Brad Wanamaker,Golden State Warriors,14:24,1,4,.250,0,2,.000,0,0,0,0,1,1,5,4,0,2,1,2,-3,14:24,.250,.250,.500,.000,0.0,8.8,3.5,43.1,11.6,0.0,33.3,15.5,72,94
10,Jordan Poole,Golden State Warriors,13:25,3,7,.429,2,6,.333,2,2,1.000,0,2,2,1,0,0,0,2,10,-10,13:25,.635,.571,.857,.286,0.0,18.8,7.5,11.4,0.0,0.0,0.0,21.8,131,119
11,Mychal Mulder,Golden State Warriors,10:34,2,6,.333,2,5,.400,1,2,.500,0,0,0,0,1,0,0,1,7,0,10:34,.509,.500,.833,.333,0.0,0.0,0.0,0.0,3.9,0.0,0.0,24.2,100,112
12,Kent Bazemore,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Golden State Warriors,240,42,104,.404,18,47,.383,27,30,.900,10,31,41,25,17,4,12,23,129,0,240,.550,.490,.452,.288,17.5,81.6,43.2,59.5,14.8,8.9,9.3,100.0,111.9,111.1
0,Coby White,Chicago Bulls,35:38,8,19,.421,4,9,.444,0,0,0,0,7,7,5,0,0,3,1,20,-7,35:38,.526,.526,.474,.000,0.0,16.5,9.9,20.3,0.0,0.0,13.6,24.0,100,115
