,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Christian Wood,Houston Rockets,36:49,9,20,.450,4,5,.800,1,2,.500,0,3,3,1,2,2,0,1,23,-2,36:49,.551,.550,.250,.100,0.0,8.9,4.3,4.8,2.5,4.7,0.0,24.5,104,117
1,David Nwaba,Houston Rockets,31:58,5,11,.455,1,3,.333,3,5,.600,1,4,5,1,2,0,1,2,14,+12,31:58,.530,.500,.273,.455,3.3,13.7,8.3,4.8,2.9,0.0,7.0,19.2,102,118
2,James Harden,Houston Rockets,31:29,10,16,.625,5,9,.556,9,9,1.000,0,6,6,8,1,0,5,2,34,-12,31:29,.852,.781,.563,.563,0.0,20.8,10.2,51.3,1.5,0.0,20.0,34.2,139,119
3,Danuel House Jr.,Houston Rockets,28:56,1,9,.111,0,5,.000,1,2,.500,0,4,4,6,0,0,0,5,3,-9,28:56,.152,.111,.556,.222,0.0,15.1,7.4,26.7,0.0,0.0,0.0,14.8,67,123
4,P.J. Tucker,Houston Rockets,26:59,3,4,.750,3,4,.750,0,0,0,0,3,3,4,2,0,0,2,9,-9,26:59,1.125,1.125,1.000,.000,0.0,12.1,5.9,21.1,3.4,0.0,0.0,6.4,214,117
6,Sterling Brown,Houston Rockets,30:40,5,8,.625,2,5,.400,0,0,0,1,3,4,2,1,0,0,3,12,-18,30:40,.750,.750,.625,.000,3.4,10.7,7.0,10.0,1.5,0.0,0.0,11.3,150,121
7,Jae'Sean Tate,Houston Rockets,25:27,2,6,.333,1,3,.333,0,0,0,2,5,7,2,0,1,3,5,5,-15,25:27,.417,.417,.500,.000,8.2,21.4,14.7,10.7,0.0,3.4,33.3,15.3,76,119
8,Bruno Caboclo,Houston Rockets,19:31,3,9,.333,0,3,.000,0,0,0,1,5,6,0,0,0,4,3,6,-12,19:31,.333,.333,.333,.000,5.3,27.9,16.4,0.0,0.0,0.0,30.8,28.8,48,120
9,Brodric Thomas,Houston Rockets,8:11,1,3,.333,0,2,.000,3,5,.600,0,0,0,1,0,0,2,2,5,0,8:11,.481,.333,.667,1.667,0.0,0.0,0.0,17.7,0.0,0.0,27.8,38.0,77,125
10,John Wall,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Mason Jones,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,DeMarcus Cousins,Houston Rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
