,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Giannis Antetokounmpo,Milwaukee Bucks,38:01,10,18,.556,2,6,.333,4,4,1.000,2,11,13,10,3,1,4,3,26,-5,38:01,.658,.611,.333,.222,4.4,33.9,16.6,46.1,3.7,2.9,16.8,24.9,126,108
1,Khris Middleton,Milwaukee Bucks,37:00,3,15,.200,0,4,.000,2,2,1.000,0,7,7,9,1,0,2,5,8,-9,37:00,.252,.200,.267,.133,0.0,22.1,9.2,32.3,1.3,0.0,11.2,19.2,77,118
2,Jrue Holiday,Milwaukee Bucks,33:57,4,15,.267,3,7,.429,2,2,1.000,1,3,4,5,2,1,0,5,13,-1,33:57,.409,.367,.467,.133,2.4,10.3,5.7,20.6,2.7,3.3,0.0,18.6,107,116
3,Donte DiVincenzo,Milwaukee Bucks,30:07,5,14,.357,3,7,.429,2,2,1.000,4,1,5,1,3,1,3,2,15,-4,30:07,.504,.464,.500,.143,11.0,3.9,8.0,5.0,4.6,3.7,16.8,23.6,96,113
4,Brook Lopez,Milwaukee Bucks,25:43,3,11,.273,1,3,.333,0,0,0,6,2,8,0,2,1,0,3,7,-5,25:43,.318,.318,.273,.000,19.3,9.1,15.1,0.0,3.6,4.3,0.0,17.0,95,113
6,Bobby Portis,Milwaukee Bucks,17:57,4,8,.500,1,2,.500,2,2,1.000,1,1,2,0,1,1,0,1,11,-11,17:57,.619,.563,.250,.250,4.6,6.5,5.4,0.0,2.6,6.2,0.0,19.7,132,115
7,Pat Connaughton,Milwaukee Bucks,17:27,4,6,.667,4,6,.667,0,0,0,0,3,3,0,1,0,0,0,12,-3,17:27,1.000,1.000,1.000,.000,0.0,20.1,8.3,0.0,2.7,0.0,0.0,13.7,181,116
8,Bryn Forbes,Milwaukee Bucks,16:13,4,6,.667,1,3,.333,0,1,.000,1,2,3,0,0,0,2,1,9,0,16:13,.699,.750,.500,.167,5.1,14.4,9.0,0.0,0.0,0.0,23.7,20.7,94,123
9,D.J. Augustin,Milwaukee Bucks,12:43,1,5,.200,1,3,.333,0,0,0,0,0,0,1,1,0,1,1,3,-12,12:43,.300,.300,.600,.000,0.0,0.0,0.0,10.4,3.7,0.0,16.7,18.8,62,118
10,Thanasis Antetokounmpo,Milwaukee Bucks,10:47,2,4,.500,0,0,0,0,0,0,1,1,2,0,0,1,1,4,4,-5,10:47,.500,.500,.000,.000,7.7,10.9,9.0,0.0,0.0,10.4,20.0,18.4,85,118
11,Jordan Nwora,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,D.J. Wilson,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Sam Merrill,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
