,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Reggie Bullock,New York Knicks,38:05,3,15,.200,0,9,.000,0,0,0,0,5,5,3,1,1,1,5,6,-9,38:05,.200,.200,.600,.000,0.0,13.1,6.2,13.4,1.3,4.1,6.3,18.0,46,101
1,Julius Randle,New York Knicks,37:39,5,12,.417,0,4,.000,6,7,.857,1,9,10,5,0,1,3,4,16,-18,37:39,.531,.417,.333,.583,2.4,23.9,12.6,24.9,0.0,4.1,16.6,20.6,98,101
2,RJ Barrett,New York Knicks,36:56,4,19,.211,0,8,.000,4,5,.800,2,6,8,3,1,0,2,2,12,-20,36:56,.283,.211,.421,.263,4.9,16.2,10.3,14.5,1.3,0.0,8.6,27.0,63,102
3,Mitchell Robinson,New York Knicks,25:13,2,4,.500,0,0,0,0,0,0,2,5,7,0,2,0,1,4,4,0,25:13,.500,.500,.000,.000,7.2,19.8,13.2,0.0,3.8,0.0,20.0,8.5,89,94
4,Elfrid Payton,New York Knicks,23:21,7,12,.583,0,2,.000,0,1,.000,0,3,3,4,1,0,2,1,14,-14,23:21,.563,.583,.167,.083,0.0,12.8,6.1,46.7,2.1,0.0,13.9,26.6,96,101
6,Kevin Knox,New York Knicks,31:30,5,14,.357,2,8,.250,4,5,.800,2,4,6,1,0,0,2,1,16,-14,31:30,.494,.429,.571,.357,5.8,12.7,9.1,6.3,0.0,0.0,11.0,24.8,92,106
7,Austin Rivers,New York Knicks,21:15,3,6,.500,1,4,.250,0,0,0,0,1,1,5,1,0,1,0,7,-4,21:15,.583,.583,.667,.000,0.0,4.7,2.2,44.8,2.3,0.0,14.3,14.1,111,103
8,Nerlens Noel,New York Knicks,18:28,3,5,.600,0,0,0,0,0,0,2,4,6,0,0,1,1,4,6,-8,18:28,.600,.600,.000,.000,9.8,21.7,15.4,0.0,0.0,8.4,16.7,13.9,101,99
9,Jared Harper,New York Knicks,3:24,0,0,0,0,0,0,2,2,1.000,0,0,0,0,0,0,2,0,2,+1,3:24,1.136,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,69.4,36.4,68,110
10,Theo Pinson,New York Knicks,3:24,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,+1,3:24,.000,.000,1.000,.000,0.0,29.4,14.0,0.0,0.0,0.0,0.0,12.6,0,101
11,Ignas Brazdeikis,New York Knicks,0:45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0:45,0,0,0,0,0.0,100.0,63.4,0.0,0.0,0.0,0,0.0,0,71
12,Alec Burks,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,New York Knicks,240,32,88,.364,3,36,.083,16,20,.800,9,39,48,21,6,3,15,21,83,0,240,.429,.381,.409,.227,17.0,81.3,47.5,65.6,6.0,9.7,13.4,100.0,83.7,100.8
0,Kyle Lowry,Toronto Raptors,36:49,6,12,.500,4,9,.444,4,6,.667,1,6,7,4,2,0,4,3,20,+11,36:49,.683,.667,.750,.500,2.7,14.8,9.0,19.9,2.6,0.0,21.5,22.5,112,83
1,Fred VanVleet,Toronto Raptors,35:32,9,19,.474,4,9,.444,3,3,1.000,1,4,5,7,1,1,1,0,25,+21,35:32,.615,.579,.474,.158,2.8,10.2,6.7,43.3,1.4,2.6,4.7,26.6,131,86
2,OG Anunoby,Toronto Raptors,34:59,1,10,.100,0,7,.000,3,4,.750,2,5,7,2,1,0,1,3,5,+22,34:59,.213,.100,.700,.400,5.7,12.9,9.5,8.4,1.4,0.0,7.8,16.2,63,86
3,Norman Powell,Toronto Raptors,34:09,7,13,.538,2,7,.286,1,1,1.000,0,4,4,1,2,1,3,2,17,+28,34:09,.632,.615,.538,.077,0.0,10.6,5.6,5.8,2.8,2.7,18.2,21.3,98,82
4,Aron Baynes,Toronto Raptors,14:54,1,3,.333,1,3,.333,0,0,0,1,3,4,1,0,0,1,3,3,0,14:54,.500,.500,1.000,.000,6.7,18.2,12.8,10.5,0.0,0.0,25.0,11.9,94,87
6,Chris Boucher,Toronto Raptors,24:23,3,9,.333,1,4,.250,2,5,.400,2,7,9,2,0,1,2,4,9,+11,24:23,.402,.389,.444,.556,8.2,26.0,17.5,14.0,0.0,3.8,15.2,24.0,84,83
7,Terence Davis,Toronto Raptors,16:15,4,7,.571,2,5,.400,0,0,0,0,4,4,0,0,1,3,3,10,-5,16:15,.714,.714,.714,.000,0.0,22.3,11.7,0.0,0.0,5.7,30.0,27.3,81,83
8,Stanley Johnson,Toronto Raptors,12:35,0,2,.000,0,2,.000,0,0,0,1,3,4,2,0,0,0,1,0,0,12:35,.000,.000,1.000,.000,7.9,21.6,15.1,22.4,0.0,0.0,0.0,7.0,81,87
9,Alex Len,Toronto Raptors,12:33,3,4,.750,3,3,1.000,2,2,1.000,0,2,2,0,0,1,0,0,11,+8,12:33,1.127,1.125,.750,.500,0.0,14.4,7.6,0.0,0.0,7.4,0.0,17.2,207,84
10,Yuta Watanabe,Toronto Raptors,9:27,0,2,.000,0,1,.000,0,0,0,1,3,4,1,1,1,0,2,0,-8,9:27,.000,.000,.500,.000,10.6,28.8,20.1,14.9,5.1,9.8,0.0,9.4,61,67
11,DeAndre' Bembry,Toronto Raptors,2:48,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,1,0,-1,2:48,0,0,0,0,0.0,64.7,33.9,50.4,0.0,0.0,100.0,15.8,48,74
12,Malachi Flynn,Toronto Raptors,2:48,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-1,2:48,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0,93
