,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brandon Clarke,Memphis Grizzlies,31:35,6,11,.545,1,4,.250,2,2,1.000,1,3,4,3,0,2,2,3,15,+12,31:35,.631,.591,.364,.182,3.6,9.5,6.8,13.5,0.0,5.5,14.4,19.3,115,98
1,Kyle Anderson,Memphis Grizzlies,29:10,7,15,.467,2,6,.333,2,2,1.000,1,10,11,5,2,1,0,2,18,+25,29:10,.567,.533,.400,.133,3.9,34.3,20.1,26.1,3.3,3.0,0.0,23.9,129,85
2,Tyus Jones,Memphis Grizzlies,28:59,3,7,.429,0,2,.000,0,0,0,0,1,1,12,2,0,1,0,6,+25,28:59,.429,.429,.286,.000,0.0,3.5,1.8,52.3,3.3,0.0,12.5,12.1,129,96
3,Dillon Brooks,Memphis Grizzlies,28:12,8,17,.471,5,10,.500,0,0,0,1,2,3,2,3,1,5,4,21,+18,28:12,.618,.618,.588,.000,4.1,7.1,5.7,11.6,5.2,3.1,22.7,34.2,89,89
4,Jonas Valančiūnas,Memphis Grizzlies,25:47,6,9,.667,0,0,0,2,4,.500,3,7,10,1,1,0,2,3,14,+17,25:47,.651,.667,.000,.444,13.3,27.1,20.7,5.8,1.9,0.0,15.7,21.7,114,92
6,Desmond Bane,Memphis Grizzlies,28:08,4,12,.333,2,7,.286,0,0,0,0,2,2,4,1,0,2,2,10,-5,28:08,.417,.417,.583,.000,0.0,7.1,3.8,18.9,1.7,0.0,14.3,21.8,85,98
7,John Konchar,Memphis Grizzlies,26:33,3,7,.429,1,2,.500,0,0,0,2,7,9,5,1,0,0,3,7,+2,26:33,.500,.500,.286,.000,8.6,26.4,18.1,24.1,1.8,0.0,0.0,11.6,136,92
8,Gorgui Dieng,Memphis Grizzlies,22:13,5,9,.556,2,5,.400,2,2,1.000,2,6,8,1,0,2,1,1,14,-2,22:13,.709,.667,.556,.222,10.3,27.0,19.2,6.7,0.0,7.9,9.2,21.5,131,91
9,Sean McDermott,Memphis Grizzlies,19:23,1,3,.333,1,3,.333,0,0,0,0,0,0,1,0,0,2,0,3,-17,19:23,.500,.500,1.000,.000,0.0,0.0,0.0,6.1,0.0,0.0,40.0,11.3,63,105
10,Jontay Porter,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
