,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Shai Gilgeous-Alexander,Oklahoma City Thunder,34:46,5,17,.294,2,9,.222,4,5,.800,0,4,4,7,0,1,1,3,16,+1,34:46,.417,.353,.529,.294,0.0,9.1,5.2,31.1,0.0,2.0,5.0,26.5,96,105
1,Darius Bazley,Oklahoma City Thunder,32:24,7,10,.700,2,4,.500,3,3,1.000,0,12,12,2,0,1,0,0,19,+1,32:24,.839,.800,.400,.300,0.0,29.1,16.6,10.7,0.0,2.1,0.0,15.9,167,95
2,Luguentz Dort,Oklahoma City Thunder,30:11,2,7,.286,1,4,.250,4,4,1.000,0,4,4,0,1,1,1,4,9,+4,30:11,.514,.357,.571,.571,0.0,10.4,5.9,0.0,1.6,2.3,10.2,14.7,94,100
3,Al Horford,Oklahoma City Thunder,27:46,5,12,.417,2,7,.286,0,0,0,1,6,7,4,0,1,1,2,12,-2,27:46,.500,.500,.583,.000,3.8,17.0,11.3,23.6,0.0,2.5,7.7,21.4,105,101
4,George Hill,Oklahoma City Thunder,27:33,7,12,.583,3,7,.429,1,1,1.000,0,1,1,5,2,0,1,0,18,-2,27:33,.723,.708,.583,.083,0.0,2.9,1.6,33.8,3.5,0.0,7.4,22.3,137,102
6,Mike Muscala,Oklahoma City Thunder,20:14,2,6,.333,1,4,.250,3,3,1.000,0,6,6,0,0,1,2,1,8,+11,20:14,.546,.417,.667,.500,0.0,23.3,13.3,0.0,0.0,3.4,21.5,21.0,85,97
7,Théo Maledon,Oklahoma City Thunder,19:21,5,7,.714,1,3,.333,1,1,1.000,1,2,3,4,1,0,1,2,12,+8,19:21,.806,.786,.429,.143,5.4,8.1,7.0,38.8,2.5,0.0,11.8,19.9,151,101
8,Hamidou Diallo,Oklahoma City Thunder,18:55,5,9,.556,1,1,1.000,1,2,.500,2,6,8,0,0,0,1,4,12,+8,18:55,.607,.611,.111,.222,11.0,25.0,19.0,0.0,0.0,0.0,9.2,26.2,111,98
9,Kenrich Williams,Oklahoma City Thunder,14:35,0,5,.000,0,1,.000,2,2,1.000,2,3,5,0,0,0,0,1,2,+4,14:35,.170,.000,.200,.400,14.3,16.2,15.4,0.0,0.0,0.0,0.0,18.4,63,103
10,Aleksej Pokusevski,Oklahoma City Thunder,14:15,0,1,.000,0,1,.000,0,0,0,0,2,2,0,1,0,2,0,0,+12,14:15,.000,.000,1.000,.000,0.0,11.0,6.3,0.0,3.4,0.0,66.7,9.6,0,98
11,Isaiah Roby,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
