,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Collin Sexton,Cleveland Cavaliers,35:00,8,20,.400,3,7,.429,2,2,1.000,1,2,3,4,1,1,0,1,21,-13,35:00,.503,.475,.350,.100,2.9,6.9,4.7,21.9,1.5,2.6,0.0,26.9,113,115
1,Cedi Osman,Cleveland Cavaliers,32:53,1,12,.083,0,7,.000,2,2,1.000,0,5,5,7,3,0,2,4,4,-20,32:53,.155,.083,.583,.167,0.0,18.2,8.3,29.6,4.7,0.0,13.4,20.4,54,107
2,Larry Nance Jr.,Cleveland Cavaliers,32:37,4,7,.571,1,3,.333,1,6,.167,0,3,3,1,1,0,2,4,10,-20,32:37,.519,.643,.429,.857,0.0,11.0,5.0,4.9,1.6,0.0,17.2,16.1,81,116
3,Isaac Okoro,Cleveland Cavaliers,28:00,4,5,.800,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,3,10,-1,28:00,.850,.800,.200,.400,0.0,0.0,0.0,11.8,0.0,0.0,0.0,9.5,178,121
4,Andre Drummond,Cleveland Cavaliers,26:18,9,16,.563,0,0,0,1,4,.250,6,9,15,1,1,1,5,4,19,-12,26:18,.535,.563,.000,.250,22.8,41.1,31.1,9.3,2.0,3.5,22.0,39.0,89,106
6,Lamar Stevens,Cleveland Cavaliers,20:35,4,9,.444,0,2,.000,2,2,1.000,1,5,6,1,0,0,0,2,10,+1,20:35,.506,.444,.222,.222,4.9,29.1,15.9,8.7,0.0,0.0,0.0,21.6,114,116
7,JaVale McGee,Cleveland Cavaliers,17:06,2,6,.333,0,1,.000,2,2,1.000,2,3,5,3,2,0,1,1,6,-5,17:06,.436,.333,.167,.333,11.7,21.1,15.9,27.7,6.0,0.0,12.7,20.8,103,104
8,Damyean Dotson,Cleveland Cavaliers,15:31,2,5,.400,0,3,.000,0,0,0,0,0,0,3,0,0,0,0,4,-8,15:31,.400,.400,.600,.000,0.0,0.0,0.0,31.1,0.0,0.0,0.0,14.5,104,122
9,Thon Maker,Cleveland Cavaliers,14:29,2,3,.667,0,1,.000,2,2,1.000,2,4,6,2,0,0,0,0,6,+6,14:29,.773,.667,.333,.667,13.8,33.1,22.6,22.6,0.0,0.0,0.0,12.1,175,115
10,Dean Wade,Cleveland Cavaliers,12:52,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,+7,12:52,.347,.000,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,85,122
11,Marques Bolden,Cleveland Cavaliers,4:38,0,0,0,0,0,0,2,2,1.000,1,1,2,0,1,2,0,0,2,+10,4:38,1.136,0,0,0,21.6,25.9,23.5,0.0,11.2,39.8,0.0,8.6,238,61
12,Darius Garland,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Cleveland Cavaliers,240,36,85,.424,4,26,.154,18,26,.692,13,32,45,24,9,4,10,19,94,0,240,.487,.447,.306,.306,27.1,80.0,51.1,66.7,9.7,7.7,9.4,100.0,101.3,113.1
0,Nikola Vučević,Orlando Magic,34:08,7,18,.389,1,5,.200,1,1,1.000,0,7,7,6,0,1,2,2,16,+1,34:08,.434,.417,.278,.056,0.0,20.5,11.2,28.0,0.0,2.4,9.8,27.7,95,101
1,Dwayne Bacon,Orlando Magic,31:31,8,14,.571,2,5,.400,1,1,1.000,0,2,2,1,0,0,0,0,19,+3,31:31,.658,.643,.357,.071,0.0,6.3,3.5,5.5,0.0,0.0,0.0,21.2,133,108
2,Gary Clark,Orlando Magic,28:24,1,4,.250,1,3,.333,0,0,0,1,3,4,1,0,0,0,4,3,-1,28:24,.375,.375,.750,.000,4.2,10.6,7.7,4.4,0.0,0.0,0.0,6.5,103,106
3,Aaron Gordon,Orlando Magic,27:09,5,7,.714,2,2,1.000,3,7,.429,0,8,8,3,1,1,5,1,15,+8,27:09,.744,.857,.286,1.000,0.0,29.5,16.1,17.0,1.9,3.0,33.2,25.7,98,93
4,Markelle Fultz,Orlando Magic,4:25,1,3,.333,0,0,0,1,1,1.000,0,0,0,0,1,0,0,0,3,-8,4:25,.436,.333,.000,.333,0.0,0.0,0.0,0.0,11.7,0.0,0.0,36.0,94,85
6,Cole Anthony,Orlando Magic,32:06,4,12,.333,0,4,.000,0,0,0,0,4,4,3,0,1,3,1,8,+11,32:06,.333,.333,.333,.000,0.0,12.5,6.8,13.2,0.0,2.5,20.0,21.6,66,104
7,Khem Birch,Orlando Magic,24:55,3,4,.750,0,0,0,0,0,0,4,6,10,2,1,0,1,3,6,+18,24:55,.750,.750,.000,.000,19.3,24.1,21.9,11.3,2.1,0.0,20.0,9.3,149,96
8,Terrence Ross,Orlando Magic,21:44,6,9,.667,5,6,.833,3,4,.750,0,2,2,2,1,1,1,5,20,+17,21:44,.929,.944,.667,.444,0.0,9.2,5.0,16.5,2.4,3.7,8.5,25.0,165,98
9,James Ennis III,Orlando Magic,16:06,2,3,.667,0,1,.000,2,2,1.000,2,0,2,1,0,0,2,2,6,+10,16:06,.773,.667,.333,.667,14.9,0.0,6.8,8.8,0.0,0.0,34.0,16.9,118,109
10,Jordan Bone,Orlando Magic,12:10,3,4,.750,1,2,.500,0,0,0,1,2,3,1,0,0,0,2,7,+8,12:10,.875,.875,.500,.000,9.9,16.4,13.4,14.0,0.0,0.0,0.0,15.2,180,103
11,Karim Mané,Orlando Magic,3:40,0,1,.000,0,0,0,2,2,1.000,0,0,0,0,0,0,1,0,2,-6,3:40,.000,.000,.500,.000,0.0,27.3,14.9,0.0,0.0,0.0,0.0,25.2,0,97
12,Mo Bamba,Orlando Magic,3:40,0,2,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,2,0,-6,3:40,.532,.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,34.7,36.3,74,110
13,Evan Fournier,Orlando Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Orlando Magic,240,40,81,.494,12,29,.414,13,18,.722,8,35,43,20,4,4,15,22,105,0,240,.590,.568,.358,.222,20.0,72.9,48.9,50.0,4.3,6.8,14.4,100.0,113.1,101.3
