,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Luka Dončić,Dallas Mavericks,43:17,13,22,.591,2,7,.286,10,15,.667,0,9,9,13,5,1,8,0,38,+14,43:17,.664,.636,.318,.682,0.0,24.0,12.1,61.0,5.8,2.3,21.9,39.4,116,101
1,Josh Richardson,Dallas Mavericks,41:16,5,15,.333,2,7,.286,2,2,1.000,0,1,1,1,2,0,1,4,14,+1,41:16,.441,.400,.467,.133,0.0,2.8,1.4,3.6,2.4,0.0,5.9,19.1,85,115
2,Dorian Finney-Smith,Dallas Mavericks,36:29,5,12,.417,4,8,.500,0,0,0,3,5,8,2,3,2,0,4,14,-1,36:29,.583,.583,.667,.000,9.7,15.8,12.8,8.4,4.1,5.5,0.0,15.3,129,105
3,Maxi Kleber,Dallas Mavericks,36:00,3,7,.429,3,5,.600,0,0,0,1,7,8,3,0,2,1,0,9,+15,36:00,.643,.643,.714,.000,3.3,22.4,12.9,11.8,0.0,5.6,12.5,10.4,123,113
4,Willie Cauley-Stein,Dallas Mavericks,26:16,1,1,1.000,0,0,0,3,4,.750,2,7,9,1,0,1,0,4,5,+4,26:16,.906,1.000,.000,4.000,9.0,30.7,20.0,5.0,0.0,3.8,0.0,4.9,205,112
6,Tim Hardaway Jr.,Dallas Mavericks,24:36,3,11,.273,3,8,.375,2,3,.667,0,3,3,4,0,1,0,0,11,+3,24:36,.446,.409,.727,.273,0.0,14.1,7.1,24.3,0.0,4.1,0.0,23.4,105,116
7,Jalen Brunson,Dallas Mavericks,18:39,2,5,.400,1,3,.333,2,2,1.000,0,2,2,3,0,0,2,3,7,+8,18:39,.595,.500,.600,.400,0.0,12.4,6.2,23.5,0.0,0.0,25.4,19.7,103,118
8,Boban Marjanović,Dallas Mavericks,16:11,5,7,.714,0,0,0,2,2,1.000,1,2,3,0,0,0,0,3,12,0,16:11,.761,.714,.000,.286,7.3,14.2,10.8,0.0,0.0,0.0,0.0,22.7,153,118
9,Dwight Powell,Dallas Mavericks,10:28,2,2,1.000,0,0,0,3,3,1.000,0,0,0,0,1,0,0,1,7,+3,10:28,1.054,1.000,.000,1.500,0.0,0.0,0.0,0.0,4.8,0.0,0.0,14.8,225,110
10,James Johnson,Dallas Mavericks,9:14,3,5,.600,1,2,.500,0,0,0,0,0,0,0,1,0,1,1,7,-8,9:14,.700,.700,.400,.000,0.0,0.0,0.0,0.0,5.4,0.0,16.7,30.3,97,109
