,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Devin Booker,Phoenix Suns,36:05,9,19,.474,1,5,.200,6,6,1.000,0,3,3,7,2,0,0,3,25,+5,36:05,.578,.500,.263,.316,0.0,8.1,4.3,27.4,2.7,0.0,0.0,27.8,126,118
1,Mikal Bridges,Phoenix Suns,35:23,12,18,.667,6,8,.750,4,4,1.000,0,3,3,2,0,1,0,0,34,+5,35:23,.860,.833,.444,.222,0.0,8.3,4.4,9.1,0.0,2.2,0.0,25.9,159,123
2,Deandre Ayton,Phoenix Suns,33:42,4,10,.400,0,0,0,0,0,0,3,11,14,3,0,0,0,2,8,+12,33:42,.400,.400,.000,.000,9.9,32.0,21.7,10.6,0.0,0.0,0.0,13.8,109,117
3,Chris Paul,Phoenix Suns,33:06,6,10,.600,0,2,.000,3,3,1.000,0,2,2,10,0,0,1,4,15,+3,33:06,.663,.600,.200,.300,0.0,5.9,3.2,38.9,0.0,0.0,8.1,17.3,144,125
4,Jae Crowder,Phoenix Suns,26:54,2,7,.286,2,7,.286,4,4,1.000,0,8,8,4,1,0,0,1,10,+7,26:54,.571,.429,1.000,.571,0.0,29.1,15.5,16.8,1.8,0.0,0.0,15.1,130,114
6,Cameron Johnson,Phoenix Suns,29:16,6,13,.462,4,10,.400,0,0,0,1,3,4,4,0,0,1,0,16,+6,29:16,.615,.615,.769,.000,3.8,10.0,7.1,18.1,0.0,0.0,7.1,22.2,117,124
7,Dario Šarić,Phoenix Suns,16:54,2,7,.286,0,2,.000,0,0,0,0,2,2,2,0,0,0,1,4,-3,16:54,.286,.286,.286,.000,0.0,11.6,6.2,14.1,0.0,0.0,0.0,19.2,71,123
8,Jevon Carter,Phoenix Suns,16:29,4,7,.571,2,5,.400,0,0,0,0,3,3,1,3,1,0,5,10,+3,16:29,.714,.714,.714,.000,0.0,17.8,9.5,8.5,8.9,4.6,0.0,19.7,130,97
9,Langston Galloway,Phoenix Suns,12:11,1,3,.333,1,2,.500,0,0,0,0,1,1,0,0,0,0,1,3,+2,12:11,.500,.500,.667,.000,0.0,8.0,4.3,0.0,0.0,0.0,0.0,11.4,90,124
10,Damian Jones,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Cameron Payne,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ty-Shon Alexander,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,E'Twaun Moore,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Frank Kaminsky,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Abdel Nader,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Phoenix Suns,240,46,94,.489,16,41,.390,17,17,1.000,4,36,40,33,6,2,2,17,125,0,240,.616,.574,.436,.181,9.3,73.5,43.5,71.7,6.1,3.2,1.9,100.0,127.6,119.4
0,Domantas Sabonis,Indiana Pacers,41:28,12,24,.500,0,4,.000,4,8,.500,7,15,22,4,0,0,3,5,28,-6,41:28,.509,.500,.167,.333,16.5,40.4,27.7,15.4,0.0,0.0,9.8,31.4,111,128
1,Malcolm Brogdon,Indiana Pacers,39:14,7,20,.350,3,6,.500,5,5,1.000,2,4,6,9,0,0,2,1,22,-7,39:14,.495,.425,.300,.250,5.0,11.4,8.0,31.1,0.0,0.0,8.3,26.3,117,131
2,Myles Turner,Indiana Pacers,36:04,6,8,.750,2,3,.667,1,2,.500,4,6,10,3,0,4,0,3,15,-6,36:04,.845,.875,.375,.250,10.9,18.6,14.5,11.1,0.0,10.0,0.0,10.5,182,120
3,Victor Oladipo,Indiana Pacers,30:55,7,21,.333,2,7,.286,0,0,0,0,6,6,4,1,0,2,5,16,+1,30:55,.381,.381,.333,.000,0.0,21.7,10.1,18.7,1.6,0.0,8.7,31.7,83,126
4,Aaron Holiday,Indiana Pacers,24:43,1,3,.333,1,2,.500,0,0,0,0,1,1,1,0,0,2,3,3,-9,24:43,.500,.500,.667,.000,0.0,4.5,2.1,4.6,0.0,0.0,40.0,8.6,66,132
6,Justin Holiday,Indiana Pacers,28:04,6,10,.600,2,5,.400,3,5,.600,0,5,5,0,0,0,0,0,17,-10,28:04,.697,.700,.500,.500,0.0,19.9,9.3,0.0,0.0,0.0,0.0,18.5,142,130
7,Doug McDermott,Indiana Pacers,23:18,3,3,1.000,2,2,1.000,4,4,1.000,0,1,1,2,0,0,0,2,12,-8,23:18,1.261,1.333,.667,1.333,0.0,4.8,2.2,10.9,0.0,0.0,0.0,8.7,255,132
8,JaKarr Sampson,Indiana Pacers,7:57,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,7:57,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0,132
9,Edmond Sumner,Indiana Pacers,6:10,2,2,1.000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,+8,6:10,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,7.9,0.0,33.3,20.7,106,113
10,Cassius Stanley,Indiana Pacers,2:07,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,+5,2:07,0,0,0,0,0.0,52.7,24.6,0.0,0.0,0.0,0,0.0,0,127
11,T.J. McConnell,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kelan Martin,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Indiana Pacers,240,44,92,.478,12,29,.414,17,24,.708,13,39,52,23,2,4,10,19,117,0,240,.570,.543,.315,.261,26.5,90.7,56.5,52.3,2.0,7.5,8.9,100.0,119.4,127.6
