,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Shai Gilgeous-Alexander,Oklahoma City Thunder,36:01,11,16,.688,2,4,.500,7,8,.875,1,5,6,7,2,1,2,3,31,+1,36:01,.794,.750,.250,.500,3.3,18.0,10.4,27.2,2.6,2.6,9.3,26.7,153,110
1,Darius Bazley,Oklahoma City Thunder,33:19,2,6,.333,1,4,.250,0,0,0,1,4,5,2,0,2,1,1,5,-7,33:19,.417,.417,.667,.000,3.6,15.6,9.4,6.2,0.0,5.6,14.3,9.4,92,114
2,George Hill,Oklahoma City Thunder,28:05,6,12,.500,2,6,.333,0,0,0,0,0,0,3,2,0,1,1,14,-5,28:05,.583,.583,.500,.000,0.0,0.0,0.0,13.2,3.3,0.0,7.7,20.7,111,113
3,Al Horford,Oklahoma City Thunder,27:47,9,17,.529,3,7,.429,1,1,1.000,0,6,6,3,1,1,2,4,22,+3,27:47,.631,.618,.412,.059,0.0,28.0,13.5,15.5,1.7,3.4,10.3,31.2,112,110
4,Luguentz Dort,Oklahoma City Thunder,25:23,4,6,.667,2,3,.667,3,3,1.000,0,3,3,0,1,0,2,3,13,-4,25:23,.888,.833,.500,.500,0.0,15.3,7.4,0.0,1.8,0.0,21.5,16.4,130,114
6,Hamidou Diallo,Oklahoma City Thunder,23:53,10,14,.714,1,4,.250,4,4,1.000,0,3,3,4,4,0,0,4,25,+17,23:53,.793,.750,.286,.286,0.0,16.3,7.8,27.8,7.7,0.0,0.0,29.5,162,101
7,Isaiah Roby,Oklahoma City Thunder,19:17,5,7,.714,2,4,.500,1,1,1.000,0,5,5,0,0,0,1,2,13,+8,19:17,.874,.857,.571,.143,0.0,33.6,16.2,0.0,0.0,0.0,11.8,19.5,141,116
8,Théo Maledon,Oklahoma City Thunder,18:39,1,7,.143,1,4,.250,0,0,0,0,1,1,5,2,0,0,1,3,+18,18:39,.214,.214,.571,.000,0.0,7.0,3.3,27.7,5.0,0.0,0.0,16.8,81,108
9,Aleksej Pokusevski,Oklahoma City Thunder,13:38,1,4,.250,1,3,.333,0,0,0,0,3,3,0,0,0,1,0,3,+16,13:38,.375,.375,.750,.000,0.0,28.5,13.7,0.0,0.0,0.0,20.0,16.4,57,117
10,Kenrich Williams,Oklahoma City Thunder,13:02,0,1,.000,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,+16,13:02,.000,.000,.000,.000,9.2,10.0,9.6,0.0,0.0,0.0,0.0,3.4,80,119
11,Moses Brown,Oklahoma City Thunder,0:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0:56,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,120
12,Mike Muscala,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Justin Jackson,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Josh Hall,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Darius Miller,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Oklahoma City Thunder,240,49,90,.544,15,39,.385,16,17,.941,3,31,34,24,12,4,10,22,129,0,240,.662,.628,.433,.189,7.5,83.8,44.2,49.0,11.5,7.8,9.3,100.0,124.1,111.6
0,Kevin Durant,Brooklyn Nets,37:40,11,21,.524,2,7,.286,12,15,.800,1,10,11,4,0,1,4,2,36,0,37:40,.652,.571,.333,.714,3.4,31.9,18.2,17.6,0.0,2.5,12.7,35.8,121,123
1,Caris LeVert,Brooklyn Nets,35:32,8,17,.471,2,6,.333,3,3,1.000,1,3,4,6,0,0,2,2,21,-6,35:32,.573,.529,.353,.176,3.7,10.1,7.0,25.2,0.0,0.0,9.8,24.4,116,127
2,Jarrett Allen,Brooklyn Nets,33:05,6,7,.857,0,0,0,3,3,1.000,1,9,10,1,0,1,3,3,15,-5,33:05,.901,.857,.000,.429,3.9,32.6,18.8,4.2,0.0,2.8,26.5,14.6,130,123
3,Joe Harris,Brooklyn Nets,31:41,4,12,.333,2,6,.333,0,0,0,0,5,5,3,0,0,2,3,10,-3,31:41,.417,.417,.500,.000,0.0,18.9,9.8,12.3,0.0,0.0,14.3,18.8,81,126
4,Jeff Green,Brooklyn Nets,24:38,2,8,.250,0,4,.000,0,0,0,2,2,4,1,1,0,0,1,4,-10,24:38,.250,.250,.500,.000,10.5,9.7,10.1,5.0,1.9,0.0,0.0,13.8,76,123
6,Taurean Prince,Brooklyn Nets,23:45,5,7,.714,1,2,.500,0,0,0,1,4,5,2,1,0,1,1,11,-5,23:45,.786,.786,.286,.000,5.5,20.2,13.1,12.3,1.9,0.0,12.5,14.4,140,122
7,Timothé Luwawu-Cabarrot,Brooklyn Nets,20:43,4,6,.667,3,5,.600,1,2,.500,0,1,1,4,0,0,0,3,12,-10,20:43,.872,.917,.833,.333,0.0,5.8,3.0,27.5,0.0,0.0,0.0,14.2,178,127
8,Landry Shamet,Brooklyn Nets,15:28,1,5,.200,0,4,.000,1,1,1.000,0,1,1,0,1,0,2,1,3,-15,15:28,.276,.200,.800,.200,0.0,7.8,4.0,0.0,3.0,0.0,26.9,20.5,42,120
9,DeAndre Jordan,Brooklyn Nets,10:26,2,2,1.000,0,0,0,0,0,0,0,1,1,0,0,0,2,1,4,-8,10:26,1.000,1.000,.000,.000,0.0,11.5,6.0,0.0,0.0,0.0,50.0,16.3,78,127
10,Bruce Brown,Brooklyn Nets,4:47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,-4,4:47,0,0,0,0,0.0,25.1,13.0,0.0,0.0,0.0,100.0,8.9,0,126
11,Rodions Kurucs,Brooklyn Nets,2:15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,+1,2:15,0,0,0,0,0.0,0.0,0.0,99.2,0.0,0.0,0,0.0,223,127
12,Reggie Perry,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Chris Chiozza,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Brooklyn Nets,240,43,85,.506,10,34,.294,20,24,.833,6,37,43,23,3,2,17,18,116,0,240,.607,.565,.400,.282,16.2,92.5,55.8,53.5,2.9,3.9,15.1,100.0,111.6,124.1
