,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Pascal Siakam,Toronto Raptors,40:27,9,19,.474,2,4,.500,5,9,.556,5,6,11,3,0,0,2,2,25,+7,40:27,.544,.526,.211,.474,11.4,15.1,13.2,12.6,0.0,0.0,8.0,25.6,115,112
1,Fred VanVleet,Toronto Raptors,39:17,9,20,.450,3,10,.300,0,0,0,2,3,5,5,0,1,1,3,21,+1,39:17,.525,.525,.500,.000,4.7,7.8,6.2,21.8,0.0,2.6,4.8,22.2,116,114
2,OG Anunoby,Toronto Raptors,37:16,4,12,.333,2,6,.333,0,0,0,2,4,6,1,2,1,1,0,10,0,37:16,.417,.417,.500,.000,5.0,11.0,7.8,3.8,2.6,2.7,7.7,14.5,91,107
3,Kyle Lowry,Toronto Raptors,33:31,5,14,.357,3,8,.375,4,7,.571,1,8,9,6,1,0,1,4,17,0,33:31,.498,.464,.571,.500,2.8,24.4,13.0,27.0,1.4,0.0,5.5,22.4,114,106
4,Norman Powell,Toronto Raptors,22:27,3,8,.375,1,3,.333,2,2,1.000,0,3,3,0,1,0,3,3,9,-10,22:27,.507,.438,.375,.250,0.0,13.6,6.5,0.0,2.1,0.0,25.3,22.0,76,108
6,Chris Boucher,Toronto Raptors,23:49,6,10,.600,2,3,.667,1,1,1.000,3,3,6,0,1,6,0,6,15,+5,23:49,.718,.700,.300,.100,11.6,12.9,12.2,0.0,2.0,25.7,0.0,18.2,152,95
7,Malachi Flynn,Toronto Raptors,12:34,0,3,.000,0,1,.000,0,0,0,0,1,1,3,0,0,0,1,0,-5,12:34,.000,.000,.333,.000,0.0,8.1,3.9,29.4,0.0,0.0,0.0,9.9,55,115
8,Terence Davis,Toronto Raptors,12:18,1,6,.167,0,2,.000,1,1,1.000,0,2,2,0,1,0,0,0,3,-6,12:18,.233,.167,.333,.167,0.0,16.6,7.9,0.0,3.9,0.0,0.0,21.7,55,103
9,Stanley Johnson,Toronto Raptors,9:22,1,1,1.000,0,0,0,1,2,.500,0,3,3,1,2,0,0,1,3,+10,9:22,.798,1.000,.000,2.000,0.0,32.7,15.5,15.1,10.2,0.0,0.0,8.3,170,82
10,Yuta Watanabe,Toronto Raptors,8:59,1,3,.333,0,1,.000,0,0,0,0,2,2,1,0,2,2,2,2,-7,8:59,.333,.333,.333,.000,0.0,22.7,10.8,15.9,0.0,22.7,40.0,23.1,49,98
11,DeAndre' Bembry,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Alex Len,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Paul Watson,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Aron Baynes,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Matt Thomas,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Toronto Raptors,240,39,96,.406,13,38,.342,14,22,.636,13,35,48,20,8,10,10,22,105,0,240,.497,.474,.396,.229,25.0,74.5,48.5,51.3,8.0,21.3,8.6,100.0,104.9,105.9
0,Stephen Curry,Golden State Warriors,38:12,2,16,.125,1,10,.100,6,6,1.000,3,6,9,6,0,0,5,3,11,+7,38:12,.295,.156,.625,.375,8.0,14.5,11.4,21.2,0.0,0.0,21.2,25.5,72,109
1,Andrew Wiggins,Golden State Warriors,34:20,7,17,.412,3,10,.300,0,0,0,0,2,2,4,0,4,3,2,17,-8,34:20,.500,.500,.588,.000,0.0,5.4,2.8,19.8,0.0,9.6,15.0,24.0,90,106
2,Draymond Green,Golden State Warriors,29:22,3,8,.375,2,5,.400,2,3,.667,1,8,9,10,0,1,3,1,10,-3,29:22,.536,.500,.625,.375,3.5,25.1,14.9,49.4,0.0,2.8,24.4,17.3,111,103
3,Kelly Oubre Jr.,Golden State Warriors,29:01,5,14,.357,1,6,.167,1,1,1.000,3,3,6,3,0,1,1,1,12,-4,29:01,.416,.393,.429,.071,10.6,9.5,10.0,16.7,0.0,2.9,6.5,22.0,98,109
4,James Wiseman,Golden State Warriors,16:32,5,7,.714,0,1,.000,0,0,0,0,7,7,0,0,0,0,2,10,-2,16:32,.714,.714,.143,.000,0.0,39.1,20.5,0.0,0.0,0.0,0.0,17.5,135,99
6,Kent Bazemore,Golden State Warriors,20:44,4,7,.571,1,2,.500,0,0,0,0,5,5,3,0,3,2,1,9,+7,20:44,.643,.643,.286,.000,0.0,22.3,11.7,24.2,0.0,12.0,22.2,17.9,102,98
7,Eric Paschall,Golden State Warriors,18:38,5,10,.500,1,2,.500,4,5,.800,1,1,2,1,0,0,0,3,15,+4,18:38,.615,.550,.200,.500,5.5,5.0,5.2,10.3,0.0,0.0,0.0,27.0,132,112
8,Damion Lee,Golden State Warriors,15:28,4,7,.571,3,6,.500,2,2,1.000,0,2,2,1,1,0,0,1,13,-2,15:28,.825,.786,.857,.286,0.0,11.9,6.3,12.1,3.1,0.0,0.0,21.0,160,103
9,Kevon Looney,Golden State Warriors,14:11,1,1,1.000,0,0,0,0,0,0,2,1,3,0,0,1,0,0,2,+5,14:11,1.000,1.000,.000,.000,14.4,6.5,10.3,0.0,0.0,5.8,0.0,2.9,216,109
10,Brad Wanamaker,Golden State Warriors,12:32,2,5,.400,1,3,.333,2,2,1.000,2,1,3,2,1,0,0,3,7,-4,12:32,.595,.500,.600,.400,16.3,7.4,11.6,25.2,3.8,0.0,0.0,19.4,146,102
11,Mychal Mulder,Golden State Warriors,11:00,0,1,.000,0,1,.000,0,0,0,0,3,3,0,0,0,1,1,0,+5,11:00,.000,.000,1.000,.000,0.0,25.2,13.2,0.0,0.0,0.0,50.0,7.5,0,105
12,Nico Mannion,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Juan Toscano-Anderson,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jordan Poole,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Golden State Warriors,240,38,93,.409,13,46,.283,17,19,.895,12,39,51,30,2,10,15,18,106,0,240,.523,.478,.495,.204,25.5,75.0,51.5,78.9,2.0,17.2,12.9,100.0,105.9,104.9
