,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Donovan Mitchell,Utah Jazz,30:06,9,15,.600,5,7,.714,4,4,1.000,2,1,3,4,0,0,1,2,27,+22,30:06,.805,.767,.467,.267,8.4,3.2,5.4,23.1,0.0,0.0,5.6,26.9,164,104
1,Royce O'Neale,Utah Jazz,29:34,2,5,.400,1,4,.250,0,0,0,1,2,3,4,1,0,1,1,5,+22,29:34,.500,.500,.800,.000,4.3,6.5,5.5,16.8,1.7,0.0,16.7,9.3,126,99
2,Bojan Bogdanović,Utah Jazz,27:49,6,10,.600,4,6,.667,4,4,1.000,0,2,2,3,0,0,2,0,20,+15,27:49,.850,.800,.600,.400,0.0,6.9,3.9,16.4,0.0,0.0,14.5,22.6,150,103
3,Mike Conley,Utah Jazz,27:00,4,10,.400,3,6,.500,1,2,.500,2,4,6,5,2,0,1,2,12,+18,27:00,.551,.550,.600,.200,9.4,14.2,12.1,25.5,3.8,0.0,8.4,20.1,133,91
4,Rudy Gobert,Utah Jazz,25:21,2,7,.286,0,0,0,0,2,.000,2,8,10,0,1,1,2,3,4,+13,25:21,.254,.286,.000,.286,10.0,30.3,21.5,0.0,2.0,3.2,20.2,17.8,56,87
6,Jordan Clarkson,Utah Jazz,28:08,8,14,.571,5,9,.556,0,0,0,1,7,8,4,2,0,4,1,21,+22,28:08,.750,.750,.643,.000,4.5,23.9,15.5,24.1,3.7,0.0,22.2,29.2,121,88
7,Miye Oni,Utah Jazz,17:54,2,4,.500,2,4,.500,0,0,0,0,3,3,2,0,3,0,3,6,+8,17:54,.750,.750,1.000,.000,0.0,16.1,9.1,14.6,0.0,13.6,0.0,10.2,169,89
8,Derrick Favors,Utah Jazz,17:00,1,2,.500,0,0,0,0,0,0,1,3,4,1,1,3,0,1,2,+18,17:00,.500,.500,.000,.000,7.4,16.9,12.8,7.2,3.0,14.4,0.0,5.4,148,82
9,Georges Niang,Utah Jazz,15:18,6,11,.545,2,4,.500,0,0,0,0,5,5,0,0,0,2,0,14,+18,15:18,.636,.636,.364,.000,0.0,31.4,17.8,0.0,0.0,0.0,15.4,38.7,97,93
10,Udoka Azubuike,Utah Jazz,5:39,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,5:39,0,0,0,0,0.0,34.0,19.3,0.0,0.0,0.0,0,0.0,0,92
11,Jarrell Brantley,Utah Jazz,5:39,0,1,.000,0,1,.000,0,0,0,1,0,1,0,0,1,0,2,0,-1,5:39,.000,.000,1.000,.000,22.4,0.0,9.7,0.0,0.0,14.4,0.0,8.1,75,94
12,Shaquille Harrison,Utah Jazz,5:39,0,1,.000,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,-1,5:39,.000,.000,.000,.000,0.0,0.0,0.0,60.7,9.1,0.0,66.7,24.2,65,85
13,Elijah Hughes,Utah Jazz,4:53,2,4,.500,2,4,.500,0,0,0,0,1,1,0,0,0,1,0,6,-3,4:53,.750,.750,1.000,.000,0.0,19.7,11.2,0.0,0.0,0.0,20.0,46.7,98,98
14,Team Totals,Utah Jazz,240,42,84,.500,24,45,.533,9,12,.750,10,38,48,26,8,8,16,16,117,0,240,.655,.643,.536,.143,26.3,76.0,54.5,61.9,8.6,13.6,15.2,100.0,125.5,93.3
0,Cedi Osman,Cleveland Cavaliers,37:42,7,15,.467,0,6,.000,3,3,1.000,0,4,4,6,0,1,2,3,17,-29,37:42,.521,.467,.400,.200,0.0,13.4,5.8,29.3,0.0,3.3,10.9,21.6,106,129
1,Isaac Okoro,Cleveland Cavaliers,35:33,4,13,.308,2,6,.333,1,2,.500,2,1,3,3,2,0,1,3,11,-28,35:33,.396,.385,.462,.154,5.4,3.6,4.6,13.7,2.9,0.0,6.7,18.6,89,126
2,Damyean Dotson,Cleveland Cavaliers,30:50,5,11,.455,1,3,.333,0,2,.000,0,2,2,3,0,0,3,1,11,-24,30:50,.463,.500,.273,.182,0.0,8.2,3.5,17.2,0.0,0.0,20.2,21.4,77,133
3,Larry Nance Jr.,Cleveland Cavaliers,29:54,2,11,.182,1,5,.200,1,2,.500,3,4,7,0,1,0,2,1,6,-24,29:54,.253,.227,.455,.182,9.6,16.9,12.8,0.0,1.7,0.0,14.4,20.6,57,126
4,JaVale McGee,Cleveland Cavaliers,20:57,4,8,.500,0,0,0,0,0,0,2,7,9,3,0,2,2,2,8,-10,20:57,.500,.500,.000,.000,9.2,42.2,23.4,26.6,0.0,11.7,20.0,21.2,94,117
6,Yogi Ferrell,Cleveland Cavaliers,23:42,4,12,.333,2,5,.400,0,0,0,2,3,5,4,1,0,0,2,10,-10,23:42,.417,.417,.417,.000,8.1,16.0,11.5,30.1,2.2,0.0,0.0,22.5,105,125
7,Lamar Stevens,Cleveland Cavaliers,23:01,4,8,.500,0,1,.000,1,2,.500,0,3,3,2,1,0,0,0,9,-7,23:01,.507,.500,.125,.250,0.0,16.5,7.1,15.6,2.2,0.0,0.0,17.1,111,125
