,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Ben Simmons,Philadelphia 76ers,36:07,3,9,.333,0,2,.000,5,7,.714,4,12,16,9,0,1,7,3,11,0,36:07,.455,.333,.222,.778,11.3,32.5,22.2,36.2,0.0,1.9,36.7,21.1,86,101
1,Danny Green,Philadelphia 76ers,35:56,3,7,.429,1,4,.250,1,1,1.000,0,3,3,3,0,3,1,2,8,+9,35:56,.538,.500,.571,.143,0.0,8.2,4.2,12.1,0.0,5.7,11.8,9.4,112,105
2,Dwight Howard,Philadelphia 76ers,33:53,3,8,.375,0,1,.000,2,8,.250,5,13,18,3,0,3,3,3,8,+3,33:53,.347,.375,.125,1.000,15.1,37.6,26.6,13.0,0.0,6.1,20.7,17.1,79,97
3,Tobias Harris,Philadelphia 76ers,32:30,7,17,.412,0,2,.000,7,7,1.000,2,1,3,2,1,2,5,0,21,-1,32:30,.523,.412,.118,.412,6.3,3.0,4.6,11.1,1.4,4.2,19.9,30.8,95,105
4,Tyrese Maxey,Philadelphia 76ers,24:36,5,13,.385,0,4,.000,2,2,1.000,2,1,3,0,0,0,0,1,12,+2,24:36,.432,.385,.308,.154,8.3,4.0,6.1,0.0,0.0,0.0,0.0,22.6,103,111
6,Shake Milton,Philadelphia 76ers,32:31,10,18,.556,2,5,.400,6,7,.857,1,2,3,4,2,0,5,2,28,-2,32:31,.664,.611,.278,.389,3.1,6.0,4.6,26.6,2.9,0.0,19.2,32.1,113,104
7,Matisse Thybulle,Philadelphia 76ers,19:38,3,5,.600,2,4,.500,0,0,0,0,5,5,1,1,2,0,2,8,-2,19:38,.800,.800,.800,.000,0.0,24.9,12.7,8.2,2.4,7.0,0.0,10.2,164,94
8,Isaiah Joe,Philadelphia 76ers,15:42,2,4,.500,2,3,.667,0,0,0,0,0,0,1,0,0,1,2,6,-12,15:42,.750,.750,.750,.000,0.0,0.0,0.0,9.9,0.0,0.0,20.0,12.7,118,112
9,Tony Bradley,Philadelphia 76ers,9:07,1,3,.333,0,0,0,0,0,0,1,1,2,0,1,0,0,2,2,-7,9:07,.333,.333,.000,.000,11.2,10.7,11.0,0.0,5.1,0.0,0.0,13.2,90,97
10,Paul Reed,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
