,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Julius Randle,New York Knicks,31:03,7,14,.500,2,5,.400,4,5,.800,0,12,12,4,3,0,3,2,20,+29,31:03,.617,.571,.357,.357,0.0,32.5,19.3,22.8,4.9,0.0,15.6,28.2,113,65
1,RJ Barrett,New York Knicks,29:14,5,11,.455,2,4,.500,7,8,.875,4,7,11,3,2,0,4,3,19,+32,29:14,.654,.545,.364,.727,16.8,20.2,18.8,16.5,3.5,0.0,21.6,28.9,119,75
2,Reggie Bullock,New York Knicks,28:10,4,9,.444,3,8,.375,0,0,0,1,6,7,0,1,0,1,2,11,+36,28:10,.611,.611,.889,.000,4.4,17.9,12.4,0.0,1.8,0.0,10.0,16.2,112,80
3,Mitchell Robinson,New York Knicks,24:13,4,5,.800,0,0,0,0,0,0,4,3,7,0,0,2,1,4,8,+28,24:13,.800,.800,.000,.000,20.3,10.4,14.5,0.0,0.0,10.4,16.7,11.3,145,83
4,Elfrid Payton,New York Knicks,23:10,3,9,.333,0,1,.000,3,3,1.000,1,3,4,3,1,1,2,2,9,+15,23:10,.436,.333,.111,.333,5.3,10.9,8.6,19.6,2.2,5.5,16.2,24.3,94,81
6,Nerlens Noel,New York Knicks,23:47,2,3,.667,0,0,0,1,2,.500,0,4,4,0,2,2,0,4,5,+2,23:47,.644,.667,.000,.667,0.0,14.2,8.4,0.0,4.2,10.6,0.0,7.4,131,72
7,Immanuel Quickley,New York Knicks,21:06,7,12,.583,2,4,.500,1,1,1.000,0,0,0,8,1,1,2,4,17,+20,21:06,.683,.667,.333,.083,0.0,0.0,0.0,82.4,2.4,6.0,13.9,31.2,137,86
8,Obi Toppin,New York Knicks,16:57,5,8,.625,2,4,.500,0,0,0,0,5,5,0,1,1,1,0,12,+1,16:57,.750,.750,.500,.000,0.0,24.8,14.7,0.0,3.0,7.5,11.1,24.2,121,71
9,Austin Rivers,New York Knicks,16:19,0,3,.000,0,1,.000,0,0,0,0,1,1,2,0,0,1,2,0,0,16:19,.000,.000,.333,.000,0.0,5.2,3.1,15.5,0.0,0.0,25.0,11.2,33,90
10,Kevin Knox,New York Knicks,15:29,1,3,.333,1,2,.500,0,0,0,0,2,2,1,0,0,0,3,3,+3,15:29,.500,.500,.667,.000,0.0,10.9,6.5,8.9,0.0,0.0,0.0,8.8,119,87
11,Dennis Smith Jr.,New York Knicks,3:44,0,2,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-5,3:44,.174,.000,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,42,94
