,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Isaac Okoro,Cleveland Cavaliers,29:19,1,6,.167,0,2,.000,4,6,.667,0,1,1,0,3,1,2,1,6,-39,29:19,.347,.167,.333,1.000,0.0,4.5,1.8,0.0,4.7,2.5,18.8,14.9,61,132
1,Andre Drummond,Cleveland Cavaliers,17:45,4,9,.444,0,0,0,3,6,.500,3,2,5,0,0,2,3,3,11,-29,17:45,.473,.444,.000,.667,15.3,15.0,15.2,0.0,0.0,8.3,20.5,33.8,82,137
2,Cedi Osman,Cleveland Cavaliers,17:43,4,10,.400,4,7,.571,0,0,0,1,1,2,0,0,0,2,4,12,-37,17:43,.600,.600,.700,.000,5.1,7.5,6.1,0.0,0.0,0.0,16.7,27.8,90,144
3,Collin Sexton,Cleveland Cavaliers,16:11,3,8,.375,0,1,.000,7,7,1.000,1,1,2,2,0,0,6,2,13,-14,16:11,.587,.375,.125,.875,5.6,8.2,6.7,23.6,0.0,0.0,35.1,43.3,83,143
4,Larry Nance Jr.,Cleveland Cavaliers,12:36,1,2,.500,0,1,.000,0,0,0,1,2,3,1,0,0,0,3,2,-20,12:36,.500,.500,.500,.000,7.2,21.2,12.8,12.6,0.0,0.0,0.0,6.5,130,140
6,Damyean Dotson,Cleveland Cavaliers,27:45,4,9,.444,3,6,.500,1,1,1.000,0,1,1,3,2,0,1,1,12,-6,27:45,.636,.611,.667,.111,0.0,4.8,1.9,19.2,3.3,0.0,9.6,15.4,118,137
7,Jarrett Allen,Cleveland Cavaliers,25:48,5,7,.714,0,0,0,2,2,1.000,3,4,7,2,0,1,0,2,12,-9,25:48,.761,.714,.000,.286,10.5,20.7,14.6,15.1,0.0,2.9,0.0,12.5,165,139
8,Dylan Windler,Cleveland Cavaliers,25:44,3,6,.500,1,4,.250,4,4,1.000,2,2,4,3,1,0,0,1,11,-2,25:44,.709,.583,.667,.667,7.0,10.4,8.4,19.7,1.8,0.0,0.0,12.4,161,139
9,Darius Garland,Cleveland Cavaliers,23:07,1,9,.111,0,6,.000,2,2,1.000,0,2,2,5,0,1,2,1,4,-15,23:07,.202,.111,.667,.222,0.0,11.5,4.7,32.5,0.0,3.2,16.8,21.1,58,141
10,Taurean Prince,Cleveland Cavaliers,21:20,3,9,.333,2,5,.400,1,2,.500,0,1,1,5,3,1,1,3,9,+2,21:20,.455,.444,.556,.222,0.0,6.3,2.5,41.3,6.5,3.5,9.2,20.9,99,127
11,JaVale McGee,Cleveland Cavaliers,15:10,5,10,.500,0,1,.000,1,4,.250,0,6,6,1,1,2,0,2,11,-10,15:10,.468,.500,.100,.400,0.0,52.7,21.3,17.4,3.1,9.7,0.0,31.8,93,120
12,Dean Wade,Cleveland Cavaliers,7:32,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-11,7:32,0,0,0,0,0.0,0.0,0.0,37.5,0.0,0.0,0,0.0,229,146
13,Team Totals,Cleveland Cavaliers,240,34,85,.400,10,33,.303,25,34,.735,11,23,34,24,10,8,17,23,103,0,240,.515,.459,.388,.400,20.8,63.9,38.2,70.6,9.7,12.3,14.5,100.0,99.4,136.1
0,Marcus Smart,Boston Celtics,27:13,5,8,.625,1,2,.500,1,2,.500,0,0,0,9,5,1,2,0,12,+30,27:13,.676,.688,.250,.250,0.0,0.0,0.0,36.8,8.5,3.4,18.4,16.0,141,91
1,Daniel Theis,Boston Celtics,24:01,4,6,.667,1,3,.333,8,8,1.000,1,5,6,1,2,2,0,3,17,+33,24:01,.893,.750,.500,1.333,5.6,18.9,13.5,4.5,3.9,7.7,0.0,15.9,199,93
2,Kemba Walker,Boston Celtics,23:48,7,12,.583,3,5,.600,4,4,1.000,0,5,5,4,3,0,0,3,21,+30,23:48,.763,.708,.417,.333,0.0,19.0,11.3,21.3,5.8,0.0,0.0,23.1,175,93
3,Tristan Thompson,Boston Celtics,22:26,2,7,.286,0,0,0,1,2,.500,3,9,12,1,0,0,0,3,5,+31,22:26,.317,.286,.000,.286,17.8,36.3,28.8,4.5,0.0,0.0,0.0,14.1,108,100
4,Jaylen Brown,Boston Celtics,19:14,13,20,.650,3,4,.750,4,4,1.000,0,3,3,1,2,0,1,3,33,+31,19:14,.758,.725,.200,.200,0.0,14.1,8.4,12.8,4.8,0.0,4.4,47.4,150,97
6,Carsen Edwards,Boston Celtics,19:22,7,12,.583,2,6,.333,2,3,.667,1,4,5,1,1,0,1,2,18,+5,19:22,.676,.667,.500,.250,6.9,18.7,13.9,7.2,2.4,0.0,7.0,29.6,137,101
7,Semi Ojeleye,Boston Celtics,17:20,2,4,.500,1,1,1.000,1,2,.500,0,1,1,1,0,0,0,1,6,+8,17:20,.615,.625,.250,.500,0.0,5.2,3.1,6.0,0.0,0.0,0.0,11.3,143,110
8,Aaron Nesmith,Boston Celtics,16:39,4,6,.667,3,5,.600,0,0,0,2,4,6,1,0,0,0,2,11,+5,16:39,.917,.917,.833,.000,16.0,21.8,19.4,7.1,0.0,0.0,0.0,14.4,197,105
