,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Nikola Jokić,Denver Nuggets,38:43,14,24,.583,5,11,.455,2,4,.500,1,9,10,5,1,1,4,3,35,-9,38:43,.679,.688,.458,.167,3.2,28.6,15.9,26.2,1.3,2.1,13.4,36.2,119,124
1,Jamal Murray,Denver Nuggets,35:13,9,14,.643,2,4,.500,0,0,0,1,5,6,7,2,1,1,2,20,-9,35:13,.714,.714,.286,.000,3.5,17.5,10.5,33.2,2.9,2.4,6.7,20.1,146,123
2,Gary Harris,Denver Nuggets,33:41,3,7,.429,2,5,.400,3,4,.750,0,3,3,1,2,0,1,1,11,0,33:41,.628,.571,.714,.571,0.0,11.0,5.5,3.9,3.0,0.0,10.2,13.7,116,126
3,Will Barton,Denver Nuggets,30:04,4,9,.444,1,2,.500,0,0,0,1,0,1,2,0,0,1,3,9,0,30:04,.500,.500,.222,.000,4.1,0.0,2.0,9.2,0.0,0.0,10.0,15.7,102,134
4,Paul Millsap,Denver Nuggets,22:47,1,2,.500,0,1,.000,6,8,.750,1,4,5,2,0,1,0,1,8,+7,22:47,.725,.500,.500,4.000,5.4,21.6,13.5,10.8,0.0,3.6,0.0,11.4,170,127
6,Monte Morris,Denver Nuggets,23:09,4,10,.400,1,5,.200,1,2,.500,0,0,0,3,0,0,1,1,10,-15,23:09,.460,.450,.500,.200,0.0,0.0,0.0,19.0,0.0,0.0,8.4,24.2,97,134
7,JaMychal Green,Denver Nuggets,19:58,1,2,.500,1,1,1.000,0,0,0,1,6,7,1,1,0,1,3,3,-16,19:58,.750,.750,.500,.000,6.2,37.0,21.6,6.2,2.6,0.0,33.3,7.1,116,122
8,Michael Porter Jr.,Denver Nuggets,18:52,3,5,.600,2,2,1.000,1,2,.500,1,3,4,0,0,2,3,1,9,-16,18:52,.765,.800,.400,.400,6.5,19.6,13.0,0.0,0.0,8.8,33.8,22.2,92,123
9,Facundo Campazzo,Denver Nuggets,10:09,0,1,.000,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,-1,10:09,.000,.000,.000,.000,0.0,0.0,0.0,34.6,10.1,0.0,66.7,13.9,56,112
10,Isaiah Hartenstein,Denver Nuggets,5:08,1,3,.333,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,+1,5:08,.333,.333,.000,.000,24.0,0.0,12.0,29.5,0.0,0.0,25.0,36.7,79,134
11,R.J. Hampton,Denver Nuggets,0:34,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,+2,0:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,134
12,Vlatko Čančar,Denver Nuggets,0:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0:34,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.2,200,134
13,Markus Howard,Denver Nuggets,0:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,134
14,Zeke Nnaji,Denver Nuggets,0:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,134
15,Bol Bol,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Denver Nuggets,240,41,78,.526,14,31,.452,13,20,.650,7,30,37,25,8,5,15,15,109,0,240,.628,.615,.397,.256,17.9,76.9,47.4,61.0,8.5,8.6,14.7,100.0,115.9,126.5
0,DeMar DeRozan,San Antonio Spurs,36:11,11,14,.786,1,2,.500,7,7,1.000,0,1,1,10,0,0,1,2,30,+9,36:11,.878,.821,.143,.500,0.0,3.4,1.7,45.1,0.0,0.0,5.5,23.0,177,122
1,Keldon Johnson,San Antonio Spurs,32:17,9,14,.643,1,2,.500,0,0,0,4,5,9,3,1,1,1,0,19,+2,32:17,.679,.679,.143,.000,15.2,19.1,17.2,14.6,1.6,3.2,6.7,21.4,139,114
2,Dejounte Murray,San Antonio Spurs,32:13,10,19,.526,1,3,.333,5,7,.714,2,5,7,3,1,0,2,5,26,+10,32:13,.589,.553,.158,.368,7.6,19.1,13.4,15.4,1.6,0.0,8.3,34.4,117,115
3,Lonnie Walker IV,San Antonio Spurs,28:34,1,5,.200,1,2,.500,0,0,0,0,5,5,3,0,0,4,2,3,+4,28:34,.300,.300,.400,.000,0.0,21.5,10.8,11.9,0.0,0.0,44.4,14.5,51,119
4,LaMarcus Aldridge,San Antonio Spurs,22:14,1,3,.333,1,1,1.000,2,2,1.000,0,3,3,3,0,0,0,1,5,+1,22:14,.644,.500,.333,.667,0.0,16.6,8.3,15.5,0.0,0.0,0.0,8.0,157,120
6,Patty Mills,San Antonio Spurs,27:39,4,9,.444,4,8,.500,5,5,1.000,0,2,2,1,3,0,0,3,17,+9,27:39,.759,.667,.889,.556,0.0,8.9,4.5,4.7,5.5,0.0,0.0,18.6,157,108
7,Jakob Poeltl,San Antonio Spurs,25:12,2,4,.500,0,0,0,0,2,.000,3,3,6,1,1,0,0,2,4,+11,25:12,.410,.500,.000,.500,14.7,14.7,14.7,4.7,2.0,0.0,0.0,8.9,120,116
8,Devin Vassell,San Antonio Spurs,17:39,3,4,.750,1,2,.500,2,3,.667,0,2,2,0,1,0,0,1,9,+2,17:39,.846,.875,.500,.750,0.0,13.9,7.0,0.0,2.9,0.0,0.0,13.9,165,114
9,Rudy Gay,San Antonio Spurs,16:19,3,9,.333,0,3,.000,0,0,0,0,6,6,5,1,0,3,2,6,+8,16:19,.333,.333,.333,.000,0.0,45.3,22.6,41.8,3.1,0.0,25.0,33.8,73,108
10,Keita Bates-Diop,San Antonio Spurs,0:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,123
11,Tre Jones,San Antonio Spurs,0:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,123
12,Quinndary Weatherspoon,San Antonio Spurs,0:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0:34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,81.1,0,123
13,Drew Eubanks,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Trey Lyles,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,San Antonio Spurs,240,44,81,.543,10,23,.435,21,26,.808,9,32,41,29,8,1,12,18,119,0,240,.644,.605,.284,.321,23.1,82.1,52.6,65.9,8.5,2.1,11.5,100.0,126.5,115.9
