,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Ben Simmons,Philadelphia 76ers,34:45,9,12,.750,0,0,0,3,6,.500,1,5,6,7,4,2,3,2,21,+4,34:45,.717,.750,.000,.500,3.0,17.7,9.8,29.7,5.5,4.9,17.0,20.7,131,100
1,Tobias Harris,Philadelphia 76ers,30:30,10,19,.526,2,5,.400,5,5,1.000,1,7,8,0,0,1,3,4,27,+10,30:30,.637,.579,.263,.263,3.4,28.2,14.8,0.0,0.0,2.8,12.4,32.4,117,112
2,Seth Curry,Philadelphia 76ers,24:51,3,9,.333,1,4,.250,2,2,1.000,0,0,0,1,1,0,1,0,9,-13,24:51,.455,.389,.444,.222,0.0,0.0,0.0,4.9,1.9,0.0,9.2,17.9,96,115
3,Danny Green,Philadelphia 76ers,21:57,3,8,.375,0,4,.000,0,0,0,2,3,5,2,0,1,1,1,6,-6,21:57,.375,.375,.500,.000,9.5,16.8,12.9,11.4,0.0,3.9,11.1,16.7,94,113
4,Tony Bradley,Philadelphia 76ers,17:02,1,2,.500,0,0,0,0,0,0,1,3,4,2,0,0,0,3,2,-16,17:02,.500,.500,.000,.000,6.1,21.7,13.3,13.4,0.0,0.0,0.0,4.8,147,115
6,Matisse Thybulle,Philadelphia 76ers,25:27,3,7,.429,1,4,.250,1,1,1.000,1,0,1,1,4,2,0,2,8,+14,25:27,.538,.500,.571,.143,4.1,0.0,2.2,4.8,7.5,6.7,0.0,11.9,129,98
7,Dwight Howard,Philadelphia 76ers,25:16,3,6,.500,0,0,0,5,12,.417,7,8,15,0,0,2,2,3,11,+23,25:16,.488,.500,.000,2.000,28.9,39.0,33.5,0.0,0.0,6.8,15.1,21.4,108,107
8,Furkan Korkmaz,Philadelphia 76ers,22:57,6,12,.500,3,5,.600,2,2,1.000,0,3,3,2,0,0,1,3,17,+26,22:57,.660,.625,.417,.167,0.0,16.1,7.4,12.9,0.0,0.0,7.2,24.7,133,116
9,Shake Milton,Philadelphia 76ers,19:01,4,9,.444,0,1,.000,1,1,1.000,1,0,1,2,0,0,1,3,9,-1,19:01,.477,.444,.111,.111,5.5,0.0,3.0,14.5,0.0,0.0,9.6,22.4,105,120
10,Tyrese Maxey,Philadelphia 76ers,18:14,3,8,.375,1,3,.333,2,2,1.000,0,1,1,3,0,0,0,0,9,+4,18:14,.507,.438,.375,.250,0.0,6.8,3.1,21.3,0.0,0.0,0.0,19.9,127,118
11,Joel Embiid,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Isaiah Joe,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Vincent Poirier,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Mike Scott,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Philadelphia 76ers,240,45,92,.489,8,26,.308,21,31,.677,14,30,44,20,9,8,12,21,119,0,240,.563,.533,.283,.337,30.4,76.9,51.8,44.4,9.0,14.3,10.2,100.0,118.8,109.8
0,Malcolm Brogdon,Indiana Pacers,37:40,10,21,.476,4,10,.400,1,2,.500,0,5,5,4,1,1,1,2,25,-4,37:40,.571,.571,.476,.095,0.0,13.9,7.5,18.0,1.3,1.9,4.4,26.3,118,119
1,Domantas Sabonis,Indiana Pacers,36:55,8,17,.471,0,5,.000,5,5,1.000,1,7,8,3,0,0,6,2,21,-5,36:55,.547,.471,.294,.294,3.3,19.8,12.2,12.7,0.0,0.0,23.8,29.6,92,121
2,Justin Holiday,Indiana Pacers,36:03,2,7,.286,1,4,.250,1,1,1.000,0,5,5,0,3,0,0,1,6,-5,36:03,.403,.357,.571,.143,0.0,14.5,7.8,0.0,4.0,0.0,0.0,9.0,88,114
3,Jeremy Lamb,Indiana Pacers,30:28,4,6,.667,2,3,.667,2,2,1.000,1,4,5,3,0,3,2,2,12,-6,30:28,.872,.833,.500,.333,4.0,13.7,9.3,13.6,0.0,7.2,22.5,12.6,141,118
4,Myles Turner,Indiana Pacers,29:22,1,6,.167,1,4,.250,6,6,1.000,1,4,5,1,1,1,0,6,9,-5,29:22,.521,.250,.667,1.000,4.2,14.2,9.6,4.2,1.6,2.5,0.0,12.8,128,117
6,T.J. McConnell,Indiana Pacers,25:41,4,9,.444,0,0,0,1,2,.500,0,4,4,8,1,0,6,2,9,-11,25:41,.455,.444,.000,.222,0.0,16.3,8.8,44.6,1.9,0.0,37.8,26.8,79,118
7,Doug McDermott,Indiana Pacers,21:03,4,6,.667,0,0,0,0,0,0,4,1,5,1,0,1,0,6,8,-4,21:03,.667,.667,.000,.000,23.4,5.0,13.4,7.2,0.0,3.5,0.0,12.4,157,122
8,Aaron Holiday,Indiana Pacers,16:59,7,11,.636,2,2,1.000,1,2,.500,1,2,3,1,0,0,1,2,17,-2,16:59,.715,.727,.182,.182,7.2,12.3,10.0,13.3,0.0,0.0,7.8,32.9,130,123
9,Goga Bitadze,Indiana Pacers,5:43,1,1,1.000,0,0,0,1,2,.500,1,0,1,0,0,1,1,2,3,-1,5:43,.798,1.000,.000,2.000,21.5,0.0,9.9,0.0,0.0,12.7,34.7,21.8,108,117
10,Edmond Sumner,Indiana Pacers,0:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0:06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,127
11,Kelan Martin,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,JaKarr Sampson,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Indiana Pacers,240,41,84,.488,10,28,.357,18,22,.818,9,32,41,21,6,7,17,25,110,0,240,.587,.548,.333,.262,23.1,69.6,48.2,51.2,6.0,10.6,15.4,100.0,109.8,118.8
