,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jerami Grant,Detroit Pistons,38:27,9,18,.500,2,5,.400,7,8,.875,0,4,4,4,0,3,1,4,27,-6,38:27,.627,.556,.278,.444,0.0,11.9,5.5,18.0,0.0,9.4,4.4,24.1,132,118
1,Delon Wright,Detroit Pistons,31:51,4,13,.308,0,3,.000,0,0,0,0,5,5,1,4,0,2,1,8,-14,31:51,.308,.308,.231,.000,0.0,17.9,8.4,4.6,6.1,0.0,13.3,19.4,60,108
2,Blake Griffin,Detroit Pistons,29:24,4,13,.308,1,6,.167,2,3,.667,0,3,3,2,1,0,3,0,11,-16,29:24,.384,.346,.462,.231,0.0,11.7,5.4,10.1,1.6,0.0,17.3,24.2,72,120
3,Mason Plumlee,Detroit Pistons,28:16,7,11,.636,0,0,0,3,3,1.000,6,8,14,2,1,0,0,2,17,-19,28:16,.690,.636,.000,.273,21.2,32.3,26.4,12.5,1.7,0.0,0.0,17.9,159,115
4,Wayne Ellington,Detroit Pistons,18:09,1,7,.143,0,2,.000,1,1,1.000,1,1,2,1,0,0,1,2,3,-20,18:09,.202,.143,.286,.143,5.5,6.3,5.9,7.3,0.0,0.0,11.8,19.1,54,125
6,Josh Jackson,Detroit Pistons,29:51,7,15,.467,3,7,.429,5,5,1.000,3,5,8,2,0,2,6,3,22,+8,29:51,.640,.567,.467,.333,10.1,19.1,14.3,11.6,0.0,8.0,25.9,31.9,102,117
7,Isaiah Stewart,Detroit Pistons,19:44,2,3,.667,0,0,0,0,0,0,2,3,5,1,0,0,0,2,4,+7,19:44,.667,.667,.000,.000,10.1,17.4,13.5,7.1,0.0,0.0,0.0,6.2,158,123
8,Rodney McGruder,Detroit Pistons,16:09,2,5,.400,1,1,1.000,0,0,0,0,2,2,3,0,0,1,3,5,+2,16:09,.500,.500,.200,.000,0.0,14.2,6.6,27.0,0.0,0.0,16.7,15.3,103,123
9,Sekou Doumbouya,Detroit Pistons,12:07,0,1,.000,0,0,0,0,0,0,0,1,1,2,1,0,1,2,0,-2,12:07,.000,.000,.000,.000,0.0,9.4,4.4,20.3,4.0,0.0,50.0,6.8,45,115
10,Saddiq Bey,Detroit Pistons,10:49,2,6,.333,1,2,.500,0,0,0,0,1,1,0,0,0,0,1,5,+9,10:49,.417,.417,.333,.000,0.0,10.6,4.9,0.0,0.0,0.0,0.0,22.8,90,124
11,Svi Mykhailiuk,Detroit Pistons,5:12,1,1,1.000,1,1,1.000,0,0,0,0,1,1,0,0,0,0,1,3,-9,5:12,1.500,1.500,1.000,.000,0.0,22.0,10.3,0.0,0.0,0.0,0.0,7.9,300,122
12,Derrick Rose,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Frank Jackson,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Deividas Sirvydis,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Detroit Pistons,240,39,93,.419,9,27,.333,18,20,.900,12,34,46,18,7,5,15,21,105,0,240,.516,.468,.290,.215,25.0,81.0,51.1,46.2,7.0,12.5,12.8,100.0,105.4,117.5
0,Donovan Mitchell,Utah Jazz,34:37,10,17,.588,4,7,.571,8,11,.727,1,5,6,1,1,0,1,0,32,+23,34:37,.733,.706,.412,.647,3.3,14.4,9.2,5.7,1.4,0.0,4.4,29.4,141,108
1,Royce O'Neale,Utah Jazz,33:48,5,11,.455,2,6,.333,0,0,0,2,11,13,3,3,1,2,3,12,+17,33:48,.545,.545,.545,.000,6.8,32.5,20.5,13.8,4.3,2.2,15.4,17.1,107,94
2,Bojan Bogdanović,Utah Jazz,32:23,5,12,.417,4,8,.500,4,4,1.000,0,3,3,3,1,0,1,2,18,+24,32:23,.654,.583,.667,.333,0.0,9.3,4.9,14.5,1.5,0.0,6.8,20.3,129,109
3,Mike Conley,Utah Jazz,32:10,7,15,.467,2,6,.333,4,4,1.000,1,3,4,5,1,0,2,0,20,-9,32:10,.597,.533,.400,.267,3.6,9.3,6.6,27.1,1.5,0.0,10.7,26.0,121,109
4,Rudy Gobert,Utah Jazz,29:29,2,4,.500,0,0,0,5,6,.833,1,6,7,2,0,3,3,3,9,-7,29:29,.678,.500,.000,1.500,3.9,20.4,12.7,9.4,0.0,7.4,31.1,14.6,108,104
6,Joe Ingles,Utah Jazz,24:02,1,5,.200,1,4,.250,2,2,1.000,1,2,3,6,1,0,2,2,5,+4,24:02,.425,.300,.800,.400,4.8,8.3,6.7,33.3,2.0,0.0,25.4,14.6,106,109
7,Jordan Clarkson,Utah Jazz,21:45,5,10,.500,2,6,.333,0,0,0,0,0,0,1,0,0,2,1,12,0,21:45,.600,.600,.600,.000,0.0,0.0,0.0,8.2,0.0,0.0,16.7,24.6,96,116
8,Derrick Favors,Utah Jazz,18:31,2,4,.500,0,1,.000,2,2,1.000,1,5,6,1,1,2,0,4,6,+19,18:31,.615,.500,.250,.500,6.2,27.0,17.3,7.9,2.6,7.9,0.0,11.7,144,95
9,Georges Niang,Utah Jazz,13:15,1,4,.250,1,4,.250,0,0,0,1,1,2,1,1,0,0,2,3,-11,13:15,.375,.375,1.000,.000,8.6,7.5,8.1,10.5,3.6,0.0,0.0,13.4,104,105
10,Miye Oni,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shaquille Harrison,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Juwan Morgan,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jarrell Brantley,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Utah Jazz,240,38,82,.463,16,42,.381,25,29,.862,8,36,44,23,9,6,13,17,117,0,240,.617,.561,.512,.354,19.0,75.0,48.9,60.5,9.0,9.1,12.1,100.0,117.5,105.4
