,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,P.J. Tucker,Houston Rockets,33:37,1,8,.125,1,7,.143,0,0,0,2,6,8,2,1,0,1,2,3,+18,33:37,.188,.188,.875,.000,7.1,18.2,13.1,7.2,1.5,0.0,11.1,11.8,66,106
1,Eric Gordon,Houston Rockets,32:39,7,18,.389,2,7,.286,4,5,.800,0,5,5,2,1,0,1,2,20,+14,32:39,.495,.444,.389,.278,0.0,15.6,8.4,9.6,1.5,0.0,4.7,28.7,102,107
2,Jae'Sean Tate,Houston Rockets,31:09,7,9,.778,2,3,.667,3,3,1.000,2,5,7,2,1,2,1,4,19,+30,31:09,.921,.889,.333,.333,7.7,16.4,12.4,10.2,1.6,5.9,8.8,16.1,171,102
3,John Wall,Houston Rockets,27:55,6,17,.353,4,9,.444,6,6,1.000,0,1,1,8,0,0,7,0,22,+34,27:55,.560,.471,.529,.353,0.0,3.7,2.0,44.8,0.0,0.0,26.3,42.2,98,114
4,Christian Wood,Houston Rockets,20:11,7,10,.700,3,3,1.000,0,0,0,1,6,7,1,1,1,0,0,17,+21,20:11,.850,.850,.300,.000,5.9,30.4,19.1,9.8,2.4,4.6,0.0,21.9,163,98
6,Danuel House Jr.,Houston Rockets,31:34,5,9,.556,3,5,.600,0,1,.000,0,2,2,5,3,0,0,3,13,-14,31:34,.689,.722,.556,.111,0.0,6.5,3.5,22.8,4.7,0.0,0.0,13.2,151,103
7,Sterling Brown,Houston Rockets,27:22,4,6,.667,1,3,.333,0,0,0,2,5,7,3,1,0,2,2,9,-11,27:22,.750,.750,.500,.000,8.8,18.7,14.1,15.5,1.8,0.0,25.0,12.9,128,105
8,DeMarcus Cousins,Houston Rockets,15:30,2,5,.400,1,3,.333,0,0,0,1,5,6,3,0,0,1,4,5,-4,15:30,.500,.500,.600,.000,7.7,32.9,21.4,26.7,0.0,0.0,16.7,17.1,113,104
9,Ben McLemore,Houston Rockets,8:00,1,3,.333,1,3,.333,0,0,0,0,1,1,0,0,0,0,0,3,-5,8:00,.500,.500,1.000,.000,0.0,12.8,6.9,0.0,0.0,0.0,0.0,16.6,99,112
10,Mason Jones,Houston Rockets,7:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-13,7:52,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.6,0,115
