,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Malik Beasley,Minnesota Timberwolves,34:20,10,21,.476,6,12,.500,4,6,.667,1,8,9,6,1,1,0,0,30,+8,34:20,.635,.619,.571,.286,3.1,25.4,14.1,29.9,1.4,2.6,0.0,29.4,135,122
1,Anthony Edwards,Minnesota Timberwolves,30:56,8,19,.421,3,8,.375,3,4,.750,0,2,2,4,2,2,1,2,22,-13,30:56,.530,.500,.421,.211,0.0,7.1,3.5,21.0,3.0,5.9,4.6,30.1,108,119
2,Josh Okogie,Minnesota Timberwolves,26:06,3,3,1.000,1,1,1.000,4,4,1.000,0,2,2,1,0,1,0,4,11,+20,26:06,1.155,1.167,.333,1.333,0.0,8.4,4.1,5.0,0.0,3.5,0.0,7.8,241,127
3,Naz Reid,Minnesota Timberwolves,20:59,3,12,.250,0,4,.000,0,0,0,0,2,2,2,1,0,1,5,6,+5,20:59,.250,.250,.333,.000,0.0,10.4,5.1,13.0,2.2,0.0,7.7,26.5,57,124
4,D'Angelo Russell,Minnesota Timberwolves,5:35,2,2,1.000,2,2,1.000,0,0,0,0,1,1,0,0,0,0,0,6,-3,5:35,1.500,1.500,1.000,.000,0.0,19.5,9.7,0.0,0.0,0.0,0.0,15.3,300,128
6,Ricky Rubio,Minnesota Timberwolves,33:49,3,9,.333,2,5,.400,1,2,.500,0,4,4,7,4,0,1,4,9,+10,33:49,.455,.444,.556,.222,0.0,12.9,6.4,26.3,5.5,0.0,9.2,13.7,109,117
7,Jarred Vanderbilt,Minnesota Timberwolves,21:35,2,5,.400,0,1,.000,1,2,.500,1,3,4,3,0,0,0,4,5,-7,21:35,.425,.400,.200,.400,4.9,15.2,10.0,17.8,0.0,0.0,0.0,11.6,117,128
8,Jaylen Nowell,Minnesota Timberwolves,20:51,6,9,.667,1,2,.500,5,6,.833,0,5,5,1,1,1,1,1,18,-13,20:51,.773,.722,.222,.667,0.0,26.2,12.9,8.2,2.2,4.3,7.9,25.9,140,118
9,Jaden McDaniels,Minnesota Timberwolves,19:49,2,3,.667,2,3,.667,0,0,0,0,5,5,1,0,0,2,3,6,-22,19:49,1.000,1.000,1.000,.000,0.0,27.5,13.6,6.5,0.0,0.0,40.0,10.8,101,126
10,Jake Layman,Minnesota Timberwolves,11:57,1,4,.250,0,2,.000,0,0,0,0,1,1,0,0,0,1,2,2,-15,11:57,.250,.250,.500,.000,0.0,9.1,4.5,0.0,0.0,0.0,20.0,17.9,40,130
11,Juancho Hernangómez,Minnesota Timberwolves,8:36,1,3,.333,1,2,.500,2,4,.500,3,1,4,1,0,0,1,1,5,+8,8:36,.525,.500,.667,1.333,37.2,12.7,25.1,15.3,0.0,0.0,17.4,28.6,119,129
12,Ed Davis,Minnesota Timberwolves,5:26,1,1,1.000,0,0,0,0,0,0,2,0,2,1,0,0,1,1,2,-3,5:26,1.000,1.000,.000,.000,39.3,0.0,19.9,26.6,0.0,0.0,50.0,15.7,140,132
13,Team Totals,Minnesota Timberwolves,240,42,91,.462,18,42,.429,20,28,.714,7,34,41,27,9,5,9,27,122,0,240,.590,.560,.462,.308,15.6,77.3,46.1,64.3,8.7,9.4,8.0,100.0,118.5,123.4
0,Luka Dončić,Dallas Mavericks,37:06,9,22,.409,1,7,.143,7,9,.778,0,8,8,5,1,0,7,4,26,+4,37:06,.501,.432,.318,.409,0.0,23.0,11.6,19.4,1.3,0.0,21.2,37.3,87,118
1,Josh Richardson,Dallas Mavericks,36:08,6,10,.600,1,4,.250,5,5,1.000,0,5,5,8,0,0,2,4,18,-11,36:08,.738,.650,.400,.500,0.0,14.8,7.5,28.7,0.0,0.0,14.1,16.5,143,123
2,Dorian Finney-Smith,Dallas Mavericks,32:45,3,4,.750,0,1,.000,1,1,1.000,2,5,7,3,1,1,1,1,7,-12,32:45,.788,.750,.250,.250,6.7,16.3,11.5,10.8,1.4,3.0,18.4,7.0,150,117
3,Kristaps Porziņģis,Dallas Mavericks,30:46,10,19,.526,4,7,.571,3,3,1.000,4,9,13,4,0,5,2,4,27,-4,30:46,.664,.632,.368,.158,14.2,31.2,22.8,21.2,0.0,15.9,9.0,30.5,131,108
4,Maxi Kleber,Dallas Mavericks,25:29,2,4,.500,1,2,.500,0,0,0,0,3,3,0,0,0,0,2,5,+13,25:29,.625,.625,.500,.000,0.0,12.6,6.3,0.0,0.0,0.0,0.0,6.6,121,123
6,Tim Hardaway Jr.,Dallas Mavericks,28:53,9,15,.600,4,9,.444,2,3,.667,0,1,1,1,1,0,0,1,24,+9,28:53,.735,.733,.600,.200,0.0,3.7,1.9,5.5,1.6,0.0,0.0,23.7,142,121
