,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Pascal Siakam,Toronto Raptors,39:02,11,18,.611,5,8,.625,5,7,.714,0,5,5,6,1,1,1,3,32,+11,39:02,.759,.750,.444,.389,0.0,12.5,7.8,25.9,1.3,2.6,4.5,26.5,154,123
1,Fred VanVleet,Toronto Raptors,38:38,8,14,.571,4,7,.571,12,12,1.000,0,3,3,9,3,0,5,3,32,+14,38:38,.830,.714,.500,.857,0.0,7.6,4.7,34.9,4.0,0.0,20.6,29.4,147,121
2,Norman Powell,Toronto Raptors,37:05,10,17,.588,6,9,.667,3,3,1.000,1,0,1,1,1,0,3,3,29,+14,37:05,.791,.765,.529,.176,4.3,0.0,1.6,4.5,1.4,0.0,14.1,26.9,131,131
3,Aron Baynes,Toronto Raptors,18:58,2,6,.333,1,3,.333,2,2,1.000,2,4,6,3,0,0,0,3,7,-5,18:58,.509,.417,.500,.333,16.9,20.7,19.2,20.6,0.0,0.0,0.0,17.0,145,123
4,Kyle Lowry,Toronto Raptors,7:42,2,2,1.000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,7:42,1.000,1.000,.000,.000,0.0,0.0,0.0,21.1,0.0,0.0,0.0,12.2,210,134
6,Chris Boucher,Toronto Raptors,29:02,4,11,.364,2,6,.333,2,2,1.000,1,9,10,2,1,1,1,4,12,+20,29:02,.505,.455,.545,.182,5.5,30.4,20.9,9.3,1.8,3.4,7.8,20.8,111,112
7,DeAndre' Bembry,Toronto Raptors,25:55,3,3,1.000,0,0,0,0,0,0,0,2,2,2,2,0,2,1,6,+13,25:55,1.000,1.000,.000,.000,0.0,7.6,4.7,10.2,4.0,0.0,40.0,9.0,118,121
8,Terence Davis,Toronto Raptors,16:56,1,3,.333,1,3,.333,0,0,0,0,2,2,2,2,0,1,3,3,+16,16:56,.500,.500,1.000,.000,0.0,11.6,7.2,14.5,6.1,0.0,25.0,11.1,101,114
9,Yuta Watanabe,Toronto Raptors,16:09,0,2,.000,0,0,0,0,0,0,3,4,7,1,1,0,0,0,0,+12,16:09,.000,.000,.000,.000,29.7,24.3,26.3,7.1,3.2,0.0,0.0,5.8,124,113
10,Stanley Johnson,Toronto Raptors,6:53,1,1,1.000,1,1,1.000,0,0,0,0,1,1,1,0,0,1,2,3,-7,6:53,1.500,1.500,1.000,.000,0.0,14.2,8.8,19.9,0.0,0.0,50.0,13.6,126,126
11,Paul Watson,Toronto Raptors,3:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,3:40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,134
12,Matt Thomas,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
