,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tobias Harris,Philadelphia 76ers,40:49,8,15,.533,2,5,.400,4,4,1.000,0,10,10,1,0,0,1,4,22,+4,40:49,.656,.600,.333,.267,0.0,21.4,12.0,3.7,0.0,0.0,5.6,17.8,130,106
1,Joel Embiid,Philadelphia 76ers,34:58,6,15,.400,0,2,.000,13,14,.929,4,13,17,6,2,2,4,3,25,+9,34:58,.591,.400,.133,.933,12.8,32.4,23.8,25.1,2.6,4.8,15.9,29.4,122,95
2,Ben Simmons,Philadelphia 76ers,34:23,6,13,.462,0,0,0,2,6,.333,3,4,7,9,1,0,2,1,14,+9,34:23,.448,.462,.000,.462,9.7,10.2,10.0,38.5,1.3,0.0,11.3,21.0,110,106
3,Seth Curry,Philadelphia 76ers,29:15,7,13,.538,4,6,.667,4,4,1.000,0,3,3,1,1,0,3,2,22,-2,29:15,.745,.692,.462,.308,0.0,9.0,5.0,5.6,1.6,0.0,16.9,24.8,122,106
4,Danny Green,Philadelphia 76ers,27:51,1,6,.167,0,3,.000,2,2,1.000,1,4,5,0,0,0,3,1,4,+1,27:51,.291,.167,.500,.333,4.0,12.5,8.8,0.0,0.0,0.0,30.4,14.5,51,109
6,Matisse Thybulle,Philadelphia 76ers,21:58,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,2,0,+6,21:58,0,0,0,0,0.0,7.9,4.5,5.3,0.0,3.8,0,0.0,222,106
7,Shake Milton,Philadelphia 76ers,20:39,5,11,.455,1,1,1.000,0,1,.000,1,2,3,2,0,0,3,3,11,+8,20:39,.481,.500,.091,.091,5.4,8.5,7.1,15.8,0.0,0.0,20.8,28.6,84,109
8,Furkan Korkmaz,Philadelphia 76ers,17:03,5,7,.714,2,3,.667,1,2,.500,0,3,3,0,0,0,0,2,13,+6,17:03,.825,.857,.429,.286,0.0,15.4,8.6,0.0,0.0,0.0,0.0,18.9,158,108
9,Dwight Howard,Philadelphia 76ers,13:02,3,5,.600,0,0,0,2,2,1.000,3,6,9,4,0,2,1,4,8,-1,13:02,.680,.600,.000,.400,25.7,40.2,33.8,49.2,0.0,12.9,14.5,21.6,147,91
10,Terrance Ferguson,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Isaiah Joe,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Tony Bradley,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
