,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Isaac Okoro,Cleveland Cavaliers,29:57,5,12,.417,0,3,.000,0,0,0,1,0,1,2,0,0,1,4,10,-22,29:57,.417,.417,.250,.000,3.0,0.0,1.8,11.5,0.0,0.0,7.7,17.4,91,140
1,Collin Sexton,Cleveland Cavaliers,28:54,1,9,.111,0,2,.000,2,3,.667,1,2,3,8,1,0,3,2,4,-27,28:54,.194,.111,.222,.333,3.1,9.5,5.7,38.7,1.7,0.0,22.5,18.5,65,136
2,Darius Garland,Cleveland Cavaliers,26:24,3,6,.500,1,3,.333,0,0,0,0,1,1,5,1,0,1,3,7,-28,26:24,.583,.583,.500,.000,0.0,5.2,2.1,29.8,1.8,0.0,14.3,10.6,121,136
3,Jarrett Allen,Cleveland Cavaliers,25:45,7,11,.636,0,1,.000,4,5,.800,4,6,10,2,0,1,2,0,18,-25,25:45,.682,.636,.091,.455,14.1,32.0,21.2,16.2,0.0,3.8,13.2,23.7,128,136
4,Andre Drummond,Cleveland Cavaliers,16:14,2,7,.286,0,0,0,0,0,0,4,2,6,1,1,0,4,1,4,-28,16:14,.286,.286,.000,.000,22.3,16.9,20.2,9.8,3.0,0.0,36.4,27.1,55,133
6,Taurean Prince,Cleveland Cavaliers,24:24,4,10,.400,3,5,.600,1,2,.500,2,4,6,1,1,1,0,3,12,-14,24:24,.551,.550,.500,.200,7.4,22.5,13.4,7.0,2.0,4.0,0.0,17.9,126,131
7,Cedi Osman,Cleveland Cavaliers,21:50,1,5,.200,0,4,.000,0,0,0,0,2,2,1,1,0,0,0,2,-16,21:50,.200,.200,.800,.000,0.0,12.6,5.0,6.5,2.2,0.0,0.0,9.2,60,135
8,Dylan Windler,Cleveland Cavaliers,17:01,3,7,.429,1,5,.200,4,4,1.000,3,5,8,1,0,1,2,3,11,-7,17:01,.628,.500,.714,.571,16.0,40.3,25.6,10.2,0.0,5.8,18.6,25.3,117,133
9,Lamar Stevens,Cleveland Cavaliers,16:52,1,9,.111,0,4,.000,1,2,.500,0,3,3,2,2,0,3,0,3,-9,16:52,.152,.111,.444,.222,0.0,24.4,9.7,17.2,5.7,0.0,23.3,30.6,36,127
10,Damyean Dotson,Cleveland Cavaliers,14:28,3,8,.375,1,5,.200,1,2,.500,1,2,3,1,0,0,0,0,8,-7,14:28,.450,.438,.625,.250,6.3,19.0,11.3,12.7,0.0,0.0,0.0,24.6,107,140
11,JaVale McGee,Cleveland Cavaliers,10:31,3,5,.600,0,1,.000,2,2,1.000,2,2,4,1,0,3,0,1,8,-4,10:31,.680,.600,.200,.400,17.2,26.1,20.7,20.5,0.0,27.9,0.0,22.4,155,114
12,Dean Wade,Cleveland Cavaliers,7:40,3,5,.600,2,4,.500,0,0,0,0,2,2,0,0,1,1,1,8,-3,7:40,.800,.800,.800,.000,0.0,35.8,14.2,0.0,0.0,12.8,16.7,31.4,114,127
13,Team Totals,Cleveland Cavaliers,240,36,94,.383,8,37,.216,15,20,.750,18,31,49,25,7,7,17,18,95,0,240,.462,.426,.394,.213,34.0,88.6,55.7,69.4,7.1,14.3,14.2,100.0,95.9,134.2
0,Nikola Jokić,Denver Nuggets,29:50,5,7,.714,0,0,0,2,2,1.000,1,5,6,12,2,0,2,3,12,+32,29:50,.761,.714,.000,.286,4.6,15.2,11.0,44.9,3.2,0.0,20.2,15.1,158,95
1,Michael Porter Jr.,Denver Nuggets,27:38,6,10,.600,4,7,.571,3,4,.750,0,5,5,2,2,2,0,1,19,+28,27:38,.808,.800,.700,.400,0.0,16.4,9.9,8.6,3.5,6.1,0.0,19.4,158,91
2,Will Barton,Denver Nuggets,26:47,7,10,.700,2,3,.667,0,1,.000,0,2,2,0,0,0,2,2,16,+29,26:47,.766,.800,.300,.100,0.0,6.8,4.1,0.0,0.0,0.0,16.1,21.2,111,107
3,Paul Millsap,Denver Nuggets,26:40,7,8,.875,2,3,.667,6,7,.857,0,4,4,3,2,1,1,2,22,+22,26:40,.993,1.000,.375,.875,0.0,13.6,8.2,14.1,3.6,3.2,8.3,20.7,183,94
4,Jamal Murray,Denver Nuggets,25:15,3,6,.500,0,0,0,2,4,.500,0,4,4,4,1,0,2,1,8,+24,25:15,.515,.500,.000,.667,0.0,14.3,8.6,16.8,1.9,0.0,20.5,17.6,101,99
6,Monte Morris,Denver Nuggets,20:08,4,9,.444,2,5,.400,2,2,1.000,0,1,1,4,0,0,0,1,12,+18,20:08,.607,.556,.556,.222,0.0,4.5,2.7,23.0,0.0,0.0,0.0,22.4,135,108
