,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Terry Rozier,Charlotte Hornets,33:03,12,17,.706,6,9,.667,4,4,1.000,0,3,3,3,1,0,1,1,34,-16,33:03,.906,.882,.529,.235,0.0,9.5,5.4,15.8,1.5,0.0,5.1,27.3,172,139
1,Gordon Hayward,Charlotte Hornets,30:14,7,11,.636,1,2,.500,0,0,0,2,2,4,2,0,0,3,2,15,-12,30:14,.682,.682,.182,.000,9.1,6.9,7.8,9.4,0.0,0.0,21.4,21.1,114,143
2,P.J. Washington,Charlotte Hornets,28:35,2,7,.286,0,2,.000,1,2,.500,0,3,3,4,0,1,2,1,5,+1,28:35,.317,.286,.286,.286,0.0,11.0,6.2,16.1,0.0,3.7,20.2,15.8,77,140
3,LaMelo Ball,Charlotte Hornets,28:14,8,15,.533,1,4,.250,0,0,0,1,1,2,5,3,1,3,0,17,-9,28:14,.567,.567,.267,.000,4.9,3.7,4.2,27.1,5.3,3.8,16.7,29.1,110,131
4,Cody Zeller,Charlotte Hornets,22:37,4,9,.444,1,1,1.000,0,0,0,0,3,3,4,1,0,2,3,9,-3,22:37,.500,.500,.111,.000,0.0,13.8,7.9,23.3,2.2,0.0,18.2,22.2,100,135
6,Miles Bridges,Charlotte Hornets,30:59,5,9,.556,2,4,.500,3,4,.750,2,8,10,2,1,1,4,2,15,-23,30:59,.697,.667,.444,.444,8.9,26.9,19.1,8.3,1.6,3.4,27.1,21.7,110,129
7,Malik Monk,Charlotte Hornets,23:02,2,8,.250,2,5,.400,0,0,0,0,2,2,1,0,0,2,2,6,-12,23:02,.375,.375,.625,.000,0.0,9.1,5.1,5.1,0.0,0.0,20.0,19.8,68,142
8,Caleb Martin,Charlotte Hornets,17:51,0,1,.000,0,1,.000,2,2,1.000,0,2,2,0,3,0,0,1,2,-1,17:51,.532,.000,1.000,2.000,0.0,11.7,6.6,0.0,8.4,0.0,0.0,4.8,125,121
9,Bismack Biyombo,Charlotte Hornets,13:25,1,1,1.000,0,0,0,0,0,0,2,2,4,0,0,1,0,1,2,-7,13:25,1.000,1.000,.000,.000,20.4,15.6,17.7,0.0,0.0,8.0,0.0,3.4,215,136
10,Cody Martin,Charlotte Hornets,12:00,4,4,1.000,1,1,1.000,0,0,0,1,1,2,2,2,0,1,1,9,+2,12:00,1.125,1.125,.250,.000,11.4,8.7,9.9,27.6,8.3,0.0,20.0,19.0,177,122
11,Devonte' Graham,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nick Richards,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Charlotte Hornets,240,45,82,.549,14,29,.483,10,12,.833,8,27,35,23,11,4,18,14,114,0,240,.653,.634,.354,.146,22.9,58.7,43.2,51.1,11.4,8.9,17.1,100.0,118.6,135.3
0,Ja Morant,Memphis Grizzlies,30:52,6,14,.429,1,3,.333,2,4,.500,2,1,3,11,1,0,5,2,15,+23,30:52,.476,.464,.214,.286,6.8,4.4,5.8,45.4,1.6,0.0,24.1,27.4,111,122
1,Dillon Brooks,Memphis Grizzlies,29:49,8,13,.615,4,8,.500,0,0,0,1,1,2,4,1,0,3,3,20,+15,29:49,.769,.769,.615,.000,3.5,4.6,4.0,18.9,1.7,0.0,18.8,21.8,132,122
2,Jonas Valančiūnas,Memphis Grizzlies,28:52,6,13,.462,0,2,.000,0,0,0,6,9,15,3,2,0,2,0,12,+10,28:52,.462,.462,.154,.000,21.7,42.8,30.8,13.5,3.5,0.0,13.3,21.2,117,112
3,Desmond Bane,Memphis Grizzlies,25:52,6,11,.545,4,8,.500,2,2,1.000,1,0,1,2,2,0,2,0,18,+10,25:52,.758,.727,.727,.182,4.0,0.0,2.3,10.3,3.9,0.0,14.4,21.8,138,118
4,Kyle Anderson,Memphis Grizzlies,24:22,10,14,.714,6,8,.750,1,2,.500,1,1,2,3,0,1,0,0,27,+1,24:22,.907,.929,.571,.143,4.3,5.6,4.9,21.6,0.0,3.7,0.0,24.9,186,123
6,Grayson Allen,Memphis Grizzlies,29:36,5,13,.385,5,12,.417,3,4,.750,0,3,3,3,1,0,2,4,18,+1,29:36,.610,.577,.923,.308,0.0,13.9,6.0,12.5,1.7,0.0,11.9,23.0,126,121
7,Tyus Jones,Memphis Grizzlies,21:43,4,7,.571,3,4,.750,1,2,.500,2,1,3,3,1,0,0,3,12,-5,21:43,.761,.786,.571,.286,9.6,6.3,8.2,17.4,2.3,0.0,0.0,14.8,178,120
8,Gorgui Dieng,Memphis Grizzlies,19:08,0,2,.000,0,2,.000,2,2,1.000,3,5,8,1,1,0,1,1,2,+6,19:08,.347,.000,1.000,1.000,16.4,35.8,24.8,5.3,2.6,0.0,25.8,8.3,112,115
