,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Pascal Siakam,Toronto Raptors,34:28,9,18,.500,3,4,.750,5,7,.714,1,4,5,2,1,1,1,3,26,+27,34:28,.617,.583,.222,.389,3.2,11.4,7.6,7.6,1.3,2.7,4.5,26.7,125,111
1,Fred VanVleet,Toronto Raptors,34:28,5,10,.500,2,5,.400,2,2,1.000,0,4,4,7,0,0,4,4,14,+27,34:28,.643,.600,.500,.200,0.0,11.4,6.1,23.2,0.0,0.0,26.9,18.0,112,116
2,Kyle Lowry,Toronto Raptors,32:47,8,14,.571,5,8,.625,0,0,0,0,4,4,5,2,1,1,0,21,+14,32:47,.750,.750,.571,.000,0.0,12.0,6.4,19.6,2.8,2.8,6.7,19.1,146,108
3,Norman Powell,Toronto Raptors,31:42,10,18,.556,3,4,.750,5,5,1.000,2,5,7,4,2,0,2,2,28,+11,31:42,.693,.639,.222,.278,7.0,15.5,11.5,17.9,2.9,0.0,9.0,29.2,137,108
4,Aron Baynes,Toronto Raptors,21:03,3,6,.500,0,1,.000,2,2,1.000,0,4,4,4,0,0,1,1,8,+3,21:03,.581,.500,.167,.333,0.0,18.6,9.9,21.6,0.0,0.0,12.7,15.6,125,114
6,Chris Boucher,Toronto Raptors,24:30,5,10,.500,1,2,.500,6,7,.857,3,13,16,1,0,2,1,2,17,+16,24:30,.650,.550,.200,.700,13.7,52.0,34.1,5.0,0.0,7.5,7.1,24.0,137,99
7,DeAndre' Bembry,Toronto Raptors,23:50,4,5,.800,2,2,1.000,0,0,0,3,0,3,3,0,0,1,0,10,-1,23:50,1.000,1.000,.400,.000,14.1,0.0,6.6,14.8,0.0,0.0,16.7,10.5,178,119
8,Terence Davis,Toronto Raptors,18:46,5,10,.500,3,5,.600,0,0,0,0,2,2,0,0,0,1,2,13,+12,18:46,.650,.650,.500,.000,0.0,10.4,5.6,0.0,0.0,0.0,9.1,24.4,110,116
9,Stanley Johnson,Toronto Raptors,13:32,0,1,.000,0,1,.000,0,0,0,0,0,0,1,0,0,0,2,0,-5,13:32,.000,.000,1.000,.000,0.0,0.0,0.0,7.2,0.0,0.0,0.0,3.1,66,119
10,Matt Thomas,Toronto Raptors,2:27,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,+3,2:27,0,0,0,0,0.0,40.0,21.3,40.0,0.0,0.0,0,0.0,239,106
11,Paul Watson,Toronto Raptors,2:27,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,+3,2:27,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,37.7,0.0,17.0,0,97
12,Patrick McCaw,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Toronto Raptors,240,49,93,.527,19,32,.594,20,23,.870,9,37,46,28,5,5,12,17,137,0,240,.664,.629,.344,.247,20.9,75.5,50.0,57.1,4.8,9.6,10.4,100.0,132.3,111.0
0,Bradley Beal,Washington Wizards,37:29,8,20,.400,1,6,.167,7,7,1.000,1,3,4,5,2,0,2,2,24,-20,37:29,.520,.425,.300,.350,2.6,8.9,5.6,20.2,2.5,0.0,8.0,27.4,111,132
1,Russell Westbrook,Washington Wizards,34:03,9,20,.450,3,8,.375,2,2,1.000,1,5,6,7,1,0,5,4,23,-22,34:03,.551,.525,.400,.100,2.9,16.4,9.2,33.7,1.4,0.0,19.3,31.1,100,133
