,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,LeBron James,Los Angeles Lakers,30:56,9,18,.500,0,5,.000,4,7,.571,1,9,10,9,0,1,1,2,22,-17,30:56,.522,.500,.278,.389,3.4,29.7,16.7,53.6,0.0,4.1,4.5,31.2,115,121
1,Dennis Schröder,Los Angeles Lakers,27:39,3,10,.300,2,3,.667,0,0,0,0,1,1,4,0,0,2,3,8,-8,27:39,.400,.400,.300,.000,0.0,3.7,1.9,20.0,0.0,0.0,16.7,19.0,77,129
2,Kentavious Caldwell-Pope,Los Angeles Lakers,18:45,2,6,.333,1,4,.250,2,2,1.000,0,1,1,0,2,1,0,2,7,-5,18:45,.509,.417,.667,.333,0.0,5.4,2.8,0.0,5.2,6.7,0.0,16.0,104,113
3,Marc Gasol,Los Angeles Lakers,17:57,2,4,.500,1,3,.333,0,0,0,1,2,3,1,1,0,0,3,5,-6,17:57,.625,.625,.750,.000,5.8,11.4,8.6,7.7,2.7,0.0,0.0,9.7,133,121
4,Anthony Davis,Los Angeles Lakers,14:14,5,11,.455,0,1,.000,5,5,1.000,2,2,4,1,0,0,0,1,15,-4,14:14,.568,.455,.091,.455,14.7,14.4,14.5,14.6,0.0,0.0,0.0,40.6,124,127
6,Kyle Kuzma,Los Angeles Lakers,26:27,8,12,.667,1,4,.250,2,4,.500,1,7,8,1,0,0,2,0,19,0,26:27,.690,.708,.333,.333,3.9,27.0,15.6,7.1,0.0,0.0,12.7,26.1,113,124
7,Talen Horton-Tucker,Los Angeles Lakers,24:45,3,7,.429,0,1,.000,4,6,.667,0,0,0,5,0,1,2,4,10,-7,24:45,.519,.429,.143,.857,0.0,0.0,0.0,28.4,0.0,5.1,17.2,20.6,101,127
8,Montrezl Harrell,Los Angeles Lakers,24:15,2,3,.667,0,0,0,0,1,.000,0,6,6,1,0,0,1,3,4,-1,24:15,.581,.667,.000,.333,0.0,25.3,12.8,5.5,0.0,0.0,22.5,8.0,87,124
9,Alex Caruso,Los Angeles Lakers,19:38,4,6,.667,1,3,.333,2,2,1.000,0,3,3,2,0,0,0,3,11,-19,19:38,.799,.750,.500,.333,0.0,15.6,7.9,16.2,0.0,0.0,0.0,15.3,162,126
10,Wesley Matthews,Los Angeles Lakers,16:58,0,2,.000,0,1,.000,0,0,0,1,3,4,1,0,1,1,3,0,-18,16:58,.000,.000,.500,.000,6.2,18.1,12.2,7.1,0.0,7.4,33.3,7.7,40,121
11,Markieff Morris,Los Angeles Lakers,9:44,0,5,.000,0,2,.000,0,0,0,0,3,3,2,1,0,0,0,0,-4,9:44,.000,.000,.400,.000,0.0,31.5,15.9,24.7,5.0,0.0,0.0,22.5,23,111
12,Quinn Cook,Los Angeles Lakers,4:21,1,2,.500,0,1,.000,0,0,0,0,1,1,0,0,0,1,1,2,+2,4:21,.500,.500,.500,.000,0.0,23.5,11.9,0.0,0.0,0.0,33.3,30.2,57,124
13,Alfonzo McKinnie,Los Angeles Lakers,4:21,1,1,1.000,0,0,0,0,2,.000,2,0,2,0,0,0,0,1,2,+2,4:21,.532,1.000,.000,2.000,48.0,0.0,23.7,0.0,0.0,0.0,0.0,18.9,125,130
14,Jared Dudley,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Los Angeles Lakers,240,40,87,.460,6,28,.214,19,29,.655,8,38,46,27,4,4,10,26,105,0,240,.526,.494,.322,.333,17.4,80.9,49.5,67.5,4.0,10.5,9.1,100.0,106.0,123.2
0,Nikola Jokić,Denver Nuggets,34:46,8,17,.471,1,5,.200,6,6,1.000,4,12,16,10,0,1,3,2,23,+16,34:46,.586,.500,.294,.353,11.8,36.0,23.8,49.4,0.0,2.3,13.3,28.7,130,104
1,Jamal Murray,Denver Nuggets,34:23,7,15,.467,4,10,.400,7,7,1.000,1,5,6,4,0,0,3,3,25,+27,34:23,.691,.600,.667,.467,3.0,15.2,9.0,19.1,0.0,0.0,14.2,27.0,125,110
2,Monte Morris,Denver Nuggets,30:20,4,9,.444,2,3,.667,0,3,.000,0,3,3,3,0,1,0,1,10,+11,30:20,.484,.556,.333,.333,0.0,10.3,5.1,14.5,0.0,2.7,0.0,15.0,105,109
3,Michael Porter Jr.,Denver Nuggets,29:57,3,11,.273,1,7,.143,1,2,.500,0,3,3,1,0,2,1,4,8,+9,29:57,.337,.318,.636,.182,0.0,10.5,5.2,4.7,0.0,5.4,7.8,18.9,68,106
4,Paul Millsap,Denver Nuggets,15:43,4,5,.800,2,3,.667,0,1,.000,0,5,5,2,1,0,0,0,10,+5,15:43,.919,1.000,.600,.200,0.0,33.2,16.4,22.8,3.1,0.0,0.0,15.2,174,100
6,Facundo Campazzo,Denver Nuggets,25:46,4,8,.500,3,6,.500,4,5,.800,1,0,1,4,2,0,0,2,15,+10,25:46,.735,.688,.750,.625,4.0,0.0,2.0,23.6,3.8,0.0,0.0,17.4,161,105
7,Zeke Nnaji,Denver Nuggets,23:50,5,7,.714,4,5,.800,2,4,.500,1,2,3,0,1,0,0,1,16,+9,23:50,.913,1.000,.714,.571,4.3,8.8,6.5,0.0,2.0,0.0,0.0,16.2,165,107
8,R.J. Hampton,Denver Nuggets,20:23,1,6,.167,0,3,.000,2,2,1.000,0,4,4,1,0,0,1,3,4,+2,20:23,.291,.167,.500,.333,0.0,20.5,10.1,6.4,0.0,0.0,12.7,17.0,63,108
9,JaMychal Green,Denver Nuggets,14:02,1,2,.500,1,2,.500,0,0,0,0,2,2,2,2,0,0,5,3,+4,14:02,.750,.750,1.000,.000,0.0,14.9,7.4,19.2,6.9,0.0,0.0,6.3,169,94
10,Vlatko Čančar,Denver Nuggets,6:17,2,5,.400,1,3,.333,1,2,.500,1,1,2,0,0,0,1,1,6,-3,6:17,.510,.500,.600,.400,16.3,16.6,16.4,0.0,0.0,0.0,14.5,48.2,90,109
11,Isaiah Hartenstein,Denver Nuggets,3:04,0,0,0,0,0,0,2,2,1.000,1,1,2,0,0,0,0,2,2,-2,3:04,1.136,0,0,0,33.3,34.0,33.7,0.0,0.0,0.0,0.0,12.6,245,103
12,Markus Howard,Denver Nuggets,1:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-3,1:29,0,0,0,0,0.0,0.0,0.0,83.0,0.0,0.0,0,0.0,249,113
13,Bol Bol,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
