,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,James Harden,Brooklyn Nets,34:32,10,18,.556,6,10,.600,3,3,1.000,2,11,13,14,0,1,7,2,29,+33,34:32,.751,.722,.556,.167,7.9,37.3,23.8,52.5,0.0,2.2,26.6,33.5,137,124
1,Kyrie Irving,Brooklyn Nets,30:44,15,22,.682,9,11,.818,1,4,.250,1,3,4,3,2,0,3,3,40,+5,30:44,.842,.886,.500,.182,4.5,11.4,8.2,17.0,3.2,0.0,11.2,38.2,141,126
2,Bruce Brown,Brooklyn Nets,25:00,1,4,.250,0,1,.000,1,2,.500,1,1,2,1,3,1,2,1,3,-5,25:00,.307,.250,.250,.500,5.5,4.7,5.1,3.9,5.9,3.0,29.1,12.1,69,120
3,Joe Harris,Brooklyn Nets,24:15,4,5,.800,2,2,1.000,0,0,0,1,2,3,1,0,0,2,3,10,+17,24:15,1.000,1.000,.400,.000,5.7,9.7,7.8,4.6,0.0,0.0,28.6,12.7,135,134
4,Jeff Green,Brooklyn Nets,23:41,5,10,.500,3,7,.429,0,0,0,0,0,0,2,0,1,0,0,13,-14,23:41,.650,.650,.700,.000,0.0,0.0,0.0,9.9,0.0,3.2,0.0,18.5,142,135
6,Landry Shamet,Brooklyn Nets,28:08,5,10,.500,3,7,.429,0,0,0,0,3,3,3,1,0,0,1,13,-3,28:08,.650,.650,.700,.000,0.0,12.5,6.7,12.1,1.8,0.0,0.0,15.6,147,129
7,DeAndre Jordan,Brooklyn Nets,27:08,4,6,.667,0,0,0,2,3,.667,4,4,8,4,0,1,1,1,10,+22,27:08,.683,.667,.000,.500,20.2,17.3,18.6,16.1,0.0,2.8,12.0,13.5,160,130
8,Timothé Luwawu-Cabarrot,Brooklyn Nets,23:45,3,6,.500,2,5,.400,0,0,0,0,2,2,1,1,0,0,4,8,-6,23:45,.667,.667,.833,.000,0.0,9.9,5.3,4.5,2.1,0.0,0.0,11.1,143,129
9,Tyler Johnson,Brooklyn Nets,22:47,4,8,.500,2,4,.500,0,0,0,0,0,0,2,0,0,0,1,10,+6,22:47,.625,.625,.500,.000,0.0,0.0,0.0,9.9,0.0,0.0,0.0,15.4,140,137
10,Norvel Pelle,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Noah Vonleh,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nic Claxton,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Brooklyn Nets,240,51,89,.573,27,47,.574,7,12,.583,9,26,35,31,7,4,15,16,136,0,240,.721,.725,.528,.135,25.7,63.4,46.1,60.8,7.2,6.3,13.7,100.0,139.5,128.3
0,Buddy Hield,Sacramento Kings,33:51,7,13,.538,6,9,.667,1,1,1.000,0,3,3,4,1,0,4,1,21,-15,33:51,.781,.769,.692,.077,0.0,12.2,5.6,13.8,1.5,0.0,22.9,21.6,128,141
1,De'Aaron Fox,Sacramento Kings,33:43,8,17,.471,1,3,.333,2,2,1.000,1,2,3,8,2,0,3,2,19,-21,33:43,.531,.500,.176,.118,3.5,8.1,5.6,28.8,2.9,0.0,14.4,25.9,118,138
2,Cory Joseph,Sacramento Kings,30:42,10,13,.769,2,2,1.000,0,0,0,2,0,2,5,0,0,1,4,22,-2,30:42,.846,.846,.154,.000,7.6,0.0,4.1,22.1,0.0,0.0,7.1,19.1,170,146
3,Harrison Barnes,Sacramento Kings,28:09,2,8,.250,0,4,.000,0,0,0,1,2,3,1,1,0,1,1,4,-25,28:09,.250,.250,.500,.000,4.2,9.7,6.7,3.6,1.7,0.0,11.1,13.4,69,141
4,Marvin Bagley III,Sacramento Kings,21:04,7,13,.538,1,3,.333,4,5,.800,2,5,7,0,0,1,0,1,19,-9,21:04,.625,.577,.231,.385,11.1,32.5,21.0,0.0,0.0,5.4,0.0,30.2,144,138
6,Tyrese Haliburton,Sacramento Kings,30:07,4,11,.364,2,7,.286,0,0,0,1,2,3,3,0,0,1,0,10,-10,30:07,.455,.455,.636,.000,3.9,9.1,6.3,10.7,0.0,0.0,8.3,16.7,111,146
7,Hassan Whiteside,Sacramento Kings,23:39,12,15,.800,0,0,0,2,3,.667,6,10,16,1,0,5,2,2,26,0,23:39,.797,.800,.000,.200,29.7,58.0,42.7,7.6,0.0,24.2,10.9,32.4,150,121
8,Glenn Robinson III,Sacramento Kings,21:33,1,3,.333,0,2,.000,2,2,1.000,1,1,2,1,0,0,1,0,4,+14,21:33,.515,.333,.667,.667,5.4,6.4,5.9,4.6,0.0,0.0,20.5,9.5,110,146
9,DaQuan Jeffries,Sacramento Kings,12:20,0,3,.000,0,3,.000,0,0,0,1,1,2,1,2,0,0,2,0,+18,12:20,.000,.000,1.000,.000,9.5,11.1,10.2,7.6,8.0,0.0,0.0,10.2,54,124
10,Nemanja Bjelica,Sacramento Kings,4:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,4:52,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,147
11,Jabari Parker,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Richaun Holmes,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Justin James,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Chimezie Metu,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Sacramento Kings,240,51,96,.531,12,33,.364,11,13,.846,15,26,41,24,6,6,13,13,125,0,240,.614,.594,.344,.135,36.6,74.3,53.9,47.1,6.2,14.3,11.3,100.0,128.3,139.5
