,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jamal Murray,Denver Nuggets,38:15,21,25,.840,8,10,.800,0,0,0,0,6,6,2,2,0,1,4,50,+24,38:15,1.000,1.000,.400,.000,0.0,17.1,10.6,12.8,2.7,0.0,3.8,31.8,185,106
1,Will Barton,Denver Nuggets,34:19,3,9,.333,1,3,.333,0,0,0,0,2,2,3,1,0,4,0,7,+16,34:19,.389,.389,.333,.000,0.0,6.4,3.9,10.0,1.5,0.0,30.8,17.7,69,113
2,Michael Porter Jr.,Denver Nuggets,32:57,8,16,.500,3,6,.500,3,4,.750,2,5,7,1,0,0,2,1,22,+9,32:57,.619,.594,.375,.250,10.8,16.6,14.4,4.2,0.0,0.0,10.1,28.1,120,113
3,Nikola Jokić,Denver Nuggets,32:48,5,8,.625,1,2,.500,5,5,1.000,2,10,12,10,4,1,3,2,16,+13,32:48,.784,.688,.250,.625,10.8,33.3,24.7,37.8,6.2,2.8,22.7,18.8,152,92
4,JaMychal Green,Denver Nuggets,1:15,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1,1:15,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,200,112
6,Monte Morris,Denver Nuggets,29:20,2,8,.250,0,3,.000,2,2,1.000,0,1,1,2,0,0,0,2,6,+23,29:20,.338,.250,.375,.250,0.0,3.7,2.3,7.7,0.0,0.0,0.0,14.2,91,117
7,Facundo Campazzo,Denver Nuggets,28:22,3,5,.600,2,3,.667,2,2,1.000,0,2,2,3,2,0,4,2,10,+4,28:22,.850,.800,.600,.400,0.0,7.7,4.8,12.4,3.6,0.0,40.5,16.3,107,107
8,R.J. Hampton,Denver Nuggets,20:23,2,4,.500,0,2,.000,1,2,.500,0,2,2,1,0,0,0,3,5,-10,20:23,.512,.500,.500,.500,0.0,10.7,6.6,5.7,0.0,0.0,0.0,11.2,117,114
9,Isaiah Hartenstein,Denver Nuggets,11:08,1,1,1.000,0,0,0,0,2,.000,1,2,3,0,0,1,1,2,2,+3,11:08,.532,1.000,.000,2.000,16.0,19.6,18.2,0.0,0.0,8.3,34.7,12.1,79,106
10,Zeke Nnaji,Denver Nuggets,6:27,0,2,.000,0,2,.000,0,0,0,1,1,2,1,0,0,0,0,0,+2,6:27,.000,.000,1.000,.000,27.6,16.9,21.0,16.2,0.0,0.0,0.0,14.5,75,113
11,Vlatko Čančar,Denver Nuggets,2:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+1,2:23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,118
12,Markus Howard,Denver Nuggets,2:23,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,+1,2:23,.000,.000,.000,.000,0.0,0.0,0.0,43.8,0.0,0.0,0.0,19.7,69,118
13,Bol Bol,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Denver Nuggets,240,46,80,.575,15,31,.484,13,17,.765,6,31,37,24,9,2,15,17,120,0,240,.686,.669,.388,.213,22.2,70.5,52.1,52.2,9.5,3.8,14.6,100.0,126.8,108.9
