,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Stephen Curry,Golden State Warriors,37:08,11,29,.379,6,16,.375,1,1,1.000,2,5,7,11,0,0,1,3,29,-7,37:08,.493,.483,.552,.034,5.0,14.7,9.4,44.7,0.0,0.0,3.3,33.7,112,122
1,Kelly Oubre Jr.,Golden State Warriors,36:30,10,18,.556,3,6,.500,3,7,.429,3,4,7,1,4,0,1,0,26,-5,36:30,.617,.639,.333,.389,7.6,12.0,9.6,4.0,5.0,0.0,4.5,24.9,117,111
2,Draymond Green,Golden State Warriors,33:35,2,5,.400,2,2,1.000,0,0,0,1,5,6,9,1,0,3,4,6,-16,33:35,.600,.600,.400,.000,2.7,16.2,8.9,29.8,1.4,0.0,37.5,9.8,114,118
3,Andrew Wiggins,Golden State Warriors,32:13,7,15,.467,1,4,.250,1,1,1.000,2,2,4,2,2,0,4,3,16,-15,32:13,.518,.500,.267,.067,5.7,6.8,6.2,8.4,2.8,0.0,20.6,24.8,86,117
4,Juan Toscano-Anderson,Golden State Warriors,24:59,3,6,.500,1,2,.500,0,0,0,1,4,5,4,0,0,1,3,7,+5,24:59,.583,.583,.333,.000,3.7,17.5,10.0,19.1,0.0,0.0,14.3,11.5,121,121
6,Damion Lee,Golden State Warriors,20:31,4,5,.800,2,3,.667,0,0,0,0,5,5,0,1,0,1,2,10,-3,20:31,1.000,1.000,.600,.000,0.0,26.6,12.2,0.0,2.2,0.0,16.7,12.0,129,114
7,Eric Paschall,Golden State Warriors,14:25,2,5,.400,0,0,0,1,2,.500,0,2,2,4,0,0,0,1,5,+12,14:25,.425,.400,.000,.400,0.0,15.1,6.9,33.9,0.0,0.0,0.0,16.8,116,122
8,Mychal Mulder,Golden State Warriors,14:17,3,6,.500,3,6,.500,1,2,.500,0,3,3,2,0,0,0,0,10,+7,14:17,.727,.750,1.000,.333,0.0,22.9,10.5,18.7,0.0,0.0,0.0,19.8,141,120
9,Kent Bazemore,Golden State Warriors,13:36,1,4,.250,1,3,.333,0,0,0,0,3,3,3,0,0,1,1,3,-1,13:36,.375,.375,.750,.000,0.0,24.1,11.0,24.9,0.0,0.0,20.0,15.1,87,120
10,Brad Wanamaker,Golden State Warriors,12:46,3,4,.750,0,0,0,2,2,1.000,0,3,3,1,0,0,1,2,8,+3,12:46,.820,.750,.000,.500,0.0,25.6,11.7,10.8,0.0,0.0,17.0,19.0,133,120
