,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Zach LaVine,Chicago Bulls,37:57,9,28,.321,2,10,.200,10,10,1.000,1,4,5,5,2,1,4,4,30,-13,37:57,.463,.357,.357,.357,2.5,11.2,6.7,22.1,2.6,1.9,11.0,40.4,96,113
1,Garrett Temple,Chicago Bulls,33:29,4,8,.500,1,3,.333,1,1,1.000,2,3,5,2,1,2,0,2,10,-12,33:29,.592,.563,.375,.125,5.7,9.6,7.5,8.4,1.5,4.3,0.0,10.6,136,115
2,Patrick Williams,Chicago Bulls,31:24,2,5,.400,0,1,.000,2,2,1.000,0,3,3,2,1,0,3,2,6,-9,31:24,.510,.400,.200,.400,0.0,10.2,4.8,8.3,1.6,0.0,33.8,11.9,76,117
3,Coby White,Chicago Bulls,26:54,4,11,.364,1,5,.200,0,0,0,2,4,6,5,0,0,0,3,9,-10,26:54,.409,.409,.455,.000,7.1,15.9,11.3,27.1,0.0,0.0,0.0,17.2,110,118
4,Wendell Carter Jr.,Chicago Bulls,24:56,7,13,.538,1,2,.500,0,0,0,0,4,4,1,0,0,1,3,15,-17,24:56,.577,.577,.154,.000,0.0,17.1,8.1,7.3,0.0,0.0,7.1,23.7,107,117
6,Tomáš Satoranský,Chicago Bulls,21:16,3,4,.750,1,2,.500,3,3,1.000,1,1,2,2,0,0,0,1,10,+9,21:16,.940,.875,.500,.750,4.5,5.0,4.8,13.6,0.0,0.0,0.0,10.5,198,122
7,Thaddeus Young,Chicago Bulls,20:21,6,9,.667,0,0,0,0,0,0,6,3,9,3,0,1,2,4,12,+1,20:21,.667,.667,.000,.000,28.3,15.7,22.3,27.4,0.0,3.6,18.2,22.8,128,115
8,Ryan Arcidiacono,Chicago Bulls,17:37,4,10,.400,0,3,.000,2,2,1.000,1,2,3,4,1,0,0,0,10,0,17:37,.460,.400,.300,.200,5.4,12.1,8.6,37.5,2.8,0.0,0.0,26.0,115,113
9,Denzel Valentine,Chicago Bulls,15:33,1,4,.250,1,4,.250,0,0,0,0,3,3,0,0,0,0,1,3,+7,15:33,.375,.375,1.000,.000,0.0,20.6,9.7,0.0,0.0,0.0,0.0,10.8,82,116
10,Luke Kornet,Chicago Bulls,5:39,0,2,.000,0,2,.000,0,0,0,0,1,1,0,0,0,0,0,0,+4,5:39,.000,.000,1.000,.000,0.0,18.9,8.9,0.0,0.0,0.0,0.0,14.9,0,117
11,Daniel Gafford,Chicago Bulls,4:54,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,+5,4:54,.000,.000,.000,.000,0.0,21.8,10.3,0.0,0.0,29.7,50.0,17.2,0,99
12,Cristiano Felício,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Chicago Bulls,240,40,95,.421,7,32,.219,18,18,1.000,13,29,42,24,5,6,11,20,105,0,240,.510,.458,.337,.189,26.0,64.4,44.2,60.0,5.2,9.1,9.7,100.0,108.2,115.5
0,Seth Curry,Philadelphia 76ers,38:01,2,11,.182,1,5,.200,4,4,1.000,0,4,4,0,0,0,3,2,9,+15,38:01,.353,.227,.455,.364,0.0,10.1,5.3,0.0,0.0,0.0,19.0,17.3,67,114
1,Danny Green,Philadelphia 76ers,37:04,4,10,.400,4,8,.500,1,3,.333,0,2,2,5,0,0,0,2,13,+19,37:04,.574,.600,.800,.300,0.0,5.2,2.7,18.1,0.0,0.0,0.0,12.8,139,116
2,Tobias Harris,Philadelphia 76ers,36:47,9,16,.563,1,2,.500,3,4,.750,3,9,12,7,0,0,4,4,22,+22,36:47,.619,.594,.125,.250,8.7,23.5,16.5,31.2,0.0,0.0,18.4,24.7,119,109
3,Matisse Thybulle,Philadelphia 76ers,36:39,1,3,.333,0,2,.000,0,0,0,0,3,3,2,1,3,1,2,2,+16,36:39,.333,.333,.667,.000,0.0,7.9,4.1,6.6,1.4,6.2,25.0,4.6,76,108
4,Joel Embiid,Philadelphia 76ers,35:16,17,26,.654,1,2,.500,15,17,.882,6,11,17,5,2,4,2,2,50,+22,35:16,.747,.673,.077,.654,18.1,29.9,24.4,38.1,2.8,8.6,5.6,42.1,156,94
6,Tyrese Maxey,Philadelphia 76ers,17:00,3,11,.273,0,0,0,0,0,0,2,1,3,3,0,0,3,2,6,-11,17:00,.273,.273,.000,.000,12.5,5.6,8.9,26.0,0.0,0.0,21.4,34.4,67,116
7,Dwight Howard,Philadelphia 76ers,12:44,4,5,.800,0,0,0,0,1,.000,4,6,10,1,0,0,0,1,8,-15,12:44,.735,.800,.000,.200,33.5,45.2,39.7,14.5,0.0,0.0,0.0,17.9,163,101
8,Furkan Korkmaz,Philadelphia 76ers,11:27,1,3,.333,0,1,.000,0,0,0,0,0,0,0,1,0,2,2,2,-11,11:27,.333,.333,.333,.000,0.0,0.0,0.0,0.0,4.3,0.0,40.0,18.3,40,108
9,Mike Scott,Philadelphia 76ers,8:37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-20,8:37,0,0,0,0,0.0,11.1,5.9,0.0,0.0,0.0,0,0.0,0,114
10,Isaiah Joe,Philadelphia 76ers,6:25,0,2,.000,0,1,.000,0,0,0,1,0,1,0,1,0,0,0,0,-2,6:25,.000,.000,.500,.000,16.6,0.0,7.9,0.0,7.7,0.0,0.0,13.0,39,101
11,Vincent Poirier,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Terrance Ferguson,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Tony Bradley,Philadelphia 76ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Philadelphia 76ers,240,41,87,.471,7,21,.333,23,29,.793,16,37,53,23,5,7,15,18,112,0,240,.561,.511,.241,.333,35.6,74.0,55.8,56.1,5.2,11.1,13.1,100.0,115.5,108.2
