,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Enes Freedom,Portland Trail Blazers,38:00,7,9,.778,0,0,0,2,2,1.000,3,11,14,2,0,1,0,4,16,-3,38:00,.810,.778,.000,.222,10.2,27.8,20.3,7.9,0.0,2.2,0.0,12.4,176,119
1,Damian Lillard,Portland Trail Blazers,34:57,9,21,.429,4,11,.364,3,3,1.000,1,6,7,13,0,0,5,2,25,-15,34:57,.560,.524,.524,.143,3.7,16.5,11.1,62.3,0.0,0.0,18.3,37.4,114,125
2,Gary Trent Jr.,Portland Trail Blazers,34:30,7,16,.438,4,11,.364,0,0,0,0,2,2,1,0,0,0,3,18,+2,34:30,.563,.563,.688,.000,0.0,5.6,3.2,4.5,0.0,0.0,0.0,22.2,114,128
3,Derrick Jones Jr.,Portland Trail Blazers,29:17,7,9,.778,2,3,.667,2,2,1.000,2,3,5,0,0,3,0,2,18,+7,29:17,.911,.889,.333,.222,8.9,9.8,9.4,0.0,0.0,8.5,0.0,16.1,185,119
4,Robert Covington,Portland Trail Blazers,25:34,0,5,.000,0,4,.000,0,0,0,0,7,7,1,0,1,1,1,0,-1,25:34,.000,.000,.800,.000,0.0,26.3,15.1,4.6,0.0,3.2,16.7,11.2,12,119
6,Carmelo Anthony,Portland Trail Blazers,32:26,9,17,.529,3,7,.429,3,3,1.000,0,4,4,1,0,1,0,2,24,-6,32:26,.655,.618,.412,.176,0.0,11.8,6.8,5.3,0.0,2.6,0.0,27.0,133,124
7,Rodney Hood,Portland Trail Blazers,17:24,1,5,.200,0,1,.000,0,0,0,0,0,0,0,0,1,2,1,2,-14,17:24,.200,.200,.200,.000,0.0,0.0,0.0,0.0,0.0,4.8,28.6,19.2,29,126
8,Nassir Little,Portland Trail Blazers,14:26,0,1,.000,0,1,.000,0,0,0,1,3,4,1,0,0,0,1,0,-7,14:26,.000,.000,1.000,.000,9.0,20.0,15.3,8.1,0.0,0.0,0.0,3.3,102,124
9,Anfernee Simons,Portland Trail Blazers,13:26,1,4,.250,1,3,.333,0,0,0,0,4,4,2,0,0,1,3,3,+12,13:26,.375,.375,.750,.000,0.0,28.6,16.4,19.1,0.0,0.0,20.0,17.8,80,121
10,Zach Collins,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CJ Elleby,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Keljin Blevins,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CJ McCollum,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jusuf Nurkić,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Portland Trail Blazers,240,41,87,.471,14,41,.341,10,10,1.000,7,40,47,21,0,7,9,19,106,0,240,.580,.552,.471,.115,18.9,80.0,54.0,51.2,0.0,12.1,9.0,100.0,116.9,122.4
0,Michael Porter Jr.,Denver Nuggets,39:34,4,9,.444,2,4,.500,2,3,.667,1,9,10,1,0,1,0,3,12,+8,39:34,.581,.556,.444,.333,2.4,29.5,13.9,3.5,0.0,2.6,0.0,12.2,124,118
1,Jamal Murray,Denver Nuggets,38:02,7,18,.389,4,8,.500,6,6,1.000,1,4,5,8,2,1,1,0,24,+10,38:02,.581,.500,.444,.333,2.5,13.6,7.3,32.4,2.8,2.7,4.6,26.5,128,115
2,Nikola Jokić,Denver Nuggets,37:44,17,32,.531,3,6,.500,4,4,1.000,3,2,5,5,1,0,0,1,41,0,37:44,.607,.578,.188,.125,7.6,6.9,7.3,34.6,1.4,0.0,0.0,41.7,130,121
3,Monte Morris,Denver Nuggets,32:51,2,8,.250,2,5,.400,2,2,1.000,0,4,4,3,2,0,0,2,8,-8,32:51,.450,.375,.625,.250,0.0,15.8,6.7,11.8,3.2,0.0,0.0,12.6,108,115
