,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Andrew Wiggins,Golden State Warriors,37:35,6,13,.462,1,6,.167,3,5,.600,0,5,5,1,0,1,1,0,16,+16,37:35,.526,.500,.462,.385,0.0,12.3,6.6,3.9,0.0,1.9,6.2,18.9,98,113
1,Draymond Green,Golden State Warriors,36:45,3,9,.333,1,4,.250,0,0,0,2,7,9,12,3,2,3,4,7,+19,36:45,.389,.389,.444,.000,5.8,17.6,12.1,43.4,4.0,3.8,25.0,14.3,103,100
2,Stephen Curry,Golden State Warriors,36:42,9,22,.409,7,14,.500,12,12,1.000,0,6,6,6,2,0,2,1,37,+19,36:42,.678,.568,.636,.545,0.0,15.1,8.1,27.8,2.7,0.0,6.8,35.0,130,107
3,Kelly Oubre Jr.,Golden State Warriors,36:32,8,18,.444,1,5,.200,2,2,1.000,3,5,8,2,0,3,0,3,19,+14,36:32,.503,.472,.278,.111,8.8,12.6,10.8,8.9,0.0,5.8,0.0,22.6,111,111
4,Kevon Looney,Golden State Warriors,20:15,1,1,1.000,0,0,0,0,0,0,2,4,6,4,0,1,1,4,2,+17,20:15,1.000,1.000,.000,.000,10.5,18.2,14.7,25.2,0.0,3.5,50.0,4.3,157,109
6,Kent Bazemore,Golden State Warriors,21:45,3,7,.429,3,6,.500,0,0,0,0,0,0,1,3,0,0,2,9,-3,21:45,.643,.643,.857,.000,0.0,0.0,0.0,6.6,6.7,0.0,0.0,14.1,120,106
7,James Wiseman,Golden State Warriors,15:44,6,9,.667,0,0,0,2,2,1.000,0,2,2,1,0,0,0,1,14,-6,15:44,.709,.667,.000,.222,0.0,11.7,6.3,14.1,0.0,0.0,0.0,27.5,139,115
8,Eric Paschall,Golden State Warriors,14:55,3,6,.500,0,1,.000,2,3,.667,0,1,1,1,1,0,1,2,8,-15,14:55,.546,.500,.167,.500,0.0,6.2,3.3,10.6,3.3,0.0,12.0,24.4,97,110
9,Brad Wanamaker,Golden State Warriors,11:15,1,2,.500,0,1,.000,0,0,0,0,1,1,2,0,1,1,0,2,-11,11:15,.500,.500,.500,.000,0.0,8.2,4.4,23.9,0.0,6.3,33.3,11.7,88,113
10,Damion Lee,Golden State Warriors,8:32,0,2,.000,0,1,.000,0,0,0,0,3,3,0,0,0,1,1,0,-10,8:32,.000,.000,.500,.000,0.0,32.5,17.4,0.0,0.0,0.0,33.3,15.4,0,103
11,Juan Toscano-Anderson,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mychal Mulder,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Golden State Warriors,240,40,89,.449,13,38,.342,21,24,.875,7,34,41,30,9,8,10,18,114,0,240,.573,.522,.427,.270,15.6,65.4,42.3,75.0,9.1,11.8,9.1,100.0,115.5,107.4
0,Julius Randle,New York Knicks,34:37,8,21,.381,3,6,.500,6,6,1.000,5,5,10,7,0,0,1,2,25,-21,34:37,.529,.452,.286,.286,13.3,15.4,14.3,36.1,0.0,0.0,4.1,28.5,131,119
1,Elfrid Payton,New York Knicks,33:38,8,19,.421,0,2,.000,4,5,.800,3,0,3,4,0,0,1,3,20,-22,33:38,.472,.421,.105,.263,8.2,0.0,4.4,21.5,0.0,0.0,4.5,26.5,113,122
2,RJ Barrett,New York Knicks,27:28,1,9,.111,1,3,.333,1,2,.500,3,7,10,1,0,0,3,6,4,-21,27:28,.202,.167,.333,.222,10.1,27.2,18.0,4.8,0.0,0.0,23.3,18.8,52,117
3,Nerlens Noel,New York Knicks,23:39,4,6,.667,0,0,0,0,1,.000,2,3,5,0,1,3,2,3,8,-18,23:39,.621,.667,.000,.167,7.8,13.5,10.5,0.0,2.1,11.9,23.7,14.3,96,105
4,Reggie Bullock,New York Knicks,18:30,2,6,.333,1,3,.333,2,2,1.000,1,3,4,0,0,0,0,1,7,-21,18:30,.509,.417,.500,.333,5.0,17.3,10.7,0.0,0.0,0.0,0.0,14.9,124,119
6,Derrick Rose,New York Knicks,27:10,6,15,.400,2,4,.500,2,2,1.000,0,4,4,8,1,1,1,1,16,+12,27:10,.504,.467,.267,.133,0.0,15.7,7.3,51.6,1.8,3.5,5.9,24.9,123,112
7,Alec Burks,New York Knicks,24:25,3,10,.300,2,6,.333,0,0,0,1,4,5,1,0,0,1,2,8,+17,24:25,.400,.400,.600,.000,3.8,17.5,10.1,6.1,0.0,0.0,9.1,18.1,90,119
8,Taj Gibson,New York Knicks,24:21,2,3,.667,0,0,0,4,4,1.000,3,8,11,0,1,0,3,2,8,+10,24:21,.840,.667,.000,1.333,11.4,35.0,22.4,0.0,2.0,0.0,38.7,12.8,112,111
9,Obi Toppin,New York Knicks,13:06,3,3,1.000,1,1,1.000,0,0,0,0,2,2,0,1,1,0,0,7,+12,13:06,.300,.300,.800,.000,0.0,16.3,7.6,10.7,0.0,0.0,16.7,18.4,66,119
10,Immanuel Quickley,New York Knicks,13:06,1,5,.200,1,4,.250,0,0,0,0,2,2,1,0,0,1,3,3,+12,13:06,1.167,1.167,.333,.000,0.0,16.3,7.6,0.0,3.7,7.2,0.0,9.2,233,105
11,Kevin Knox,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Austin Rivers,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Frank Ntilikina,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Theo Pinson,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,New York Knicks,240,38,97,.392,11,29,.379,19,22,.864,18,38,56,22,4,5,13,23,106,0,240,.497,.448,.299,.227,34.6,84.4,57.7,57.9,4.1,9.8,10.9,100.0,107.4,115.5
