,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Karl-Anthony Towns,Minnesota Timberwolves,32:16,7,19,.368,2,6,.333,7,9,.778,2,9,11,5,0,3,5,5,23,-6,32:16,.501,.421,.316,.474,5.5,25.3,15.3,24.3,0.0,6.9,17.9,33.1,95,112
1,Anthony Edwards,Minnesota Timberwolves,32:10,9,22,.409,3,11,.273,0,2,.000,2,4,6,0,1,2,1,2,21,+2,32:10,.459,.477,.500,.091,5.5,11.3,8.4,0.0,1.3,4.6,4.2,28.3,91,116
2,Josh Okogie,Minnesota Timberwolves,28:42,5,7,.714,2,3,.667,0,1,.000,0,3,3,2,1,0,1,5,12,0,28:42,.806,.857,.429,.143,0.0,9.5,4.7,10.2,1.5,0.0,11.8,11.2,136,119
3,Ricky Rubio,Minnesota Timberwolves,25:28,1,4,.250,1,1,1.000,3,4,.750,1,1,2,3,2,0,2,3,6,-8,25:28,.521,.375,.250,1.000,3.5,3.6,3.5,14.5,3.4,0.0,25.8,11.6,99,116
4,Jarred Vanderbilt,Minnesota Timberwolves,23:08,4,7,.571,0,0,0,3,5,.600,4,8,12,2,0,2,3,2,11,-1,23:08,.598,.571,.000,.714,15.4,31.3,23.3,12.7,0.0,6.4,24.6,20.1,106,111
6,Jaylen Nowell,Minnesota Timberwolves,25:46,5,9,.556,3,4,.750,2,2,1.000,0,5,5,4,1,0,0,4,15,-15,25:46,.759,.722,.444,.222,0.0,17.6,8.7,23.5,1.7,0.0,0.0,14.6,162,115
7,Jordan McLaughlin,Minnesota Timberwolves,22:32,1,4,.250,0,2,.000,0,0,0,0,0,0,3,2,0,2,3,2,-8,22:32,.250,.250,.500,.000,0.0,0.0,0.0,16.4,3.8,0.0,33.3,10.2,57,117
8,Naz Reid,Minnesota Timberwolves,17:55,8,12,.667,0,3,.000,1,2,.500,0,1,1,3,1,1,1,4,17,-5,17:55,.660,.667,.250,.167,0.0,5.1,2.5,41.1,2.4,4.1,7.2,29.6,124,115
9,Jaden McDaniels,Minnesota Timberwolves,14:58,0,3,.000,0,3,.000,0,0,0,0,3,3,1,0,1,1,1,0,-18,14:58,.000,.000,1.000,.000,0.0,18.2,9.0,7.8,0.0,4.9,25.0,10.2,15,116
10,Jarrett Culver,Minnesota Timberwolves,14:01,1,6,.167,0,1,.000,1,2,.500,3,2,5,0,0,1,1,0,3,-20,14:01,.218,.167,.167,.333,19.0,12.9,16.0,0.0,0.0,5.3,12.7,21.5,63,118
11,Juancho Hernangómez,Minnesota Timberwolves,3:04,0,2,.000,0,1,.000,2,2,1.000,0,2,2,0,1,0,1,0,2,-1,3:04,.347,.000,.500,1.000,0.0,59.1,29.3,0.0,14.0,0.0,25.8,48.3,57,73
12,Ed Davis,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Malik Beasley,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jake Layman,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Minnesota Timberwolves,240,41,95,.432,11,35,.314,19,29,.655,12,38,50,23,9,10,18,29,112,0,240,.520,.489,.368,.305,22.2,71.7,46.7,56.1,8.1,15.4,14.3,100.0,100.4,114.8
0,Russell Westbrook,Washington Wizards,31:40,7,19,.368,0,2,.000,5,10,.500,0,14,14,12,2,0,5,1,19,+16,31:40,.406,.368,.105,.526,0.0,39.3,19.8,54.5,2.7,0.0,17.6,33.4,91,92
1,Bradley Beal,Washington Wizards,30:27,12,23,.522,2,6,.333,8,8,1.000,2,6,8,6,1,0,3,1,34,+6,30:27,.641,.565,.261,.348,5.9,17.5,11.8,37.7,1.4,0.0,10.2,36.1,129,101
2,Garrison Mathews,Washington Wizards,28:21,4,6,.667,3,4,.750,7,7,1.000,1,8,9,0,0,0,0,3,18,-9,28:21,.991,.917,.667,1.167,3.2,25.1,14.2,0.0,0.0,0.0,0.0,11.9,206,101
3,Rui Hachimura,Washington Wizards,26:13,3,9,.333,0,3,.000,0,0,0,1,5,6,2,0,0,1,3,6,+4,26:13,.333,.333,.333,.000,3.5,17.0,10.3,9.5,0.0,0.0,10.0,14.2,80,103
4,Moritz Wagner,Washington Wizards,11:50,4,5,.800,2,3,.667,2,2,1.000,0,1,1,0,1,0,0,2,12,+4,11:50,1.020,1.000,.600,.400,0.0,7.5,3.8,0.0,3.6,0.0,0.0,18.5,199,98
6,Raul Neto,Washington Wizards,25:47,1,6,.167,1,2,.500,0,0,0,1,1,2,6,0,0,2,0,3,+9,25:47,.250,.250,.333,.000,3.5,3.4,3.5,26.5,0.0,0.0,25.0,11.5,82,108
7,Deni Avdija,Washington Wizards,20:49,1,6,.167,0,2,.000,0,0,0,0,2,2,0,0,1,1,4,2,+17,20:49,.167,.167,.333,.000,0.0,8.5,4.3,0.0,0.0,3.8,14.3,12.5,32,103
8,Dāvis Bertāns,Washington Wizards,20:26,6,13,.462,5,11,.455,2,2,1.000,2,2,4,0,2,0,0,0,19,+24,20:26,.684,.654,.846,.154,8.9,8.7,8.8,0.0,4.2,0.0,0.0,25.3,143,97
9,Alex Len,Washington Wizards,18:46,4,5,.800,0,0,0,2,4,.500,3,1,4,0,0,4,2,5,10,-5,18:46,.740,.800,.000,.800,14.5,4.7,9.6,0.0,0.0,17.1,22.8,17.4,117,95
10,Robin Lopez,Washington Wizards,17:24,1,3,.333,0,0,0,0,0,0,5,1,6,1,0,1,2,4,2,+17,17:24,.333,.333,.000,.000,26.0,5.1,15.5,6.7,0.0,4.6,40.0,10.7,94,103
11,Troy Brown Jr.,Washington Wizards,4:24,0,2,.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2,4:24,.000,.000,.000,.000,0.0,20.2,10.2,0.0,0.0,0.0,0.0,16.9,0,103
12,Isaac Bonga,Washington Wizards,3:04,1,1,1.000,0,0,0,1,1,1.000,0,0,0,0,0,0,0,1,3,+1,3:04,1.042,1.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,221,107
13,Anthony Gill,Washington Wizards,0:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0:49,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,109
14,Jerome Robinson,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Team Totals,Washington Wizards,240,44,98,.449,13,33,.394,27,34,.794,15,42,57,27,6,6,16,24,128,0,240,.567,.515,.337,.347,28.3,77.8,53.3,61.4,5.4,10.0,12.4,100.0,114.8,100.4
