,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Desmond Bane,Memphis Grizzlies,27:52,6,7,.857,1,2,.500,2,2,1.000,2,5,7,1,3,1,2,4,15,+38,27:52,.952,.929,.286,.286,9.3,15.1,12.8,4.3,4.7,4.5,20.2,13.7,151,73
1,Ja Morant,Memphis Grizzlies,26:12,2,8,.250,0,1,.000,2,2,1.000,0,1,1,7,3,0,2,3,6,+30,26:12,.338,.250,.125,.250,0.0,3.2,1.9,27.7,5.0,0.0,18.4,16.0,93,79
2,Kyle Anderson,Memphis Grizzlies,22:30,4,14,.286,0,7,.000,5,6,.833,2,3,5,0,1,0,1,1,13,+17,22:30,.391,.286,.500,.429,11.5,11.2,11.3,0.0,2.0,0.0,5.7,30.3,92,82
3,Dillon Brooks,Memphis Grizzlies,21:50,3,8,.375,1,2,.500,1,1,1.000,1,1,2,3,1,0,1,3,8,+21,21:50,.474,.438,.250,.125,5.9,3.9,4.7,15.2,2.0,0.0,10.6,16.7,111,85
4,Jonas Valančiūnas,Memphis Grizzlies,12:37,3,6,.500,0,0,0,0,0,0,3,3,6,0,0,0,2,5,6,-1,12:37,.500,.500,.000,.000,30.8,20.0,24.3,0.0,0.0,0.0,25.0,24.5,93,82
6,De'Anthony Melton,Memphis Grizzlies,22:25,5,8,.625,1,2,.500,3,3,1.000,0,3,3,5,4,0,2,4,14,+24,22:25,.751,.688,.250,.375,0.0,11.3,6.8,27.2,7.9,0.0,17.7,19.5,138,69
7,Justise Winslow,Memphis Grizzlies,20:49,8,12,.667,1,3,.333,3,4,.750,0,3,3,2,0,2,3,1,20,+23,20:49,.727,.708,.250,.333,0.0,12.1,7.4,14.6,0.0,12.1,17.9,31.1,120,82
8,Brandon Clarke,Memphis Grizzlies,20:34,7,9,.778,0,2,.000,2,4,.500,1,11,12,1,1,0,0,1,16,+28,20:34,.743,.778,.222,.444,6.3,45.0,29.8,6.9,2.1,0.0,0.0,20.2,155,66
9,Xavier Tillman Sr.,Memphis Grizzlies,19:25,2,4,.500,0,1,.000,1,2,.500,1,3,4,2,0,0,2,5,5,+29,19:25,.512,.500,.250,.500,6.7,13.0,10.5,11.0,0.0,0.0,29.1,13.7,93,85
10,Tyus Jones,Memphis Grizzlies,16:28,5,6,.833,3,3,1.000,0,0,0,0,5,5,2,2,0,2,0,13,+4,16:28,1.083,1.083,.500,.000,0.0,25.6,15.5,16.5,5.3,0.0,25.0,18.8,147,68
11,John Konchar,Memphis Grizzlies,12:00,1,3,.333,0,0,0,0,0,0,1,3,4,3,0,0,0,0,2,+14,12:00,.333,.333,.000,.000,10.8,21.1,17.0,26.1,0.0,0.0,0.0,9.7,127,82
12,Gorgui Dieng,Memphis Grizzlies,8:39,3,7,.429,2,5,.400,4,4,1.000,0,3,3,1,0,0,0,1,12,+9,8:39,.685,.571,.714,.571,0.0,29.2,17.7,16.6,0.0,0.0,0.0,39.1,154,78
13,Killian Tillie,Memphis Grizzlies,8:39,1,2,.500,1,2,.500,0,0,0,0,1,1,0,1,0,1,3,3,+9,8:39,.750,.750,1.000,.000,0.0,9.7,5.9,0.0,5.1,0.0,33.3,13.4,90,76
14,Team Totals,Memphis Grizzlies,240,50,94,.532,10,30,.333,23,28,.821,11,45,56,27,16,3,18,31,133,0,240,.625,.585,.319,.298,29.7,78.9,59.6,54.0,14.7,7.9,14.5,100.0,122.0,77.0
0,John Wall,Houston Rockets,26:47,4,16,.250,0,5,.000,6,8,.750,0,0,0,0,0,0,5,0,14,-33,26:47,.359,.250,.313,.500,0.0,0.0,0.0,0.0,0.0,0.0,20.4,35.4,61,129
1,Justin Patton,Houston Rockets,26:05,4,6,.667,2,4,.500,0,0,0,1,4,5,0,0,2,2,6,10,-20,26:05,.833,.833,.667,.000,3.2,19.9,9.8,0.0,0.0,5.8,25.0,11.9,115,121
2,Danuel House Jr.,Houston Rockets,23:30,2,11,.182,0,6,.000,1,1,1.000,3,2,5,0,0,0,2,1,5,-26,23:30,.219,.182,.545,.091,10.8,11.0,10.9,0.0,0.0,0.0,14.9,22.1,50,127
3,Eric Gordon,Houston Rockets,22:40,1,10,.100,0,5,.000,3,3,1.000,0,2,2,2,0,0,2,4,5,-20,22:40,.221,.100,.500,.300,0.0,11.4,4.5,20.3,0.0,0.0,15.0,22.7,47,127
4,P.J. Tucker,Houston Rockets,22:02,0,1,.000,0,1,.000,1,2,.500,3,2,5,1,1,2,2,1,1,-28,22:02,.266,.000,1.000,2.000,11.5,11.8,11.6,9.5,2.0,6.8,51.5,6.8,60,118
6,Sterling Brown,Houston Rockets,27:49,1,8,.125,1,8,.125,2,2,1.000,1,5,6,3,2,0,4,5,5,-30,27:49,.282,.188,1.000,.250,3.0,23.3,11.0,24.3,3.2,0.0,31.1,17.9,51,117
7,Jae'Sean Tate,Houston Rockets,24:02,4,6,.667,0,1,.000,6,7,.857,0,4,4,0,1,1,2,2,14,-25,24:02,.771,.667,.167,1.167,0.0,21.6,8.5,0.0,1.8,3.1,18.1,17.8,127,119
8,David Nwaba,Houston Rockets,22:33,4,8,.500,0,2,.000,3,5,.600,3,1,4,0,1,0,0,1,11,-22,22:33,.539,.500,.250,.625,11.2,5.8,9.1,0.0,2.0,0.0,0.0,17.5,119,124
9,Ben McLemore,Houston Rockets,20:23,2,10,.200,0,7,.000,3,3,1.000,0,1,1,0,1,0,1,4,7,-23,20:23,.309,.200,.700,.300,0.0,6.4,2.5,0.0,2.2,0.0,8.1,23.4,63,123
10,Mason Jones,Houston Rockets,15:36,1,5,.200,1,5,.200,9,10,.900,1,4,5,2,0,0,2,0,12,-13,15:36,.638,.300,1.000,2.000,5.4,33.3,16.4,30.9,0.0,0.0,17.5,28.3,119,123
11,Rodions Kurucs,Houston Rockets,8:33,0,2,.000,0,1,.000,0,0,0,0,1,1,2,1,1,1,0,0,-5,8:33,.000,.000,.500,.000,0.0,15.2,6.0,48.8,5.1,8.8,33.3,13.6,22,109
