,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Donovan Mitchell,Utah Jazz,42:19,12,34,.353,5,12,.417,4,6,.667,1,7,8,6,1,0,3,5,33,-11,42:19,.450,.426,.353,.176,2.3,18.3,9.8,25.9,1.1,0.0,7.6,39.9,97,119
1,Royce O'Neale,Utah Jazz,41:55,2,7,.286,2,6,.333,1,2,.500,3,7,10,5,1,0,3,2,7,-11,41:55,.444,.429,.857,.286,7.0,18.4,12.4,15.2,1.1,0.0,27.6,11.1,99,119
2,Rudy Gobert,Utah Jazz,38:28,4,10,.400,0,0,0,4,6,.667,5,4,9,4,2,1,3,5,12,-9,38:28,.475,.400,.000,.600,12.8,11.5,12.2,14.3,2.5,2.0,19.2,17.3,106,115
3,Mike Conley,Utah Jazz,35:19,6,13,.462,3,3,1.000,3,3,1.000,0,2,2,2,0,0,0,4,18,-15,35:19,.628,.577,.231,.231,0.0,6.3,2.9,8.6,0.0,0.0,0.0,17.3,136,123
4,Bojan Bogdanović,Utah Jazz,34:06,7,15,.467,4,10,.400,0,0,0,0,5,5,0,0,0,0,0,18,-14,34:06,.600,.600,.667,.000,0.0,16.2,7.6,0.0,0.0,0.0,0.0,18.7,120,122
6,Joe Ingles,Utah Jazz,25:07,6,7,.857,4,5,.800,0,0,0,0,6,6,1,1,0,3,2,16,+13,25:07,1.143,1.143,.714,.000,0.0,26.4,12.4,6.7,1.9,0.0,30.0,17.0,136,116
7,Jordan Clarkson,Utah Jazz,23:15,3,10,.300,2,7,.286,2,2,1.000,1,4,5,2,1,0,3,1,10,+2,23:15,.460,.400,.700,.200,4.2,19.0,11.2,12.3,2.1,0.0,21.6,25.4,85,117
8,Derrick Favors,Utah Jazz,14:05,2,2,1.000,0,0,0,0,0,0,2,5,7,2,1,0,1,4,4,+1,14:05,1.000,1.000,.000,.000,13.9,39.2,25.8,20.6,3.4,0.0,33.3,9.1,157,111
9,Georges Niang,Utah Jazz,10:26,2,2,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,1,5,+4,10:26,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,250,124
10,Trent Forrest,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
