,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Khris Middleton,Milwaukee Bucks,39:07,6,17,.353,1,4,.250,9,9,1.000,4,6,10,4,2,0,5,1,22,+5,39:07,.525,.382,.235,.529,9.4,13.1,11.4,14.2,2.4,0.0,19.3,26.4,102,108
1,Giannis Antetokounmpo,Milwaukee Bucks,36:14,10,19,.526,1,1,1.000,5,9,.556,2,9,11,8,2,1,4,4,26,+9,36:14,.566,.553,.053,.474,5.1,21.3,13.5,36.9,2.5,2.0,14.8,29.6,111,102
2,Donte DiVincenzo,Milwaukee Bucks,29:51,2,9,.222,1,5,.200,2,2,1.000,2,5,7,4,0,0,2,0,7,+5,29:51,.354,.278,.556,.222,6.2,14.4,10.4,16.6,0.0,0.0,16.8,15.8,86,113
3,Brook Lopez,Milwaukee Bucks,27:21,5,11,.455,2,7,.286,0,0,0,1,5,6,1,2,2,1,5,12,-3,27:21,.545,.545,.636,.000,3.4,15.7,9.8,5.3,3.4,5.2,8.3,17.5,107,101
4,D.J. Augustin,Milwaukee Bucks,20:41,1,3,.333,1,3,.333,0,0,0,0,2,2,1,1,0,2,1,3,+2,20:41,.500,.500,1.000,.000,0.0,8.3,4.3,5.8,2.2,0.0,40.0,9.6,65,111
6,Pat Connaughton,Milwaukee Bucks,30:19,6,11,.545,3,7,.429,0,0,0,2,7,9,0,1,1,1,2,15,-3,30:19,.682,.682,.636,.000,6.1,19.8,13.2,0.0,1.5,2.4,8.3,15.7,128,105
7,Jrue Holiday,Milwaukee Bucks,22:35,6,14,.429,1,3,.333,2,2,1.000,1,1,2,3,2,0,1,3,15,+3,22:35,.504,.464,.214,.143,4.1,3.8,3.9,21.8,4.1,0.0,6.3,28.0,109,109
8,Bobby Portis,Milwaukee Bucks,15:07,4,6,.667,0,1,.000,0,0,0,0,3,3,0,0,0,0,2,8,-4,15:07,.667,.667,.167,.000,0.0,17.0,8.8,0.0,0.0,0.0,0.0,15.8,132,111
9,Bryn Forbes,Milwaukee Bucks,11:56,0,3,.000,0,3,.000,0,0,0,0,0,0,0,0,0,0,1,0,-6,11:56,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,120
10,Thanasis Antetokounmpo,Milwaukee Bucks,6:49,2,2,1.000,0,0,0,0,0,0,1,1,2,0,1,1,0,0,4,-3,6:49,1.000,1.000,.000,.000,13.5,12.6,13.0,0.0,6.8,10.5,0.0,11.7,204,92
