,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jayson Tatum,Boston Celtics,28:22,9,17,.529,3,5,.600,2,2,1.000,1,5,6,6,1,0,2,3,23,+17,28:22,.643,.618,.294,.118,4.6,15.4,11.0,28.4,1.6,0.0,10.1,29.2,133,105
1,Jaylen Brown,Boston Celtics,26:45,9,14,.643,2,3,.667,4,6,.667,0,2,2,0,1,0,2,3,24,+18,26:45,.721,.714,.214,.429,0.0,6.5,3.9,0.0,1.7,0.0,10.7,29.0,125,107
2,Kemba Walker,Boston Celtics,26:03,4,11,.364,3,7,.429,5,5,1.000,0,6,6,5,1,0,3,1,16,+14,26:03,.606,.500,.636,.455,0.0,20.1,12.0,21.1,1.8,0.0,18.5,25.9,118,103
3,Tristan Thompson,Boston Celtics,18:01,4,8,.500,0,0,0,0,0,0,5,8,13,1,1,0,2,1,8,+14,18:01,.500,.500,.000,.000,36.0,38.8,37.6,6.6,2.6,0.0,20.0,23.1,111,95
4,Daniel Theis,Boston Celtics,6:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-6,6:29,0,0,0,0,0.0,0.0,0.0,14.5,0.0,0.0,0,0.0,235,114
6,Semi Ojeleye,Boston Celtics,22:49,3,6,.500,3,6,.500,0,0,0,0,2,2,1,0,0,0,0,9,+28,22:49,.750,.750,1.000,.000,0.0,7.6,4.6,4.7,0.0,0.0,0.0,11.0,156,112
7,Robert Williams,Boston Celtics,19:15,7,7,1.000,0,0,0,2,3,.667,3,10,13,1,1,3,2,2,16,+17,19:15,.962,1.000,.000,.429,20.2,45.3,35.2,7.4,2.4,18.2,19.4,22.3,155,83
8,Marcus Smart,Boston Celtics,18:33,2,3,.667,1,2,.500,0,0,0,0,0,0,3,0,0,1,3,5,+18,18:33,.833,.833,.667,.000,0.0,0.0,0.0,16.9,0.0,0.0,25.0,9.0,142,113
9,Jeff Teague,Boston Celtics,14:23,1,4,.250,1,3,.333,0,0,0,1,3,4,2,1,0,0,2,3,+23,14:23,.375,.375,.750,.000,9.0,18.2,14.5,14.0,3.2,0.0,0.0,11.6,122,100
10,Payton Pritchard,Boston Celtics,13:30,3,6,.500,3,5,.600,0,0,0,0,0,0,3,0,0,1,3,9,+1,13:30,.750,.750,.833,.000,0.0,0.0,0.0,26.4,0.0,0.0,14.3,21.6,142,113
11,Carsen Edwards,Boston Celtics,12:00,3,6,.500,0,2,.000,0,0,0,0,4,4,3,1,0,0,2,6,-5,12:00,.500,.500,.333,.000,0.0,29.1,17.4,30.8,3.9,0.0,0.0,20.8,129,95
12,Tacko Fall,Boston Celtics,9:08,3,4,.750,0,0,0,0,3,.000,0,3,3,1,0,0,1,2,6,-5,9:08,.564,.750,.000,.750,0.0,28.7,17.1,14.9,0.0,0.0,15.8,28.8,93,103
