,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Anthony Edwards,Minnesota Timberwolves,38:26,11,22,.500,3,7,.429,4,6,.667,2,2,4,1,1,0,2,1,29,-17,38:26,.588,.568,.318,.273,6.1,6.9,6.5,3.8,1.2,0.0,7.5,29.8,112,140
1,Karl-Anthony Towns,Minnesota Timberwolves,35:04,10,19,.526,2,8,.250,7,9,.778,1,5,6,7,1,2,4,4,29,-10,35:04,.632,.579,.421,.474,3.3,19.0,10.7,28.8,1.4,4.5,14.8,33.0,118,134
2,Ricky Rubio,Minnesota Timberwolves,27:50,8,11,.727,2,5,.400,1,3,.333,0,2,2,12,3,0,1,2,19,-9,27:50,.771,.818,.455,.273,0.0,9.6,4.5,62.3,5.1,0.0,7.5,20.6,159,131
3,Jarred Vanderbilt,Minnesota Timberwolves,19:30,2,4,.500,0,0,0,4,4,1.000,1,4,5,0,0,0,1,3,8,+7,19:30,.694,.500,.000,1.000,6.0,27.4,16.0,0.0,0.0,0.0,14.8,14.9,128,139
4,Jake Layman,Minnesota Timberwolves,16:10,2,6,.333,0,2,.000,0,0,0,0,1,1,0,1,2,0,2,4,-4,16:10,.333,.333,.333,.000,0.0,8.2,3.9,0.0,2.9,9.7,0.0,16.0,69,128
6,Jaylen Nowell,Minnesota Timberwolves,27:41,6,10,.600,1,4,.250,0,0,0,1,3,4,4,0,2,1,3,13,-10,27:41,.650,.650,.400,.000,4.2,14.4,9.0,19.0,0.0,5.7,9.1,17.1,129,137
7,Jaden McDaniels,Minnesota Timberwolves,22:43,2,3,.667,1,2,.500,0,0,0,0,2,2,0,2,0,0,1,5,-13,22:43,.833,.833,.667,.000,0.0,11.7,5.5,0.0,4.2,0.0,0.0,5.7,158,132
8,Josh Okogie,Minnesota Timberwolves,20:59,1,2,.500,1,2,.500,0,0,0,1,2,3,2,0,0,0,2,3,-13,20:59,.750,.750,1.000,.000,5.6,12.7,8.9,10.2,0.0,0.0,0.0,4.1,174,142
9,Juancho Hernangómez,Minnesota Timberwolves,18:41,2,5,.400,1,3,.333,0,0,0,0,3,3,1,1,0,2,1,5,-5,18:41,.500,.500,.600,.000,0.0,21.4,10.0,6.1,2.5,0.0,28.6,16.1,74,134
10,Naz Reid,Minnesota Timberwolves,12:56,3,8,.375,0,2,.000,0,0,0,2,2,4,1,0,0,1,2,6,-6,12:56,.375,.375,.250,.000,18.1,20.6,19.3,10.3,0.0,0.0,11.1,29.9,86,140
