,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Deandre Ayton,Phoenix Suns,33:49,8,12,.667,0,0,0,5,5,1.000,4,5,9,0,1,0,1,3,21,+10,33:49,.739,.667,.000,.417,11.4,15.4,13.3,0.0,1.5,0.0,6.6,20.0,147,117
1,Devin Booker,Phoenix Suns,32:28,9,21,.429,1,5,.200,6,6,1.000,1,6,7,7,3,0,2,3,25,+6,32:28,.529,.452,.238,.286,3.0,19.3,10.8,38.8,4.6,0.0,7.8,35.2,113,109
2,Chris Paul,Phoenix Suns,32:24,8,15,.533,1,3,.333,6,6,1.000,0,6,6,7,1,0,1,4,23,+3,32:24,.652,.567,.200,.400,0.0,19.3,9.3,36.8,1.5,0.0,5.4,25.6,137,116
3,Mikal Bridges,Phoenix Suns,30:54,2,9,.222,1,7,.143,0,0,0,0,2,2,2,0,1,3,1,5,+9,30:54,.278,.278,.778,.000,0.0,6.8,3.2,8.4,0.0,2.9,25.0,17.3,50,120
4,Jae Crowder,Phoenix Suns,29:12,5,7,.714,4,6,.667,3,5,.600,0,3,3,1,2,0,0,1,17,+10,29:12,.924,1.000,.857,.714,0.0,10.7,5.1,5.2,3.4,0.0,0.0,14.0,178,114
6,Torrey Craig,Phoenix Suns,19:17,4,7,.571,2,2,1.000,0,0,0,4,4,8,2,1,1,1,2,10,-11,19:17,.714,.714,.286,.000,19.9,21.6,20.7,16.6,2.6,4.7,12.5,18.5,142,109
7,Cameron Johnson,Phoenix Suns,18:39,1,4,.250,1,3,.333,0,0,0,0,2,2,0,0,0,0,1,3,-3,18:39,.375,.375,.750,.000,0.0,11.2,5.4,0.0,0.0,0.0,0.0,9.6,78,121
8,Cameron Payne,Phoenix Suns,17:52,0,4,.000,0,2,.000,0,0,0,0,2,2,2,1,1,0,0,0,-10,17:52,.000,.000,.500,.000,0.0,11.7,5.6,13.4,2.8,5.1,0.0,10.0,31,111
9,Dario Šarić,Phoenix Suns,14:11,2,6,.333,0,1,.000,0,0,0,1,4,5,1,0,0,0,0,4,-11,14:11,.333,.333,.167,.000,6.8,29.4,17.6,10.2,0.0,0.0,0.0,18.9,87,117
10,Langston Galloway,Phoenix Suns,11:14,1,5,.200,1,4,.250,0,0,0,0,3,3,0,0,0,0,0,3,-8,11:14,.300,.300,.800,.000,0.0,27.9,13.4,0.0,0.0,0.0,0.0,19.8,63,117
11,Ty-Shon Alexander,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Frank Kaminsky,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jevon Carter,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jalen Smith,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,E'Twaun Moore,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Team Totals,Phoenix Suns,240,40,90,.444,11,33,.333,20,22,.909,10,37,47,22,9,3,8,15,111,0,240,.557,.506,.367,.244,20.0,80.4,49.0,55.0,9.2,5.7,7.4,100.0,114.1,115.1
0,Aaron Gordon,Orlando Magic,33:53,5,15,.333,0,5,.000,3,4,.750,1,6,7,3,0,2,2,2,13,-2,33:53,.388,.333,.333,.267,3.1,17.0,10.3,12.2,0.0,5.0,10.7,24.3,84,113
1,Nikola Vučević,Orlando Magic,33:52,11,19,.579,3,5,.600,2,3,.667,3,11,14,4,1,1,1,2,27,-5,33:52,.664,.658,.263,.158,9.2,31.2,20.7,21.5,1.5,2.5,4.7,27.6,138,107
2,Evan Fournier,Orlando Magic,32:48,8,16,.500,4,9,.444,1,1,1.000,0,0,0,2,0,1,2,4,21,-14,32:48,.639,.625,.563,.063,0.0,0.0,0.0,9.7,0.0,2.6,10.8,24.7,116,120
3,Al-Farouq Aminu,Orlando Magic,27:38,3,8,.375,0,3,.000,0,0,0,1,9,10,1,0,1,3,0,6,0,27:38,.375,.375,.375,.000,3.8,31.3,18.1,4.7,0.0,3.0,27.3,17.5,65,110
4,Michael Carter-Williams,Orlando Magic,23:14,3,10,.300,1,4,.250,1,1,1.000,1,2,3,3,2,0,1,5,8,-6,23:14,.383,.350,.400,.100,4.5,8.3,6.5,17.3,4.2,0.0,8.7,21.6,91,109
6,James Ennis III,Orlando Magic,27:29,1,6,.167,1,6,.167,2,2,1.000,2,5,7,2,0,0,1,2,5,+6,27:29,.363,.250,1.000,.333,7.6,17.5,12.7,8.7,0.0,0.0,12.7,12.6,94,117
7,Dwayne Bacon,Orlando Magic,23:42,4,7,.571,0,1,.000,3,4,.750,0,3,3,2,0,0,1,2,11,+21,23:42,.628,.571,.143,.571,0.0,12.2,6.3,11.9,0.0,0.0,10.2,18.1,122,118
8,Chuma Okeke,Orlando Magic,20:22,6,6,1.000,4,4,1.000,1,2,.500,0,3,3,0,0,0,0,1,17,+1,20:22,1.235,1.333,.667,.333,0.0,14.1,7.4,0.0,0.0,0.0,0.0,14.8,241,118
9,Khem Birch,Orlando Magic,14:08,0,1,.000,0,0,0,2,2,1.000,1,1,2,1,0,0,0,0,2,+6,14:08,.532,.000,.000,2.000,7.4,6.8,7.1,8.1,0.0,0.0,0.0,5.8,152,120
