,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Damian Lillard,Portland Trail Blazers,38:52,6,19,.316,2,8,.250,8,8,1.000,0,3,3,9,0,1,2,3,22,+10,38:52,.488,.368,.421,.421,0.0,10.6,4.7,30.4,0.0,2.5,8.2,27.4,116,130
1,CJ McCollum,Portland Trail Blazers,37:40,14,25,.560,6,14,.429,1,2,.500,0,1,1,8,0,1,4,0,35,+5,37:40,.676,.680,.560,.080,0.0,3.6,1.6,39.0,0.0,2.5,13.4,34.5,126,130
2,Robert Covington,Portland Trail Blazers,34:17,3,5,.600,3,5,.600,1,2,.500,0,6,6,0,1,0,0,2,10,-14,34:17,.850,.900,1.000,.400,0.0,24.0,10.6,0.0,1.5,0.0,0.0,7.5,163,127
3,Enes Freedom,Portland Trail Blazers,32:59,8,11,.727,0,0,0,2,2,1.000,9,7,16,1,1,1,2,2,18,+21,32:59,.758,.727,.000,.182,29.8,29.1,29.5,4.5,1.5,2.9,14.4,18.3,153,124
4,Derrick Jones Jr.,Portland Trail Blazers,23:12,2,8,.250,1,4,.250,1,1,1.000,1,2,3,1,0,2,0,3,6,+5,23:12,.355,.313,.500,.125,4.7,11.8,7.9,5.2,0.0,8.3,0.0,15.8,93,124
6,Carmelo Anthony,Portland Trail Blazers,32:50,6,14,.429,4,7,.571,4,4,1.000,0,6,6,2,1,0,1,2,20,+6,32:50,.635,.571,.500,.286,0.0,25.1,11.1,8.3,1.5,0.0,6.0,22.2,127,127
7,Nassir Little,Portland Trail Blazers,20:06,2,4,.500,1,2,.500,0,0,0,0,3,3,1,0,2,1,0,5,-11,20:06,.625,.625,.500,.000,0.0,20.5,9.1,6.1,0.0,9.6,20.0,10.8,104,122
8,Anfernee Simons,Portland Trail Blazers,20:04,3,6,.500,3,6,.500,0,0,0,0,2,2,2,0,0,0,2,9,-7,20:04,.750,.750,1.000,.000,0.0,13.7,6.1,13.0,0.0,0.0,0.0,13.0,158,132
9,Zach Collins,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Jusuf Nurkić,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CJ Elleby,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Harry Giles,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Keljin Blevins,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Portland Trail Blazers,240,44,92,.478,20,46,.435,17,19,.895,10,30,40,24,3,7,10,14,125,0,240,.623,.587,.500,.207,22.7,85.7,50.6,54.5,3.1,14.0,9.1,100.0,129.9,126.8
0,Kendrick Nunn,Miami Heat,33:55,9,13,.692,3,5,.600,1,2,.500,0,5,5,5,1,0,0,2,22,+4,33:55,.793,.808,.385,.154,0.0,16.1,9.0,20.7,1.5,0.0,0.0,19.5,159,130
1,Trevor Ariza,Miami Heat,33:14,3,7,.429,1,3,.333,2,2,1.000,1,4,5,1,0,1,1,2,9,-23,33:14,.571,.500,.429,.286,4.1,13.1,9.1,3.4,0.0,3.1,11.3,12.7,111,132
2,Bam Adebayo,Miami Heat,31:56,13,16,.813,0,0,0,3,3,1.000,2,7,9,7,0,5,2,1,29,+11,31:56,.837,.813,.000,.188,8.6,23.9,17.1,38.3,0.0,16.3,10.4,28.8,159,120
3,Gabe Vincent,Miami Heat,26:48,3,10,.300,2,6,.333,0,0,0,0,2,2,9,0,0,2,2,8,-6,26:48,.400,.400,.600,.000,0.0,8.1,4.5,38.7,0.0,0.0,16.7,21.3,102,135
4,Duncan Robinson,Miami Heat,26:30,4,6,.667,4,6,.667,0,0,0,0,5,5,2,0,0,0,6,12,-6,26:30,1.000,1.000,1.000,.000,0.0,20.6,11.5,9.1,0.0,0.0,0.0,10.8,181,132
6,Tyler Herro,Miami Heat,35:17,9,19,.474,5,9,.556,6,6,1.000,1,3,4,8,1,0,2,1,29,-4,35:17,.670,.605,.474,.316,3.9,9.3,6.9,31.3,1.4,0.0,8.5,31.9,134,131
7,Max Strus,Miami Heat,21:31,4,8,.500,0,4,.000,0,0,0,0,3,3,1,0,0,1,1,8,+7,21:31,.500,.500,.500,.000,0.0,15.2,8.5,5.9,0.0,0.0,11.1,19.9,88,133
8,Andre Iguodala,Miami Heat,16:54,1,1,1.000,1,1,1.000,0,0,0,1,4,5,1,1,0,1,2,3,+11,16:54,1.500,1.500,1.000,.000,8.1,25.8,18.0,6.4,3.0,0.0,50.0,5.6,140,123
9,Precious Achiuwa,Miami Heat,13:55,1,4,.250,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,-9,13:55,.250,.250,.000,.000,0.0,7.8,4.4,0.0,0.0,7.5,33.3,20.5,32,130
10,Chris Silva,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Maurice Harkless,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Goran Dragić,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
