,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Trae Young,Atlanta Hawks,34:11,8,14,.571,3,7,.429,2,2,1.000,0,5,5,7,2,0,7,2,21,-16,34:11,.706,.679,.500,.143,0.0,16.0,8.8,39.7,3.0,0.0,32.0,31.9,102,131
1,Clint Capela,Atlanta Hawks,27:53,5,11,.455,0,0,0,0,0,0,1,7,8,0,1,0,0,1,10,-22,27:53,.455,.455,.000,.000,4.8,27.4,17.2,0.0,1.9,0.0,0.0,19.7,92,130
2,John Collins,Atlanta Hawks,26:17,3,9,.333,1,4,.250,4,5,.800,0,5,5,2,1,0,1,4,11,-12,26:17,.491,.389,.444,.556,0.0,20.8,11.4,12.0,2.0,0.0,8.2,23.2,97,132
3,Bogdan Bogdanović,Atlanta Hawks,22:50,4,9,.444,1,3,.333,0,0,0,1,0,1,1,1,0,0,1,9,-13,22:50,.500,.500,.333,.000,5.8,0.0,2.6,7.6,2.3,0.0,0.0,19.7,105,138
4,Tony Snell,Atlanta Hawks,22:35,1,1,1.000,1,1,1.000,2,2,1.000,0,1,1,2,0,0,0,2,5,-16,22:35,1.330,1.500,1.000,2.000,0.0,4.8,2.7,12.5,0.0,0.0,0.0,4.2,261,142
6,Danilo Gallinari,Atlanta Hawks,23:06,5,10,.500,1,4,.250,3,3,1.000,0,2,2,2,0,1,0,3,14,-8,23:06,.618,.550,.400,.300,0.0,9.4,5.2,16.2,0.0,3.7,0.0,24.4,127,138
7,Kevin Huerter,Atlanta Hawks,22:40,3,7,.429,2,5,.400,0,0,0,0,0,0,2,0,0,2,0,8,-12,22:40,.571,.571,.714,.000,0.0,0.0,0.0,14.3,0.0,0.0,22.2,19.8,91,144
8,Solomon Hill,Atlanta Hawks,16:53,1,4,.250,1,4,.250,0,0,0,0,2,2,0,0,0,0,1,3,-7,16:53,.375,.375,1.000,.000,0.0,12.9,7.1,0.0,0.0,0.0,0.0,11.8,71,139
9,Skylar Mays,Atlanta Hawks,14:01,2,5,.400,1,3,.333,0,0,0,0,2,2,1,0,0,1,1,5,-8,14:01,.500,.500,.600,.000,0.0,15.6,8.6,11.7,0.0,0.0,16.7,21.3,85,138
10,Onyeka Okongwu,Atlanta Hawks,11:55,0,0,0,0,0,0,1,2,.500,0,3,3,0,1,2,0,1,1,-5,11:55,.568,0,0,0,0.0,27.5,15.1,0.0,4.3,14.4,0.0,3.7,124,116
11,Brandon Goodwin,Atlanta Hawks,6:37,3,4,.750,1,2,.500,0,0,0,0,0,0,1,1,0,0,0,7,-1,6:37,.875,.875,.500,.000,0.0,0.0,0.0,51.0,7.8,0.0,0.0,30.2,165,126
12,Nathan Knight,Atlanta Hawks,6:37,0,1,.000,0,1,.000,5,6,.833,0,1,1,0,0,0,0,0,5,-1,6:37,.687,.000,1.000,6.000,0.0,16.5,9.1,0.0,0.0,0.0,0.0,27.4,149,138
13,Bruno Fernando,Atlanta Hawks,4:25,1,1,1.000,0,0,0,1,1,1.000,0,1,1,0,0,0,0,0,3,+1,4:25,1.042,1.000,.000,1.000,0.0,24.7,13.6,0.0,0.0,0.0,0.0,16.3,219,136
14,Team Totals,Atlanta Hawks,240,36,76,.474,12,34,.353,18,21,.857,2,29,31,18,7,3,11,16,102,0,240,.598,.553,.447,.276,5.6,65.9,38.8,50.0,7.5,5.4,11.4,100.0,109.6,135.4
0,Will Barton,Denver Nuggets,32:12,5,13,.385,1,4,.250,1,3,.333,1,5,6,3,1,0,2,1,12,+18,32:12,.419,.423,.308,.231,3.4,20.7,11.2,10.5,1.6,0.0,12.3,22.3,92,111
1,Jamal Murray,Denver Nuggets,30:56,7,11,.636,1,4,.250,2,3,.667,0,2,2,4,1,1,4,1,17,+23,30:56,.690,.682,.364,.273,0.0,8.6,3.9,15.9,1.7,3.7,24.5,23.2,110,108
2,Nikola Jokić,Denver Nuggets,28:13,7,12,.583,1,2,.500,1,2,.500,3,7,10,8,1,2,0,0,16,+20,28:13,.621,.625,.167,.167,11.6,33.1,21.3,35.7,1.8,8.1,0.0,20.1,159,102
3,Michael Porter Jr.,Denver Nuggets,26:42,6,12,.500,2,5,.400,1,1,1.000,5,5,10,3,0,0,0,0,15,+18,26:42,.603,.583,.417,.083,20.4,25.0,22.5,13.8,0.0,0.0,0.0,20.5,153,114
4,Aaron Gordon,Denver Nuggets,20:41,6,9,.667,1,4,.250,0,0,0,0,2,2,1,1,0,0,1,13,+17,20:41,.722,.722,.444,.000,0.0,12.9,5.8,6.4,2.5,0.0,0.0,19.2,150,109
6,Facundo Campazzo,Denver Nuggets,27:53,2,2,1.000,2,2,1.000,0,0,0,1,0,1,5,1,0,2,2,6,+7,27:53,1.500,1.500,1.000,.000,3.9,0.0,2.2,18.5,1.9,0.0,50.0,6.3,148,111
7,Paul Millsap,Denver Nuggets,20:02,4,8,.500,0,2,.000,1,1,1.000,2,3,5,3,1,0,1,2,9,+6,20:02,.533,.500,.250,.125,10.9,20.0,15.0,17.8,2.6,0.0,10.6,20.7,124,108
8,PJ Dozier,Denver Nuggets,19:02,1,5,.200,0,2,.000,0,0,0,0,2,2,3,0,0,0,4,2,+3,19:02,.200,.200,.400,.000,0.0,14.0,6.3,15.9,0.0,0.0,0.0,11.6,88,115
9,JaMychal Green,Denver Nuggets,13:53,7,12,.583,3,5,.600,3,4,.750,3,4,7,1,1,0,0,0,20,+7,13:53,.727,.708,.417,.333,23.6,38.4,30.3,13.4,3.7,0.0,0.0,43.6,157,105
10,Zeke Nnaji,Denver Nuggets,6:03,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,0,0,0,0,1,5,+2,6:03,1.330,1.500,1.000,2.000,0.0,44.1,19.8,0.0,0.0,0.0,0.0,13.7,268,113
11,Bol Bol,Denver Nuggets,4:59,3,3,1.000,2,2,1.000,0,0,0,0,1,1,0,0,0,0,1,8,0,4:59,1.333,1.333,.667,.000,0.0,26.8,12.0,0.0,0.0,0.0,0.0,26.5,267,114
